Category: Food & Drink

Week,Kashi: (United States)
2009-01-11,36
2009-01-18,51
2009-01-25,43
2009-02-01,58
2009-02-08,72
2009-02-15,47
2009-02-22,100
2009-03-01,85
2009-03-08,84
2009-03-15,72
2009-03-22,66
2009-03-29,65
2009-04-05,56
2009-04-12,26
2009-04-19,71
2009-04-26,45
2009-05-03,42
2009-05-10,46
2009-05-17,26
2009-05-24,30
2009-05-31,64
2009-06-07,26
2009-06-14,47
2009-06-21,47
2009-06-28,63
2009-07-05,51
2009-07-12,36
2009-07-19,29
2009-07-26,46
2009-08-02,32
2009-08-09,38
2009-08-16,35
2009-08-23,39
2009-08-30,54
2009-09-06,63
2009-09-13,51
2009-09-20,59
2009-09-27,40
2009-10-04,35
2009-10-11,29
2009-10-18,23
2009-10-25,39
2009-11-01,37
2009-11-08,31
2009-11-15,43
2009-11-22,14
2009-11-29,45
2009-12-06,20
2009-12-13,13
2009-12-20,16
2009-12-27,25
2010-01-03,33
2010-01-10,37
2010-01-17,44
2010-01-24,59
2010-01-31,57
2010-02-07,43
2010-02-14,37
2010-02-21,14
2010-02-28,43
2010-03-07,60
2010-03-14,47
2010-03-21,55
2010-03-28,33
2010-04-04,35
2010-04-11,52
2010-04-18,31
2010-04-25,24
2010-05-02,44
2010-05-09,30
2010-05-16,23
2010-05-23,31
2010-05-30,22
2010-06-06,23
2010-06-13,32
2010-06-20,42
2010-06-27,33
2010-07-04,30
2010-07-11,37
2010-07-18,40
2010-07-25,50
2010-08-01,46
2010-08-08,28
2010-08-15,26
2010-08-22,36
2010-08-29,51
2010-09-05,45
2010-09-12,46
2010-09-19,43
2010-09-26,22
2010-10-03,23
2010-10-10,33
2010-10-17,40
2010-10-24,32
2010-10-31,21
2010-11-07,27
2010-11-14,21
2010-11-21,13
2010-11-28,30
2010-12-05,32
2010-12-12,19
2010-12-19,9
2010-12-26,34
2011-01-02,48
2011-01-09,50
2011-01-16,25
2011-01-23,49
2011-01-30,39
2011-02-06,48
2011-02-13,54
2011-02-20,53
2011-02-27,63
2011-03-06,39
2011-03-13,29
2011-03-20,58
2011-03-27,43
2011-04-03,46
2011-04-10,31
2011-04-17,56
2011-04-24,33
2011-05-01,43
2011-05-08,51
2011-05-15,51
2011-05-22,48
2011-05-29,21
2011-06-05,27
2011-06-12,35
2011-06-19,35
2011-06-26,35
2011-07-03,21
2011-07-10,34
2011-07-17,35
2011-07-24,23
2011-07-31,37
2011-08-07,27
2011-08-14,46
2011-08-21,41
2011-08-28,28
2011-09-04,37
2011-09-11,38
2011-09-18,37
2011-09-25,37
2011-10-02,29
2011-10-09,39
2011-10-16,26
2011-10-23,27
2011-10-30,30
2011-11-06,35
2011-11-13,28
2011-11-20,26
2011-11-27,27
2011-12-04,31
2011-12-11,16
2011-12-18,22
2011-12-25,16
2012-01-01,33
