Category: All categories

Week,Kellogg's: (United States)
2009-01-11,32
2009-01-18,49
2009-01-25,88
2009-02-01,100
2009-02-08,77
2009-02-15,79
2009-02-22,67
2009-03-01,45
2009-03-08,45
2009-03-15,54
2009-03-22,45
2009-03-29,67
2009-04-05,55
2009-04-12,53
2009-04-19,86
2009-04-26,71
2009-05-03,34
2009-05-10,78
2009-05-17,59
2009-05-24,71
2009-05-31,63
2009-06-07,42
2009-06-14,80
2009-06-21,44
2009-06-28,38
2009-07-05,64
2009-07-12,0
2009-07-19,18
2009-07-26,27
2009-08-02,46
2009-08-09,53
2009-08-16,70
2009-08-23,17
2009-08-30,25
2009-09-06,16
2009-09-13,83
2009-09-20,59
2009-09-27,66
2009-10-04,51
2009-10-11,58
2009-10-18,42
2009-10-25,26
2009-11-01,29
2009-11-08,56
2009-11-15,68
2009-11-22,40
2009-11-29,46
2009-12-06,81
2009-12-13,43
2009-12-20,29
2009-12-27,20
2010-01-03,38
2010-01-10,50
2010-01-17,22
2010-01-24,35
2010-01-31,19
2010-02-07,62
2010-02-14,28
2010-02-21,66
2010-02-28,47
2010-03-07,27
2010-03-14,49
2010-03-21,40
2010-03-28,29
2010-04-04,50
2010-04-11,86
2010-04-18,46
2010-04-25,39
2010-05-02,53
2010-05-09,20
2010-05-16,41
2010-05-23,35
2010-05-30,47
2010-06-06,65
2010-06-13,36
2010-06-20,76
2010-06-27,27
2010-07-04,23
2010-07-11,58
2010-07-18,36
2010-07-25,14
2010-08-01,15
2010-08-08,35
2010-08-15,15
2010-08-22,49
2010-08-29,28
2010-09-05,35
2010-09-12,26
2010-09-19,32
2010-09-26,44
2010-10-03,25
2010-10-10,18
2010-10-17,21
2010-10-24,25
2010-10-31,16
2010-11-07,54
2010-11-14,49
2010-11-21,17
2010-11-28,46
2010-12-05,19
2010-12-12,41
2010-12-19,24
2010-12-26,25
2011-01-02,41
2011-01-09,27
2011-01-16,26
2011-01-23,38
2011-01-30,20
2011-02-06,48
2011-02-13,23
2011-02-20,28
2011-02-27,55
2011-03-06,40
2011-03-13,33
2011-03-20,32
2011-03-27,44
2011-04-03,37
2011-04-10,34
2011-04-17,39
2011-04-24,21
2011-05-01,51
2011-05-08,44
2011-05-15,37
2011-05-22,62
2011-05-29,19
2011-06-05,33
2011-06-12,10
2011-06-19,15
2011-06-26,31
2011-07-03,21
2011-07-10,20
2011-07-17,24
2011-07-24,19
2011-07-31,33
2011-08-07,27
2011-08-14,22
2011-08-21,26
2011-08-28,17
2011-09-04,13
2011-09-11,16
2011-09-18,20
2011-09-25,27
2011-10-02,41
2011-10-09,18
2011-10-16,35
2011-10-23,42
2011-10-30,34
2011-11-06,24
2011-11-13,30
2011-11-20,30
2011-11-27,26
2011-12-04,22
2011-12-11,19
2011-12-18,20
2011-12-25,11
2012-01-01,7
