Category: All categories

Week,Kellogg's: (Kentucky)
2009-01-11,33
2009-01-18,65
2009-01-25,0
2009-02-01,100
2009-02-08,0
2009-02-15,31
2009-02-22,31
2009-03-01,0
2009-03-08,0
2009-03-15,33
2009-03-22,62
2009-03-29,33
2009-04-05,0
2009-04-12,0
2009-04-19,31
2009-04-26,47
2009-05-03,31
2009-05-10,33
2009-05-17,0
2009-05-24,34
2009-05-31,0
2009-06-07,35
2009-06-14,0
2009-06-21,0
2009-06-28,37
2009-07-05,70
2009-07-12,35
2009-07-19,34
2009-07-26,100
2009-08-02,34
2009-08-09,0
2009-08-16,0
2009-08-23,30
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,29
2009-10-04,29
2009-10-11,0
2009-10-18,56
2009-10-25,0
2009-11-01,0
2009-11-08,54
2009-11-15,27
2009-11-22,31
2009-11-29,25
2009-12-06,0
2009-12-13,27
2009-12-20,36
2009-12-27,67
2010-01-03,27
2010-01-10,26
2010-01-17,0
2010-01-24,24
2010-01-31,24
2010-02-07,25
2010-02-14,50
2010-02-21,0
2010-02-28,0
2010-03-07,26
2010-03-14,53
2010-03-21,26
2010-03-28,27
2010-04-04,0
2010-04-11,0
2010-04-18,26
2010-04-25,26
2010-05-02,27
2010-05-09,41
2010-05-16,55
2010-05-23,0
2010-05-30,31
2010-06-06,31
2010-06-13,31
2010-06-20,61
2010-06-27,91
2010-07-04,45
2010-07-11,0
2010-07-18,56
2010-07-25,28
2010-08-01,28
2010-08-08,0
2010-08-15,27
2010-08-22,26
2010-08-29,26
2010-09-05,54
2010-09-12,26
2010-09-19,25
2010-09-26,25
2010-10-03,26
2010-10-10,78
2010-10-17,0
2010-10-24,0
2010-10-31,24
2010-11-07,0
2010-11-14,23
2010-11-21,40
2010-11-28,0
2010-12-05,46
2010-12-12,23
2010-12-19,0
2010-12-26,27
2011-01-02,31
2011-01-09,22
2011-01-16,22
2011-01-23,15
2011-01-30,28
2011-02-06,14
2011-02-13,15
2011-02-20,14
2011-02-27,22
2011-03-06,15
2011-03-13,0
2011-03-20,15
2011-03-27,14
2011-04-03,32
2011-04-10,31
2011-04-17,22
2011-04-24,44
2011-05-01,74
2011-05-08,39
2011-05-15,31
2011-05-22,23
2011-05-29,25
2011-06-05,33
2011-06-12,65
2011-06-19,16
2011-06-26,16
2011-07-03,67
2011-07-10,31
2011-07-17,31
2011-07-24,23
2011-07-31,54
2011-08-07,15
2011-08-14,29
2011-08-21,35
2011-08-28,0
2011-09-04,21
2011-09-11,21
2011-09-18,13
2011-09-25,28
2011-10-02,21
2011-10-09,27
2011-10-16,20
2011-10-23,12
2011-10-30,35
2011-11-06,11
2011-11-13,11
2011-11-20,11
2011-11-27,14
2011-12-04,18
2011-12-11,18
2011-12-18,28
2011-12-25,0
2012-01-01,9
