Category: All categories

Week,Kellogg's: (Texas)
2009-01-11,63
2009-01-18,68
2009-01-25,39
2009-02-01,67
2009-02-08,61
2009-02-15,40
2009-02-22,39
2009-03-01,44
2009-03-08,26
2009-03-15,24
2009-03-22,26
2009-03-29,26
2009-04-05,31
2009-04-12,35
2009-04-19,26
2009-04-26,39
2009-05-03,17
2009-05-10,30
2009-05-17,45
2009-05-24,19
2009-05-31,63
2009-06-07,23
2009-06-14,27
2009-06-21,27
2009-06-28,38
2009-07-05,23
2009-07-12,54
2009-07-19,40
2009-07-26,36
2009-08-02,45
2009-08-09,45
2009-08-16,27
2009-08-23,44
2009-08-30,52
2009-09-06,44
2009-09-13,63
2009-09-20,38
2009-09-27,30
2009-10-04,33
2009-10-11,29
2009-10-18,17
2009-10-25,33
2009-11-01,37
2009-11-08,37
2009-11-15,36
2009-11-22,28
2009-11-29,28
2009-12-06,36
2009-12-13,12
2009-12-20,21
2009-12-27,10
2010-01-03,25
2010-01-10,40
2010-01-17,44
2010-01-24,34
2010-01-31,31
2010-02-07,35
2010-02-14,20
2010-02-21,35
2010-02-28,24
2010-03-07,31
2010-03-14,13
2010-03-21,35
2010-03-28,33
2010-04-04,48
2010-04-11,35
2010-04-18,19
2010-04-25,16
2010-05-02,16
2010-05-09,8
2010-05-16,29
2010-05-23,17
2010-05-30,23
2010-06-06,31
2010-06-13,44
2010-06-20,100
2010-06-27,93
2010-07-04,47
2010-07-11,45
2010-07-18,24
2010-07-25,27
2010-08-01,41
2010-08-08,30
2010-08-15,23
2010-08-22,40
2010-08-29,39
2010-09-05,33
2010-09-12,41
2010-09-19,28
2010-09-26,19
2010-10-03,20
2010-10-10,16
2010-10-17,16
2010-10-24,22
2010-10-31,28
2010-11-07,15
2010-11-14,34
2010-11-21,14
2010-11-28,18
2010-12-05,6
2010-12-12,22
2010-12-19,25
2010-12-26,20
2011-01-02,16
2011-01-09,17
2011-01-16,19
2011-01-23,23
2011-01-30,20
2011-02-06,24
2011-02-13,28
2011-02-20,24
2011-02-27,18
2011-03-06,15
2011-03-13,12
2011-03-20,24
2011-03-27,23
2011-04-03,24
2011-04-10,31
2011-04-17,38
2011-04-24,18
2011-05-01,27
2011-05-08,32
2011-05-15,36
2011-05-22,18
2011-05-29,43
2011-06-05,34
2011-06-12,40
2011-06-19,47
2011-06-26,38
2011-07-03,29
2011-07-10,23
2011-07-17,32
2011-07-24,25
2011-07-31,28
2011-08-07,27
2011-08-14,28
2011-08-21,28
2011-08-28,14
2011-09-04,18
2011-09-11,19
2011-09-18,13
2011-09-25,28
2011-10-02,27
2011-10-09,19
2011-10-16,15
2011-10-23,13
2011-10-30,22
2011-11-06,20
2011-11-13,22
2011-11-20,19
2011-11-27,22
2011-12-04,12
2011-12-11,18
2011-12-18,12
2011-12-25,18
2012-01-01,23
