Category: All categories

Week,Kellogg's: (United States)
2009-01-11,92
2009-01-18,91
2009-01-25,50
2009-02-01,87
2009-02-08,90
2009-02-15,59
2009-02-22,63
2009-03-01,50
2009-03-08,54
2009-03-15,53
2009-03-22,48
2009-03-29,47
2009-04-05,46
2009-04-12,44
2009-04-19,53
2009-04-26,47
2009-05-03,51
2009-05-10,44
2009-05-17,40
2009-05-24,42
2009-05-31,49
2009-06-07,43
2009-06-14,43
2009-06-21,40
2009-06-28,39
2009-07-05,40
2009-07-12,43
2009-07-19,44
2009-07-26,55
2009-08-02,54
2009-08-09,45
2009-08-16,47
2009-08-23,50
2009-08-30,48
2009-09-06,36
2009-09-13,51
2009-09-20,57
2009-09-27,49
2009-10-04,49
2009-10-11,52
2009-10-18,39
2009-10-25,40
2009-11-01,51
2009-11-08,43
2009-11-15,41
2009-11-22,36
2009-11-29,37
2009-12-06,39
2009-12-13,29
2009-12-20,26
2009-12-27,29
2010-01-03,35
2010-01-10,39
2010-01-17,38
2010-01-24,40
2010-01-31,39
2010-02-07,36
2010-02-14,40
2010-02-21,35
2010-02-28,42
2010-03-07,41
2010-03-14,36
2010-03-21,34
2010-03-28,37
2010-04-04,30
2010-04-11,27
2010-04-18,37
2010-04-25,34
2010-05-02,34
2010-05-09,37
2010-05-16,33
2010-05-23,37
2010-05-30,36
2010-06-06,35
2010-06-13,51
2010-06-20,100
2010-06-27,95
2010-07-04,44
2010-07-11,42
2010-07-18,40
2010-07-25,39
2010-08-01,44
2010-08-08,35
2010-08-15,34
2010-08-22,34
2010-08-29,34
2010-09-05,35
2010-09-12,40
2010-09-19,35
2010-09-26,30
2010-10-03,36
2010-10-10,34
2010-10-17,28
2010-10-24,33
2010-10-31,38
2010-11-07,46
2010-11-14,38
2010-11-21,24
2010-11-28,35
2010-12-05,31
2010-12-12,33
2010-12-19,29
2010-12-26,19
2011-01-02,42
2011-01-09,43
2011-01-16,43
2011-01-23,39
2011-01-30,43
2011-02-06,42
2011-02-13,37
2011-02-20,42
2011-02-27,44
2011-03-06,46
2011-03-13,32
2011-03-20,33
2011-03-27,47
2011-04-03,50
2011-04-10,60
2011-04-17,47
2011-04-24,43
2011-05-01,53
2011-05-08,49
2011-05-15,56
2011-05-22,45
2011-05-29,50
2011-06-05,47
2011-06-12,64
2011-06-19,57
2011-06-26,59
2011-07-03,55
2011-07-10,53
2011-07-17,42
2011-07-24,45
2011-07-31,48
2011-08-07,42
2011-08-14,44
2011-08-21,39
2011-08-28,35
2011-09-04,40
2011-09-11,46
2011-09-18,39
2011-09-25,42
2011-10-02,43
2011-10-09,45
2011-10-16,39
2011-10-23,41
2011-10-30,34
2011-11-06,40
2011-11-13,38
2011-11-20,30
2011-11-27,30
2011-12-04,33
2011-12-11,28
2011-12-18,30
2011-12-25,27
2012-01-01,36
