Category: Food & Drink

Week,Kellogg's: (Kentucky)
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,100
2009-02-08,0
2009-02-15,0
2009-02-22,46
2009-03-01,0
2009-03-08,0
2009-03-15,50
2009-03-22,0
2009-03-29,0
2009-04-05,49
2009-04-12,47
2009-04-19,47
2009-04-26,47
2009-05-03,0
2009-05-10,73
2009-05-17,0
2009-05-24,0
2009-05-31,51
2009-06-07,52
2009-06-14,0
2009-06-21,0
2009-06-28,56
2009-07-05,52
2009-07-12,52
2009-07-19,51
2009-07-26,50
2009-08-02,0
2009-08-09,49
2009-08-16,47
2009-08-23,91
2009-08-30,0
2009-09-06,46
2009-09-13,43
2009-09-20,0
2009-09-27,43
2009-10-04,0
2009-10-11,0
2009-10-18,42
2009-10-25,41
2009-11-01,0
2009-11-08,0
2009-11-15,40
2009-11-22,46
2009-11-29,0
2009-12-06,39
2009-12-13,0
2009-12-20,0
2009-12-27,51
2010-01-03,41
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,36
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,37
2010-03-07,0
2010-03-14,0
2010-03-21,38
2010-03-28,40
2010-04-04,0
2010-04-11,0
2010-04-18,39
2010-04-25,0
2010-05-02,0
2010-05-09,41
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,47
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,42
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,40
2010-08-29,0
2010-09-05,0
2010-09-12,75
2010-09-19,37
2010-09-26,38
2010-10-03,0
2010-10-10,39
2010-10-17,0
2010-10-24,36
2010-10-31,0
2010-11-07,72
2010-11-14,0
2010-11-21,40
2010-11-28,34
2010-12-05,34
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,23
2011-01-09,0
2011-01-16,22
2011-01-23,22
2011-01-30,21
2011-02-06,0
2011-02-13,0
2011-02-20,0
2011-02-27,44
2011-03-06,0
2011-03-13,0
2011-03-20,0
2011-03-27,0
2011-04-03,24
2011-04-10,23
2011-04-17,22
2011-04-24,0
2011-05-01,22
2011-05-08,23
2011-05-15,46
2011-05-22,23
2011-05-29,25
2011-06-05,24
2011-06-12,49
2011-06-19,0
2011-06-26,0
2011-07-03,0
2011-07-10,23
2011-07-17,46
2011-07-24,0
2011-07-31,46
2011-08-07,0
2011-08-14,0
2011-08-21,43
2011-08-28,21
2011-09-04,21
2011-09-11,42
2011-09-18,0
2011-09-25,21
2011-10-02,21
2011-10-09,20
2011-10-16,20
2011-10-23,18
2011-10-30,18
2011-11-06,17
2011-11-13,33
2011-11-20,16
2011-11-27,14
2011-12-04,13
2011-12-11,0
2011-12-18,28
2011-12-25,14
2012-01-01,14
