Category: Food & Drink

Week,Kellogg's: (Texas)
2009-01-11,49
2009-01-18,87
2009-01-25,48
2009-02-01,85
2009-02-08,85
2009-02-15,73
2009-02-22,48
2009-03-01,61
2009-03-08,72
2009-03-15,52
2009-03-22,70
2009-03-29,72
2009-04-05,74
2009-04-12,60
2009-04-19,48
2009-04-26,71
2009-05-03,36
2009-05-10,48
2009-05-17,49
2009-05-24,39
2009-05-31,50
2009-06-07,50
2009-06-14,75
2009-06-21,62
2009-06-28,52
2009-07-05,63
2009-07-12,50
2009-07-19,75
2009-07-26,87
2009-08-02,37
2009-08-09,100
2009-08-16,61
2009-08-23,24
2009-08-30,83
2009-09-06,96
2009-09-13,23
2009-09-20,70
2009-09-27,23
2009-10-04,57
2009-10-11,92
2009-10-18,47
2009-10-25,68
2009-11-01,34
2009-11-08,67
2009-11-15,89
2009-11-22,26
2009-11-29,43
2009-12-06,66
2009-12-13,57
2009-12-20,29
2009-12-27,27
2010-01-03,56
2010-01-10,44
2010-01-17,44
2010-01-24,21
2010-01-31,73
2010-02-07,21
2010-02-14,54
2010-02-21,32
2010-02-28,44
2010-03-07,21
2010-03-14,24
2010-03-21,54
2010-03-28,23
2010-04-04,22
2010-04-11,21
2010-04-18,43
2010-04-25,56
2010-05-02,45
2010-05-09,34
2010-05-16,58
2010-05-23,36
2010-05-30,51
2010-06-06,48
2010-06-13,49
2010-06-20,84
2010-06-27,45
2010-07-04,40
2010-07-11,19
2010-07-18,19
2010-07-25,19
2010-08-01,38
2010-08-08,0
2010-08-15,19
2010-08-22,37
2010-08-29,36
2010-09-05,36
2010-09-12,35
2010-09-19,35
2010-09-26,61
2010-10-03,27
2010-10-10,36
2010-10-17,51
2010-10-24,34
2010-10-31,17
2010-11-07,43
2010-11-14,42
2010-11-21,19
2010-11-28,24
2010-12-05,17
2010-12-12,51
2010-12-19,39
2010-12-26,28
2011-01-02,27
2011-01-09,31
2011-01-16,31
2011-01-23,42
2011-01-30,30
2011-02-06,20
2011-02-13,42
2011-02-20,36
2011-02-27,20
2011-03-06,10
2011-03-13,11
2011-03-20,30
2011-03-27,45
2011-04-03,25
2011-04-10,40
2011-04-17,51
2011-04-24,35
2011-05-01,39
2011-05-08,44
2011-05-15,30
2011-05-22,30
2011-05-29,22
2011-06-05,47
2011-06-12,30
2011-06-19,40
2011-06-26,26
2011-07-03,48
2011-07-10,20
2011-07-17,25
2011-07-24,29
2011-07-31,29
2011-08-07,20
2011-08-14,10
2011-08-21,20
2011-08-28,15
2011-09-04,25
2011-09-11,33
2011-09-18,18
2011-09-25,31
2011-10-02,49
2011-10-09,22
2011-10-16,45
2011-10-23,35
2011-10-30,31
2011-11-06,42
2011-11-13,38
2011-11-20,27
2011-11-27,32
2011-12-04,28
2011-12-11,43
2011-12-18,25
2011-12-25,43
2012-01-01,24
