Category: Food & Drink

Week,Kellogg's: (United States)
2009-01-11,58
2009-01-18,67
2009-01-25,49
2009-02-01,85
2009-02-08,100
2009-02-15,60
2009-02-22,64
2009-03-01,46
2009-03-08,58
2009-03-15,44
2009-03-22,42
2009-03-29,42
2009-04-05,39
2009-04-12,42
2009-04-19,47
2009-04-26,44
2009-05-03,41
2009-05-10,53
2009-05-17,35
2009-05-24,31
2009-05-31,41
2009-06-07,37
2009-06-14,44
2009-06-21,41
2009-06-28,36
2009-07-05,45
2009-07-12,37
2009-07-19,34
2009-07-26,43
2009-08-02,49
2009-08-09,41
2009-08-16,39
2009-08-23,34
2009-08-30,45
2009-09-06,43
2009-09-13,44
2009-09-20,52
2009-09-27,46
2009-10-04,49
2009-10-11,47
2009-10-18,40
2009-10-25,40
2009-11-01,33
2009-11-08,40
2009-11-15,42
2009-11-22,26
2009-11-29,36
2009-12-06,34
2009-12-13,34
2009-12-20,33
2009-12-27,26
2010-01-03,33
2010-01-10,33
2010-01-17,34
2010-01-24,37
2010-01-31,38
2010-02-07,29
2010-02-14,37
2010-02-21,36
2010-02-28,32
2010-03-07,27
2010-03-14,31
2010-03-21,28
2010-03-28,27
2010-04-04,28
2010-04-11,22
2010-04-18,31
2010-04-25,28
2010-05-02,27
2010-05-09,25
2010-05-16,24
2010-05-23,25
2010-05-30,22
2010-06-06,25
2010-06-13,33
2010-06-20,56
2010-06-27,52
2010-07-04,28
2010-07-11,25
2010-07-18,29
2010-07-25,29
2010-08-01,28
2010-08-08,21
2010-08-15,20
2010-08-22,28
2010-08-29,24
2010-09-05,23
2010-09-12,25
2010-09-19,22
2010-09-26,24
2010-10-03,31
2010-10-10,21
2010-10-17,23
2010-10-24,20
2010-10-31,29
2010-11-07,32
2010-11-14,27
2010-11-21,22
2010-11-28,24
2010-12-05,29
2010-12-12,25
2010-12-19,25
2010-12-26,23
2011-01-02,26
2011-01-09,40
2011-01-16,37
2011-01-23,35
2011-01-30,39
2011-02-06,36
2011-02-13,35
2011-02-20,33
2011-02-27,40
2011-03-06,30
2011-03-13,27
2011-03-20,33
2011-03-27,37
2011-04-03,38
2011-04-10,43
2011-04-17,34
2011-04-24,28
2011-05-01,52
2011-05-08,40
2011-05-15,34
2011-05-22,35
2011-05-29,37
2011-06-05,37
2011-06-12,44
2011-06-19,41
2011-06-26,34
2011-07-03,38
2011-07-10,34
2011-07-17,35
2011-07-24,34
2011-07-31,37
2011-08-07,27
2011-08-14,34
2011-08-21,32
2011-08-28,28
2011-09-04,25
2011-09-11,30
2011-09-18,33
2011-09-25,33
2011-10-02,33
2011-10-09,34
2011-10-16,36
2011-10-23,33
2011-10-30,27
2011-11-06,31
2011-11-13,29
2011-11-20,21
2011-11-27,30
2011-12-04,26
2011-12-11,26
2011-12-18,27
2011-12-25,20
2012-01-01,38
