Category: Shopping

Week,Kellogg's: (United States)
2009-01-11,29
2009-01-18,21
2009-01-25,9
2009-02-01,26
2009-02-08,26
2009-02-15,20
2009-02-22,26
2009-03-01,34
2009-03-08,28
2009-03-15,34
2009-03-22,51
2009-03-29,25
2009-04-05,23
2009-04-12,23
2009-04-19,14
2009-04-26,14
2009-05-03,22
2009-05-10,25
2009-05-17,28
2009-05-24,36
2009-05-31,14
2009-06-07,23
2009-06-14,32
2009-06-21,27
2009-06-28,47
2009-07-05,12
2009-07-12,44
2009-07-19,20
2009-07-26,52
2009-08-02,44
2009-08-09,40
2009-08-16,20
2009-08-23,22
2009-08-30,36
2009-09-06,17
2009-09-13,29
2009-09-20,40
2009-09-27,19
2009-10-04,16
2009-10-11,16
2009-10-18,23
2009-10-25,23
2009-11-01,36
2009-11-08,31
2009-11-15,25
2009-11-22,11
2009-11-29,37
2009-12-06,17
2009-12-13,15
2009-12-20,25
2009-12-27,37
2010-01-03,27
2010-01-10,47
2010-01-17,27
2010-01-24,47
2010-01-31,25
2010-02-07,29
2010-02-14,29
2010-02-21,30
2010-02-28,24
2010-03-07,17
2010-03-14,27
2010-03-21,12
2010-03-28,15
2010-04-04,10
2010-04-11,14
2010-04-18,14
2010-04-25,12
2010-05-02,20
2010-05-09,15
2010-05-16,10
2010-05-23,13
2010-05-30,5
2010-06-06,10
2010-06-13,16
2010-06-20,29
2010-06-27,22
2010-07-04,18
2010-07-11,13
2010-07-18,17
2010-07-25,24
2010-08-01,44
2010-08-08,17
2010-08-15,28
2010-08-22,32
2010-08-29,15
2010-09-05,19
2010-09-12,18
2010-09-19,22
2010-09-26,26
2010-10-03,22
2010-10-10,20
2010-10-17,16
2010-10-24,12
2010-10-31,10
2010-11-07,10
2010-11-14,40
2010-11-21,8
2010-11-28,15
2010-12-05,17
2010-12-12,23
2010-12-19,7
2010-12-26,20
2011-01-02,36
2011-01-09,35
2011-01-16,39
2011-01-23,33
2011-01-30,40
2011-02-06,26
2011-02-13,23
2011-02-20,27
2011-02-27,50
2011-03-06,49
2011-03-13,29
2011-03-20,32
2011-03-27,74
2011-04-03,70
2011-04-10,93
2011-04-17,63
2011-04-24,74
2011-05-01,64
2011-05-08,67
2011-05-15,90
2011-05-22,77
2011-05-29,86
2011-06-05,53
2011-06-12,100
2011-06-19,71
2011-06-26,60
2011-07-03,50
2011-07-10,48
2011-07-17,62
2011-07-24,61
2011-07-31,69
2011-08-07,37
2011-08-14,65
2011-08-21,37
2011-08-28,30
2011-09-04,35
2011-09-11,53
2011-09-18,35
2011-09-25,42
2011-10-02,50
2011-10-09,48
2011-10-16,55
2011-10-23,45
2011-10-30,46
2011-11-06,39
2011-11-13,28
2011-11-20,20
2011-11-27,46
2011-12-04,24
2011-12-11,17
2011-12-18,16
2011-12-25,26
2012-01-01,30
