Category: All categories

Week,Kellogg's: (Ohio)
2009-01-11,71
2009-01-18,66
2009-01-25,24
2009-02-01,63
2009-02-08,47
2009-02-15,46
2009-02-22,53
2009-03-01,67
2009-03-08,30
2009-03-15,52
2009-03-22,31
2009-03-29,37
2009-04-05,31
2009-04-12,16
2009-04-19,46
2009-04-26,30
2009-05-03,54
2009-05-10,39
2009-05-17,24
2009-05-24,68
2009-05-31,49
2009-06-07,58
2009-06-14,17
2009-06-21,59
2009-06-28,43
2009-07-05,17
2009-07-12,49
2009-07-19,32
2009-07-26,60
2009-08-02,61
2009-08-09,26
2009-08-16,34
2009-08-23,0
2009-08-30,66
2009-09-06,17
2009-09-13,24
2009-09-20,39
2009-09-27,31
2009-10-04,60
2009-10-11,23
2009-10-18,52
2009-10-25,30
2009-11-01,44
2009-11-08,44
2009-11-15,36
2009-11-22,34
2009-11-29,42
2009-12-06,67
2009-12-13,14
2009-12-20,37
2009-12-27,18
2010-01-03,27
2010-01-10,33
2010-01-17,13
2010-01-24,38
2010-01-31,32
2010-02-07,40
2010-02-14,52
2010-02-21,31
2010-02-28,31
2010-03-07,13
2010-03-14,20
2010-03-21,20
2010-03-28,63
2010-04-04,34
2010-04-11,33
2010-04-18,39
2010-04-25,39
2010-05-02,13
2010-05-09,14
2010-05-16,14
2010-05-23,36
2010-05-30,31
2010-06-06,60
2010-06-13,16
2010-06-20,100
2010-06-27,69
2010-07-04,15
2010-07-11,57
2010-07-18,42
2010-07-25,50
2010-08-01,29
2010-08-08,28
2010-08-15,35
2010-08-22,35
2010-08-29,55
2010-09-05,22
2010-09-12,20
2010-09-19,13
2010-09-26,39
2010-10-03,46
2010-10-10,40
2010-10-17,25
2010-10-24,13
2010-10-31,18
2010-11-07,25
2010-11-14,36
2010-11-21,28
2010-11-28,24
2010-12-05,24
2010-12-12,43
2010-12-19,15
2010-12-26,42
2011-01-02,32
2011-01-09,39
2011-01-16,31
2011-01-23,15
2011-01-30,7
2011-02-06,41
2011-02-13,23
2011-02-20,38
2011-02-27,45
2011-03-06,26
2011-03-13,40
2011-03-20,23
2011-03-27,35
2011-04-03,52
2011-04-10,57
2011-04-17,34
2011-04-24,34
2011-05-01,34
2011-05-08,39
2011-05-15,46
2011-05-22,23
2011-05-29,17
2011-06-05,24
2011-06-12,55
2011-06-19,33
2011-06-26,29
2011-07-03,57
2011-07-10,36
2011-07-17,29
2011-07-24,25
2011-07-31,60
2011-08-07,31
2011-08-14,37
2011-08-21,37
2011-08-28,25
2011-09-04,14
2011-09-11,21
2011-09-18,46
2011-09-25,10
2011-10-02,35
2011-10-09,41
2011-10-16,44
2011-10-23,30
2011-10-30,17
2011-11-06,32
2011-11-13,13
2011-11-20,18
2011-11-27,25
2011-12-04,25
2011-12-11,35
2011-12-18,23
2011-12-25,24
2012-01-01,16
