Category: Food & Drink

Week,Kellogg's: (Ohio)
2009-01-11,47
2009-01-18,98
2009-01-25,24
2009-02-01,82
2009-02-08,58
2009-02-15,58
2009-02-22,22
2009-03-01,45
2009-03-08,45
2009-03-15,22
2009-03-22,34
2009-03-29,44
2009-04-05,23
2009-04-12,24
2009-04-19,57
2009-04-26,34
2009-05-03,23
2009-05-10,23
2009-05-17,47
2009-05-24,38
2009-05-31,24
2009-06-07,37
2009-06-14,37
2009-06-21,100
2009-06-28,26
2009-07-05,0
2009-07-12,24
2009-07-19,97
2009-07-26,77
2009-08-02,52
2009-08-09,0
2009-08-16,38
2009-08-23,73
2009-08-30,49
2009-09-06,25
2009-09-13,35
2009-09-20,80
2009-09-27,23
2009-10-04,22
2009-10-11,34
2009-10-18,22
2009-10-25,22
2009-11-01,22
2009-11-08,22
2009-11-15,21
2009-11-22,51
2009-11-29,52
2009-12-06,40
2009-12-13,21
2009-12-20,41
2009-12-27,26
2010-01-03,40
2010-01-10,20
2010-01-17,20
2010-01-24,38
2010-01-31,29
2010-02-07,20
2010-02-14,19
2010-02-21,0
2010-02-28,37
2010-03-07,39
2010-03-14,20
2010-03-21,0
2010-03-28,42
2010-04-04,21
2010-04-11,19
2010-04-18,0
2010-04-25,58
2010-05-02,20
2010-05-09,0
2010-05-16,41
2010-05-23,22
2010-05-30,0
2010-06-06,22
2010-06-13,23
2010-06-20,23
2010-06-27,23
2010-07-04,0
2010-07-11,21
2010-07-18,21
2010-07-25,32
2010-08-01,21
2010-08-08,0
2010-08-15,32
2010-08-22,42
2010-08-29,31
2010-09-05,0
2010-09-12,40
2010-09-19,20
2010-09-26,57
2010-10-03,19
2010-10-10,0
2010-10-17,38
2010-10-24,38
2010-10-31,18
2010-11-07,66
2010-11-14,0
2010-11-21,21
2010-11-28,44
2010-12-05,36
2010-12-12,28
2010-12-19,0
2010-12-26,31
2011-01-02,12
2011-01-09,23
2011-01-16,12
2011-01-23,11
2011-01-30,16
2011-02-06,22
2011-02-13,23
2011-02-20,11
2011-02-27,11
2011-03-06,33
2011-03-13,35
2011-03-20,35
2011-03-27,12
2011-04-03,67
2011-04-10,11
2011-04-17,23
2011-04-24,17
2011-05-01,17
2011-05-08,41
2011-05-15,28
2011-05-22,11
2011-05-29,0
2011-06-05,18
2011-06-12,38
2011-06-19,55
2011-06-26,25
2011-07-03,43
2011-07-10,36
2011-07-17,49
2011-07-24,31
2011-07-31,36
2011-08-07,46
2011-08-14,11
2011-08-21,22
2011-08-28,11
2011-09-04,11
2011-09-11,21
2011-09-18,16
2011-09-25,0
2011-10-02,31
2011-10-09,20
2011-10-16,25
2011-10-23,30
2011-10-30,20
2011-11-06,19
2011-11-13,0
2011-11-20,16
2011-11-27,24
2011-12-04,24
2011-12-11,19
2011-12-18,30
2011-12-25,15
2012-01-01,19
