Category: All categories

Week,Life cereal: (United States)
2009-01-11,46
2009-01-18,62
2009-01-25,22
2009-02-01,53
2009-02-08,30
2009-02-15,45
2009-02-22,59
2009-03-01,95
2009-03-08,67
2009-03-15,60
2009-03-22,59
2009-03-29,44
2009-04-05,46
2009-04-12,30
2009-04-19,37
2009-04-26,37
2009-05-03,44
2009-05-10,22
2009-05-17,37
2009-05-24,63
2009-05-31,45
2009-06-07,76
2009-06-14,23
2009-06-21,100
2009-06-28,25
2009-07-05,23
2009-07-12,47
2009-07-19,38
2009-07-26,30
2009-08-02,23
2009-08-09,30
2009-08-16,22
2009-08-23,51
2009-08-30,44
2009-09-06,74
2009-09-13,35
2009-09-20,55
2009-09-27,42
2009-10-04,35
2009-10-11,14
2009-10-18,61
2009-10-25,47
2009-11-01,75
2009-11-08,27
2009-11-15,20
2009-11-22,22
2009-11-29,51
2009-12-06,64
2009-12-13,40
2009-12-20,17
2009-12-27,32
2010-01-03,33
2010-01-10,26
2010-01-17,58
2010-01-24,31
2010-01-31,61
2010-02-07,44
2010-02-14,51
2010-02-21,36
2010-02-28,56
2010-03-07,62
2010-03-14,39
2010-03-21,44
2010-03-28,53
2010-04-04,26
2010-04-11,68
2010-04-18,61
2010-04-25,25
2010-05-02,45
2010-05-09,51
2010-05-16,33
2010-05-23,34
2010-05-30,28
2010-06-06,27
2010-06-13,35
2010-06-20,69
2010-06-27,46
2010-07-04,36
2010-07-11,63
2010-07-18,17
2010-07-25,28
2010-08-01,46
2010-08-08,57
2010-08-15,40
2010-08-22,44
2010-08-29,88
2010-09-05,28
2010-09-12,65
2010-09-19,27
2010-09-26,42
2010-10-03,43
2010-10-10,32
2010-10-17,21
2010-10-24,73
2010-10-31,40
2010-11-07,36
2010-11-14,40
2010-11-21,11
2010-11-28,29
2010-12-05,39
2010-12-12,35
2010-12-19,29
2010-12-26,23
2011-01-02,38
2011-01-09,46
2011-01-16,66
2011-01-23,65
2011-01-30,66
2011-02-06,56
2011-02-13,69
2011-02-20,36
2011-02-27,48
2011-03-06,48
2011-03-13,55
2011-03-20,40
2011-03-27,20
2011-04-03,60
2011-04-10,72
2011-04-17,60
2011-04-24,55
2011-05-01,52
2011-05-08,57
2011-05-15,72
2011-05-22,44
2011-05-29,47
2011-06-05,57
2011-06-12,45
2011-06-19,41
2011-06-26,49
2011-07-03,47
2011-07-10,40
2011-07-17,40
2011-07-24,31
2011-07-31,43
2011-08-07,54
2011-08-14,47
2011-08-21,52
2011-08-28,45
2011-09-04,57
2011-09-11,47
2011-09-18,26
2011-09-25,36
2011-10-02,54
2011-10-09,35
2011-10-16,47
2011-10-23,53
2011-10-30,39
2011-11-06,45
2011-11-13,52
2011-11-20,41
2011-11-27,53
2011-12-04,17
2011-12-11,54
2011-12-18,51
2011-12-25,30
2012-01-01,37
