Category: Food & Drink

Week,Life cereal: (United States)
2009-01-11,99
2009-01-18,37
2009-01-25,24
2009-02-01,36
2009-02-08,24
2009-02-15,0
2009-02-22,95
2009-03-01,36
2009-03-08,36
2009-03-15,0
2009-03-22,23
2009-03-29,47
2009-04-05,24
2009-04-12,96
2009-04-19,47
2009-04-26,23
2009-05-03,23
2009-05-10,24
2009-05-17,24
2009-05-24,25
2009-05-31,24
2009-06-07,24
2009-06-14,61
2009-06-21,37
2009-06-28,0
2009-07-05,25
2009-07-12,25
2009-07-19,24
2009-07-26,0
2009-08-02,25
2009-08-09,0
2009-08-16,0
2009-08-23,70
2009-08-30,93
2009-09-06,24
2009-09-13,22
2009-09-20,22
2009-09-27,34
2009-10-04,22
2009-10-11,44
2009-10-18,33
2009-10-25,33
2009-11-01,44
2009-11-08,21
2009-11-15,32
2009-11-22,24
2009-11-29,0
2009-12-06,21
2009-12-13,54
2009-12-20,0
2009-12-27,26
2010-01-03,21
2010-01-10,0
2010-01-17,0
2010-01-24,50
2010-01-31,20
2010-02-07,20
2010-02-14,51
2010-02-21,39
2010-02-28,40
2010-03-07,60
2010-03-14,31
2010-03-21,100
2010-03-28,32
2010-04-04,51
2010-04-11,20
2010-04-18,20
2010-04-25,0
2010-05-02,21
2010-05-09,21
2010-05-16,0
2010-05-23,32
2010-05-30,34
2010-06-06,21
2010-06-13,22
2010-06-20,0
2010-06-27,32
2010-07-04,20
2010-07-11,18
2010-07-18,0
2010-07-25,37
2010-08-01,0
2010-08-08,0
2010-08-15,18
2010-08-22,36
2010-08-29,53
2010-09-05,45
2010-09-12,52
2010-09-19,34
2010-09-26,0
2010-10-03,69
2010-10-10,34
2010-10-17,34
2010-10-24,0
2010-10-31,33
2010-11-07,16
2010-11-14,32
2010-11-21,0
2010-11-28,39
2010-12-05,40
2010-12-12,16
2010-12-19,38
2010-12-26,37
2011-01-02,27
2011-01-09,13
2011-01-16,46
2011-01-23,20
2011-01-30,37
2011-02-06,19
2011-02-13,32
2011-02-20,45
2011-02-27,64
2011-03-06,51
2011-03-13,27
2011-03-20,32
2011-03-27,57
2011-04-03,32
2011-04-10,19
2011-04-17,26
2011-04-24,38
2011-05-01,0
2011-05-08,26
2011-05-15,77
2011-05-22,33
2011-05-29,41
2011-06-05,52
2011-06-12,0
2011-06-19,33
2011-06-26,20
2011-07-03,27
2011-07-10,19
2011-07-17,19
2011-07-24,19
2011-07-31,19
2011-08-07,37
2011-08-14,37
2011-08-21,36
2011-08-28,0
2011-09-04,24
2011-09-11,35
2011-09-18,18
2011-09-25,17
2011-10-02,29
2011-10-09,34
2011-10-16,11
2011-10-23,40
2011-10-30,34
2011-11-06,39
2011-11-13,17
2011-11-20,18
2011-11-27,27
2011-12-04,21
2011-12-11,32
2011-12-18,23
2011-12-25,12
2012-01-01,27
