Category: Food & Drink

Week,Low-carbohydrate diet: (Kentucky)
2009-01-11,34
2009-01-18,0
2009-01-25,19
2009-02-01,52
2009-02-08,16
2009-02-15,16
2009-02-22,24
2009-03-01,16
2009-03-08,33
2009-03-15,17
2009-03-22,0
2009-03-29,0
2009-04-05,17
2009-04-12,16
2009-04-19,24
2009-04-26,16
2009-05-03,16
2009-05-10,0
2009-05-17,17
2009-05-24,18
2009-05-31,18
2009-06-07,35
2009-06-14,18
2009-06-21,0
2009-06-28,38
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,0
2009-08-02,17
2009-08-09,0
2009-08-16,16
2009-08-23,0
2009-08-30,16
2009-09-06,0
2009-09-13,0
2009-09-20,28
2009-09-27,15
2009-10-04,30
2009-10-11,15
2009-10-18,14
2009-10-25,28
2009-11-01,0
2009-11-08,14
2009-11-15,0
2009-11-22,0
2009-11-29,13
2009-12-06,13
2009-12-13,14
2009-12-20,18
2009-12-27,17
2010-01-03,21
2010-01-10,0
2010-01-17,13
2010-01-24,37
2010-01-31,100
2010-02-07,13
2010-02-14,0
2010-02-21,25
2010-02-28,32
2010-03-07,20
2010-03-14,27
2010-03-21,0
2010-03-28,21
2010-04-04,15
2010-04-11,0
2010-04-18,0
2010-04-25,13
2010-05-02,14
2010-05-09,0
2010-05-16,50
2010-05-23,15
2010-05-30,16
2010-06-06,0
2010-06-13,24
2010-06-20,31
2010-06-27,31
2010-07-04,0
2010-07-11,65
2010-07-18,14
2010-07-25,14
2010-08-01,29
2010-08-08,14
2010-08-15,14
2010-08-22,14
2010-08-29,13
2010-09-05,14
2010-09-12,13
2010-09-19,25
2010-09-26,19
2010-10-03,27
2010-10-10,13
2010-10-17,13
2010-10-24,25
2010-10-31,12
2010-11-07,0
2010-11-14,18
2010-11-21,14
2010-11-28,17
2010-12-05,12
2010-12-12,0
2010-12-19,30
2010-12-26,21
2011-01-02,20
2011-01-09,15
2011-01-16,19
2011-01-23,45
2011-01-30,11
2011-02-06,22
2011-02-13,15
2011-02-20,26
2011-02-27,37
2011-03-06,19
2011-03-13,16
2011-03-20,15
2011-03-27,11
2011-04-03,24
2011-04-10,15
2011-04-17,11
2011-04-24,7
2011-05-01,22
2011-05-08,12
2011-05-15,16
2011-05-22,0
2011-05-29,13
2011-06-05,12
2011-06-12,12
2011-06-19,16
2011-06-26,8
2011-07-03,21
2011-07-10,12
2011-07-17,12
2011-07-24,16
2011-07-31,8
2011-08-07,16
2011-08-14,15
2011-08-21,7
2011-08-28,7
2011-09-04,26
2011-09-11,14
2011-09-18,17
2011-09-25,7
2011-10-02,22
2011-10-09,0
2011-10-16,20
2011-10-23,19
2011-10-30,18
2011-11-06,14
2011-11-13,11
2011-11-20,6
2011-11-27,5
2011-12-04,5
2011-12-11,9
2011-12-18,10
2011-12-25,7
2012-01-01,23
