Category: Food & Drink

Week,Low-carbohydrate diet: (Ohio)
2009-01-11,42
2009-01-18,64
2009-01-25,41
2009-02-01,41
2009-02-08,41
2009-02-15,31
2009-02-22,40
2009-03-01,0
2009-03-08,49
2009-03-15,59
2009-03-22,60
2009-03-29,69
2009-04-05,61
2009-04-12,21
2009-04-19,40
2009-04-26,59
2009-05-03,61
2009-05-10,40
2009-05-17,53
2009-05-24,89
2009-05-31,75
2009-06-07,44
2009-06-14,44
2009-06-21,22
2009-06-28,80
2009-07-05,22
2009-07-12,43
2009-07-19,21
2009-07-26,57
2009-08-02,45
2009-08-09,45
2009-08-16,22
2009-08-23,22
2009-08-30,22
2009-09-06,0
2009-09-13,42
2009-09-20,91
2009-09-27,41
2009-10-04,30
2009-10-11,59
2009-10-18,88
2009-10-25,39
2009-11-01,38
2009-11-08,19
2009-11-15,38
2009-11-22,22
2009-11-29,18
2009-12-06,35
2009-12-13,18
2009-12-20,24
2009-12-27,23
2010-01-03,63
2010-01-10,78
2010-01-17,44
2010-01-24,67
2010-01-31,75
2010-02-07,68
2010-02-14,76
2010-02-21,58
2010-02-28,42
2010-03-07,51
2010-03-14,61
2010-03-21,26
2010-03-28,37
2010-04-04,72
2010-04-11,60
2010-04-18,51
2010-04-25,51
2010-05-02,27
2010-05-09,54
2010-05-16,36
2010-05-23,38
2010-05-30,61
2010-06-06,39
2010-06-13,21
2010-06-20,71
2010-06-27,20
2010-07-04,61
2010-07-11,38
2010-07-18,28
2010-07-25,47
2010-08-01,19
2010-08-08,46
2010-08-15,74
2010-08-22,73
2010-08-29,54
2010-09-05,66
2010-09-12,35
2010-09-19,26
2010-09-26,67
2010-10-03,26
2010-10-10,26
2010-10-17,50
2010-10-24,25
2010-10-31,65
2010-11-07,33
2010-11-14,32
2010-11-21,28
2010-11-28,31
2010-12-05,24
2010-12-12,0
2010-12-19,20
2010-12-26,74
2011-01-02,88
2011-01-09,67
2011-01-16,57
2011-01-23,45
2011-01-30,67
2011-02-06,59
2011-02-13,81
2011-02-20,74
2011-02-27,40
2011-03-06,59
2011-03-13,57
2011-03-20,67
2011-03-27,41
2011-04-03,44
2011-04-10,59
2011-04-17,50
2011-04-24,39
2011-05-01,34
2011-05-08,52
2011-05-15,50
2011-05-22,30
2011-05-29,22
2011-06-05,53
2011-06-12,72
2011-06-19,59
2011-06-26,38
2011-07-03,48
2011-07-10,27
2011-07-17,49
2011-07-24,38
2011-07-31,59
2011-08-07,87
2011-08-14,49
2011-08-21,63
2011-08-28,38
2011-09-04,14
2011-09-11,37
2011-09-18,32
2011-09-25,45
2011-10-02,46
2011-10-09,36
2011-10-16,49
2011-10-23,44
2011-10-30,44
2011-11-06,39
2011-11-13,43
2011-11-20,46
2011-11-27,46
2011-12-04,55
2011-12-11,29
2011-12-18,17
2011-12-25,45
2012-01-01,100
