Category: Food & Drink

Week,Low-carbohydrate diet: (Texas)
2009-01-11,31
2009-01-18,53
2009-01-25,39
2009-02-01,100
2009-02-08,38
2009-02-15,43
2009-02-22,26
2009-03-01,51
2009-03-08,34
2009-03-15,60
2009-03-22,67
2009-03-29,68
2009-04-05,44
2009-04-12,17
2009-04-19,43
2009-04-26,51
2009-05-03,21
2009-05-10,47
2009-05-17,26
2009-05-24,50
2009-05-31,49
2009-06-07,63
2009-06-14,54
2009-06-21,49
2009-06-28,23
2009-07-05,40
2009-07-12,58
2009-07-19,48
2009-07-26,17
2009-08-02,27
2009-08-09,44
2009-08-16,30
2009-08-23,52
2009-08-30,25
2009-09-06,34
2009-09-13,33
2009-09-20,33
2009-09-27,29
2009-10-04,33
2009-10-11,37
2009-10-18,53
2009-10-25,32
2009-11-01,41
2009-11-08,32
2009-11-15,24
2009-11-22,42
2009-11-29,39
2009-12-06,31
2009-12-13,32
2009-12-20,31
2009-12-27,54
2010-01-03,75
2010-01-10,51
2010-01-17,39
2010-01-24,83
2010-01-31,52
2010-02-07,61
2010-02-14,31
2010-02-21,42
2010-02-28,27
2010-03-07,43
2010-03-14,25
2010-03-21,38
2010-03-28,60
2010-04-04,67
2010-04-11,42
2010-04-18,54
2010-04-25,39
2010-05-02,40
2010-05-09,40
2010-05-16,53
2010-05-23,55
2010-05-30,37
2010-06-06,34
2010-06-13,44
2010-06-20,43
2010-06-27,24
2010-07-04,39
2010-07-11,61
2010-07-18,37
2010-07-25,30
2010-08-01,54
2010-08-08,40
2010-08-15,46
2010-08-22,59
2010-08-29,42
2010-09-05,29
2010-09-12,53
2010-09-19,37
2010-09-26,46
2010-10-03,38
2010-10-10,41
2010-10-17,21
2010-10-24,27
2010-10-31,33
2010-11-07,39
2010-11-14,48
2010-11-21,30
2010-11-28,15
2010-12-05,39
2010-12-12,24
2010-12-19,18
2010-12-26,26
2011-01-02,70
2011-01-09,58
2011-01-16,62
2011-01-23,74
2011-01-30,48
2011-02-06,40
2011-02-13,42
2011-02-20,38
2011-02-27,65
2011-03-06,58
2011-03-13,45
2011-03-20,53
2011-03-27,44
2011-04-03,51
2011-04-10,46
2011-04-17,27
2011-04-24,35
2011-05-01,61
2011-05-08,49
2011-05-15,39
2011-05-22,45
2011-05-29,37
2011-06-05,44
2011-06-12,54
2011-06-19,34
2011-06-26,39
2011-07-03,32
2011-07-10,53
2011-07-17,42
2011-07-24,54
2011-07-31,62
2011-08-07,38
2011-08-14,48
2011-08-21,64
2011-08-28,41
2011-09-04,36
2011-09-11,47
2011-09-18,50
2011-09-25,50
2011-10-02,54
2011-10-09,51
2011-10-16,27
2011-10-23,47
2011-10-30,34
2011-11-06,36
2011-11-13,53
2011-11-20,38
2011-11-27,38
2011-12-04,27
2011-12-11,38
2011-12-18,25
2011-12-25,30
2012-01-01,51
