Category: Food & Drink

Week,Low-carbohydrate diet: (United States)
2009-01-11,85
2009-01-18,69
2009-01-25,76
2009-02-01,71
2009-02-08,60
2009-02-15,60
2009-02-22,62
2009-03-01,57
2009-03-08,63
2009-03-15,58
2009-03-22,57
2009-03-29,61
2009-04-05,62
2009-04-12,54
2009-04-19,57
2009-04-26,60
2009-05-03,41
2009-05-10,63
2009-05-17,56
2009-05-24,46
2009-05-31,57
2009-06-07,63
2009-06-14,47
2009-06-21,49
2009-06-28,54
2009-07-05,56
2009-07-12,64
2009-07-19,49
2009-07-26,55
2009-08-02,58
2009-08-09,56
2009-08-16,56
2009-08-23,56
2009-08-30,46
2009-09-06,47
2009-09-13,48
2009-09-20,51
2009-09-27,52
2009-10-04,53
2009-10-11,57
2009-10-18,54
2009-10-25,47
2009-11-01,49
2009-11-08,49
2009-11-15,56
2009-11-22,39
2009-11-29,39
2009-12-06,43
2009-12-13,30
2009-12-20,33
2009-12-27,49
2010-01-03,81
2010-01-10,81
2010-01-17,68
2010-01-24,75
2010-01-31,70
2010-02-07,65
2010-02-14,68
2010-02-21,60
2010-02-28,62
2010-03-07,67
2010-03-14,55
2010-03-21,60
2010-03-28,55
2010-04-04,57
2010-04-11,62
2010-04-18,57
2010-04-25,57
2010-05-02,62
2010-05-09,54
2010-05-16,61
2010-05-23,52
2010-05-30,53
2010-06-06,54
2010-06-13,55
2010-06-20,50
2010-06-27,60
2010-07-04,47
2010-07-11,54
2010-07-18,57
2010-07-25,59
2010-08-01,71
2010-08-08,55
2010-08-15,64
2010-08-22,58
2010-08-29,53
2010-09-05,57
2010-09-12,56
2010-09-19,58
2010-09-26,66
2010-10-03,49
2010-10-10,56
2010-10-17,49
2010-10-24,51
2010-10-31,48
2010-11-07,51
2010-11-14,44
2010-11-21,40
2010-11-28,42
2010-12-05,37
2010-12-12,37
2010-12-19,38
2010-12-26,52
2011-01-02,87
2011-01-09,94
2011-01-16,99
2011-01-23,97
2011-01-30,85
2011-02-06,77
2011-02-13,72
2011-02-20,76
2011-02-27,81
2011-03-06,88
2011-03-13,82
2011-03-20,78
2011-03-27,74
2011-04-03,82
2011-04-10,76
2011-04-17,77
2011-04-24,68
2011-05-01,73
2011-05-08,70
2011-05-15,70
2011-05-22,75
2011-05-29,71
2011-06-05,70
2011-06-12,71
2011-06-19,67
2011-06-26,75
2011-07-03,68
2011-07-10,75
2011-07-17,73
2011-07-24,63
2011-07-31,66
2011-08-07,67
2011-08-14,70
2011-08-21,65
2011-08-28,70
2011-09-04,70
2011-09-11,57
2011-09-18,69
2011-09-25,61
2011-10-02,62
2011-10-09,63
2011-10-16,66
2011-10-23,64
2011-10-30,57
2011-11-06,65
2011-11-13,70
2011-11-20,52
2011-11-27,59
2011-12-04,48
2011-12-11,49
2011-12-18,48
2011-12-25,45
2012-01-01,100
