Category: All categories

Week,Quaker cereal: (United States)
2009-01-11,34
2009-01-18,17
2009-01-25,17
2009-02-01,17
2009-02-08,50
2009-02-15,34
2009-02-22,50
2009-03-01,57
2009-03-08,50
2009-03-15,66
2009-03-22,65
2009-03-29,57
2009-04-05,25
2009-04-12,67
2009-04-19,24
2009-04-26,16
2009-05-03,40
2009-05-10,57
2009-05-17,33
2009-05-24,18
2009-05-31,42
2009-06-07,34
2009-06-14,34
2009-06-21,17
2009-06-28,18
2009-07-05,52
2009-07-12,25
2009-07-19,42
2009-07-26,42
2009-08-02,43
2009-08-09,34
2009-08-16,100
2009-08-23,33
2009-08-30,49
2009-09-06,33
2009-09-13,62
2009-09-20,31
2009-09-27,70
2009-10-04,54
2009-10-11,39
2009-10-18,30
2009-10-25,15
2009-11-01,23
2009-11-08,52
2009-11-15,43
2009-11-22,17
2009-11-29,14
2009-12-06,36
2009-12-13,37
2009-12-20,37
2009-12-27,36
2010-01-03,44
2010-01-10,43
2010-01-17,35
2010-01-24,62
2010-01-31,34
2010-02-07,63
2010-02-14,56
2010-02-21,34
2010-02-28,27
2010-03-07,69
2010-03-14,50
2010-03-21,90
2010-03-28,22
2010-04-04,43
2010-04-11,48
2010-04-18,42
2010-04-25,28
2010-05-02,36
2010-05-09,29
2010-05-16,22
2010-05-23,15
2010-05-30,47
2010-06-06,37
2010-06-13,23
2010-06-20,15
2010-06-27,22
2010-07-04,41
2010-07-11,13
2010-07-18,32
2010-07-25,13
2010-08-01,19
2010-08-08,38
2010-08-15,31
2010-08-22,31
2010-08-29,18
2010-09-05,31
2010-09-12,36
2010-09-19,47
2010-09-26,11
2010-10-03,36
2010-10-10,24
2010-10-17,29
2010-10-24,11
2010-10-31,28
2010-11-07,50
2010-11-14,22
2010-11-21,18
2010-11-28,22
2010-12-05,54
2010-12-12,22
2010-12-19,13
2010-12-26,13
2011-01-02,38
2011-01-09,32
2011-01-16,64
2011-01-23,23
2011-01-30,34
2011-02-06,35
2011-02-13,45
2011-02-20,36
2011-02-27,44
2011-03-06,62
2011-03-13,42
2011-03-20,49
2011-03-27,57
2011-04-03,66
2011-04-10,31
2011-04-17,40
2011-04-24,13
2011-05-01,62
2011-05-08,67
2011-05-15,44
2011-05-22,31
2011-05-29,24
2011-06-05,59
2011-06-12,36
2011-06-19,36
2011-06-26,46
2011-07-03,61
2011-07-10,31
2011-07-17,26
2011-07-24,30
2011-07-31,17
2011-08-07,30
2011-08-14,26
2011-08-21,46
2011-08-28,33
2011-09-04,38
2011-09-11,57
2011-09-18,32
2011-09-25,12
2011-10-02,28
2011-10-09,31
2011-10-16,16
2011-10-23,24
2011-10-30,20
2011-11-06,35
2011-11-13,31
2011-11-20,17
2011-11-27,11
2011-12-04,30
2011-12-11,45
2011-12-18,32
2011-12-25,33
2012-01-01,34
