Category: All categories

Week,Special K: (United States)
2009-01-11,47
2009-01-18,65
2009-01-25,56
2009-02-01,41
2009-02-08,28
2009-02-15,30
2009-02-22,20
2009-03-01,23
2009-03-08,25
2009-03-15,23
2009-03-22,19
2009-03-29,22
2009-04-05,17
2009-04-12,17
2009-04-19,20
2009-04-26,20
2009-05-03,17
2009-05-10,24
2009-05-17,28
2009-05-24,34
2009-05-31,36
2009-06-07,29
2009-06-14,27
2009-06-21,26
2009-06-28,23
2009-07-05,22
2009-07-12,31
2009-07-19,24
2009-07-26,25
2009-08-02,21
2009-08-09,23
2009-08-16,19
2009-08-23,17
2009-08-30,25
2009-09-06,18
2009-09-13,31
2009-09-20,40
2009-09-27,43
2009-10-04,37
2009-10-11,33
2009-10-18,29
2009-10-25,14
2009-11-01,20
2009-11-08,19
2009-11-15,16
2009-11-22,12
2009-11-29,14
2009-12-06,14
2009-12-13,17
2009-12-20,23
2009-12-27,49
2010-01-03,82
2010-01-10,66
2010-01-17,53
2010-01-24,52
2010-01-31,43
2010-02-07,36
2010-02-14,31
2010-02-21,29
2010-02-28,29
2010-03-07,26
2010-03-14,30
2010-03-21,24
2010-03-28,22
2010-04-04,27
2010-04-11,24
2010-04-18,33
2010-04-25,35
2010-05-02,35
2010-05-09,37
2010-05-16,34
2010-05-23,30
2010-05-30,23
2010-06-06,24
2010-06-13,21
2010-06-20,22
2010-06-27,23
2010-07-04,21
2010-07-11,18
2010-07-18,20
2010-07-25,24
2010-08-01,22
2010-08-08,20
2010-08-15,20
2010-08-22,18
2010-08-29,26
2010-09-05,33
2010-09-12,34
2010-09-19,24
2010-09-26,34
2010-10-03,24
2010-10-10,19
2010-10-17,22
2010-10-24,16
2010-10-31,18
2010-11-07,21
2010-11-14,14
2010-11-21,14
2010-11-28,13
2010-12-05,14
2010-12-12,17
2010-12-19,28
2010-12-26,57
2011-01-02,100
2011-01-09,81
2011-01-16,56
2011-01-23,49
2011-01-30,45
2011-02-06,38
2011-02-13,34
2011-02-20,36
2011-02-27,37
2011-03-06,35
2011-03-13,27
2011-03-20,34
2011-03-27,35
2011-04-03,33
2011-04-10,35
2011-04-17,28
2011-04-24,39
2011-05-01,46
2011-05-08,44
2011-05-15,39
2011-05-22,37
2011-05-29,32
2011-06-05,30
2011-06-12,27
2011-06-19,26
2011-06-26,22
2011-07-03,25
2011-07-10,23
2011-07-17,26
2011-07-24,23
2011-07-31,24
2011-08-07,21
2011-08-14,25
2011-08-21,23
2011-08-28,26
2011-09-04,39
2011-09-11,31
2011-09-18,30
2011-09-25,32
2011-10-02,32
2011-10-09,20
2011-10-16,24
2011-10-23,21
2011-10-30,17
2011-11-06,20
2011-11-13,22
2011-11-20,16
2011-11-27,18
2011-12-04,16
2011-12-11,15
2011-12-18,15
2011-12-25,37
2012-01-01,76
