Category: Shopping

Week,Special K: (United States)
2009-01-11,14
2009-01-18,33
2009-01-25,22
2009-02-01,14
2009-02-08,9
2009-02-15,0
2009-02-22,9
2009-03-01,9
2009-03-08,9
2009-03-15,27
2009-03-22,27
2009-03-29,13
2009-04-05,27
2009-04-12,28
2009-04-19,0
2009-04-26,23
2009-05-03,22
2009-05-10,40
2009-05-17,22
2009-05-24,14
2009-05-31,23
2009-06-07,37
2009-06-14,18
2009-06-21,14
2009-06-28,30
2009-07-05,38
2009-07-12,18
2009-07-19,18
2009-07-26,14
2009-08-02,19
2009-08-09,18
2009-08-16,9
2009-08-23,18
2009-08-30,13
2009-09-06,18
2009-09-13,47
2009-09-20,55
2009-09-27,46
2009-10-04,25
2009-10-11,29
2009-10-18,16
2009-10-25,16
2009-11-01,16
2009-11-08,36
2009-11-15,16
2009-11-22,0
2009-11-29,16
2009-12-06,16
2009-12-13,20
2009-12-20,20
2009-12-27,49
2010-01-03,63
2010-01-10,78
2010-01-17,39
2010-01-24,23
2010-01-31,37
2010-02-07,15
2010-02-14,35
2010-02-21,37
2010-02-28,37
2010-03-07,53
2010-03-14,12
2010-03-21,57
2010-03-28,24
2010-04-04,55
2010-04-11,41
2010-04-18,34
2010-04-25,42
2010-05-02,35
2010-05-09,16
2010-05-16,39
2010-05-23,8
2010-05-30,13
2010-06-06,8
2010-06-13,16
2010-06-20,25
2010-06-27,24
2010-07-04,18
2010-07-11,10
2010-07-18,17
2010-07-25,10
2010-08-01,14
2010-08-08,24
2010-08-15,24
2010-08-22,10
2010-08-29,16
2010-09-05,17
2010-09-12,10
2010-09-19,35
2010-09-26,19
2010-10-03,13
2010-10-10,13
2010-10-17,6
2010-10-24,6
2010-10-31,15
2010-11-07,9
2010-11-14,15
2010-11-21,7
2010-11-28,9
2010-12-05,6
2010-12-12,12
2010-12-19,18
2010-12-26,18
2011-01-02,100
2011-01-09,88
2011-01-16,55
2011-01-23,44
2011-01-30,49
2011-02-06,36
2011-02-13,24
2011-02-20,27
2011-02-27,26
2011-03-06,27
2011-03-13,15
2011-03-20,24
2011-03-27,29
2011-04-03,29
2011-04-10,34
2011-04-17,34
2011-04-24,31
2011-05-01,57
2011-05-08,39
2011-05-15,53
2011-05-22,29
2011-05-29,23
2011-06-05,52
2011-06-12,25
2011-06-19,34
2011-06-26,25
2011-07-03,18
2011-07-10,22
2011-07-17,21
2011-07-24,21
2011-07-31,31
2011-08-07,21
2011-08-14,23
2011-08-21,27
2011-08-28,27
2011-09-04,37
2011-09-11,18
2011-09-18,13
2011-09-25,39
2011-10-02,44
2011-10-09,17
2011-10-16,47
2011-10-23,28
2011-10-30,17
2011-11-06,15
2011-11-13,4
2011-11-20,9
2011-11-27,16
2011-12-04,6
2011-12-11,12
2011-12-18,13
2011-12-25,20
2012-01-01,74
