Category: All categories

Week,Amazon Fresh: (United States)
2009-01-11,30
2009-01-18,30
2009-01-25,19
2009-02-01,25
2009-02-08,10
2009-02-15,40
2009-02-22,19
2009-03-01,38
2009-03-08,39
2009-03-15,24
2009-03-22,44
2009-03-29,24
2009-04-05,39
2009-04-12,39
2009-04-19,24
2009-04-26,43
2009-05-03,38
2009-05-10,39
2009-05-17,30
2009-05-24,21
2009-05-31,44
2009-06-07,34
2009-06-14,0
2009-06-21,45
2009-06-28,26
2009-07-05,35
2009-07-12,39
2009-07-19,10
2009-07-26,19
2009-08-02,20
2009-08-09,15
2009-08-16,10
2009-08-23,38
2009-08-30,19
2009-09-06,24
2009-09-13,27
2009-09-20,18
2009-09-27,36
2009-10-04,9
2009-10-11,40
2009-10-18,40
2009-10-25,44
2009-11-01,22
2009-11-08,22
2009-11-15,34
2009-11-22,39
2009-11-29,33
2009-12-06,37
2009-12-13,35
2009-12-20,33
2009-12-27,64
2010-01-03,21
2010-01-10,38
2010-01-17,49
2010-01-24,24
2010-01-31,8
2010-02-07,25
2010-02-14,62
2010-02-21,31
2010-02-28,32
2010-03-07,24
2010-03-14,21
2010-03-21,16
2010-03-28,9
2010-04-04,9
2010-04-11,20
2010-04-18,28
2010-04-25,16
2010-05-02,37
2010-05-09,38
2010-05-16,43
2010-05-23,30
2010-05-30,27
2010-06-06,35
2010-06-13,40
2010-06-20,36
2010-06-27,39
2010-07-04,55
2010-07-11,34
2010-07-18,37
2010-07-25,48
2010-08-01,37
2010-08-08,40
2010-08-15,47
2010-08-22,44
2010-08-29,35
2010-09-05,29
2010-09-12,66
2010-09-19,58
2010-09-26,44
2010-10-03,38
2010-10-10,46
2010-10-17,44
2010-10-24,44
2010-10-31,59
2010-11-07,36
2010-11-14,49
2010-11-21,58
2010-11-28,32
2010-12-05,77
2010-12-12,58
2010-12-19,69
2010-12-26,53
2011-01-02,52
2011-01-09,65
2011-01-16,54
2011-01-23,87
2011-01-30,88
2011-02-06,45
2011-02-13,53
2011-02-20,47
2011-02-27,39
2011-03-06,52
2011-03-13,99
2011-03-20,52
2011-03-27,72
2011-04-03,67
2011-04-10,62
2011-04-17,83
2011-04-24,100
2011-05-01,49
2011-05-08,42
2011-05-15,62
2011-05-22,63
2011-05-29,69
2011-06-05,58
2011-06-12,72
2011-06-19,59
2011-06-26,83
2011-07-03,47
2011-07-10,57
2011-07-17,51
2011-07-24,53
2011-07-31,48
2011-08-07,55
2011-08-14,68
2011-08-21,63
2011-08-28,61
2011-09-04,42
2011-09-11,87
2011-09-18,76
2011-09-25,51
2011-10-02,68
2011-10-09,52
2011-10-16,49
2011-10-23,69
2011-10-30,58
2011-11-06,75
2011-11-13,43
2011-11-20,61
2011-11-27,58
2011-12-04,52
2011-12-11,70
2011-12-18,77
2011-12-25,63
2012-01-01,75
