Category: Shopping

Week,Amazon Fresh: (United States)
2009-01-11,29
2009-01-18,29
2009-01-25,42
2009-02-01,28
2009-02-08,42
2009-02-15,28
2009-02-22,55
2009-03-01,34
2009-03-08,21
2009-03-15,28
2009-03-22,48
2009-03-29,28
2009-04-05,28
2009-04-12,21
2009-04-19,28
2009-04-26,14
2009-05-03,41
2009-05-10,42
2009-05-17,100
2009-05-24,15
2009-05-31,14
2009-06-07,21
2009-06-14,14
2009-06-21,57
2009-06-28,39
2009-07-05,37
2009-07-12,29
2009-07-19,73
2009-07-26,43
2009-08-02,28
2009-08-09,14
2009-08-16,14
2009-08-23,28
2009-08-30,27
2009-09-06,35
2009-09-13,46
2009-09-20,20
2009-09-27,39
2009-10-04,19
2009-10-11,32
2009-10-18,25
2009-10-25,19
2009-11-01,32
2009-11-08,38
2009-11-15,37
2009-11-22,21
2009-11-29,36
2009-12-06,18
2009-12-13,25
2009-12-20,16
2009-12-27,31
2010-01-03,36
2010-01-10,24
2010-01-17,18
2010-01-24,29
2010-01-31,12
2010-02-07,30
2010-02-14,78
2010-02-21,11
2010-02-28,24
2010-03-07,0
2010-03-14,37
2010-03-21,12
2010-03-28,19
2010-04-04,18
2010-04-11,11
2010-04-18,17
2010-04-25,46
2010-05-02,24
2010-05-09,37
2010-05-16,31
2010-05-23,39
2010-05-30,26
2010-06-06,25
2010-06-13,39
2010-06-20,39
2010-06-27,44
2010-07-04,51
2010-07-11,22
2010-07-18,71
2010-07-25,33
2010-08-01,27
2010-08-08,84
2010-08-15,48
2010-08-22,26
2010-08-29,47
2010-09-05,61
2010-09-12,60
2010-09-19,30
2010-09-26,34
2010-10-03,45
2010-10-10,46
2010-10-17,59
2010-10-24,30
2010-10-31,33
2010-11-07,39
2010-11-14,56
2010-11-21,31
2010-11-28,41
2010-12-05,65
2010-12-12,48
2010-12-19,50
2010-12-26,60
2011-01-02,96
2011-01-09,58
2011-01-16,54
2011-01-23,69
2011-01-30,80
2011-02-06,34
2011-02-13,60
2011-02-20,53
2011-02-27,45
2011-03-06,42
2011-03-13,64
2011-03-20,63
2011-03-27,67
2011-04-03,64
2011-04-10,45
2011-04-17,61
2011-04-24,89
2011-05-01,67
2011-05-08,42
2011-05-15,56
2011-05-22,95
2011-05-29,55
2011-06-05,61
2011-06-12,69
2011-06-19,46
2011-06-26,50
2011-07-03,56
2011-07-10,68
2011-07-17,75
2011-07-24,66
2011-07-31,36
2011-08-07,51
2011-08-14,30
2011-08-21,67
2011-08-28,81
2011-09-04,47
2011-09-11,61
2011-09-18,51
2011-09-25,68
2011-10-02,54
2011-10-09,69
2011-10-16,58
2011-10-23,57
2011-10-30,47
2011-11-06,82
2011-11-13,55
2011-11-20,56
2011-11-27,47
2011-12-04,57
2011-12-11,63
2011-12-18,61
2011-12-25,57
2012-01-01,70
