Category: Grocery & Food Retailers

Week,Costco: (United States)
2009-01-11,58
2009-01-18,43
2009-01-25,48
2009-02-01,36
2009-02-08,56
2009-02-15,71
2009-02-22,42
2009-03-01,62
2009-03-08,42
2009-03-15,35
2009-03-22,42
2009-03-29,83
2009-04-05,51
2009-04-12,50
2009-04-19,63
2009-04-26,48
2009-05-03,83
2009-05-10,63
2009-05-17,21
2009-05-24,82
2009-05-31,50
2009-06-07,50
2009-06-14,64
2009-06-21,100
2009-06-28,78
2009-07-05,51
2009-07-12,22
2009-07-19,58
2009-07-26,36
2009-08-02,22
2009-08-09,86
2009-08-16,56
2009-08-23,48
2009-08-30,42
2009-09-06,28
2009-09-13,59
2009-09-20,33
2009-09-27,53
2009-10-04,20
2009-10-11,39
2009-10-18,19
2009-10-25,44
2009-11-01,32
2009-11-08,38
2009-11-15,68
2009-11-22,55
2009-11-29,48
2009-12-06,24
2009-12-13,89
2009-12-20,55
2009-12-27,31
2010-01-03,25
2010-01-10,67
2010-01-17,30
2010-01-24,76
2010-01-31,57
2010-02-07,41
2010-02-14,36
2010-02-21,56
2010-02-28,41
2010-03-07,41
2010-03-14,37
2010-03-21,29
2010-03-28,25
2010-04-04,66
2010-04-11,23
2010-04-18,41
2010-04-25,29
2010-05-02,30
2010-05-09,36
2010-05-16,19
2010-05-23,26
2010-05-30,33
2010-06-06,19
2010-06-13,52
2010-06-20,26
2010-06-27,44
2010-07-04,17
2010-07-11,38
2010-07-18,22
2010-07-25,27
2010-08-01,43
2010-08-08,32
2010-08-15,10
2010-08-22,58
2010-08-29,46
2010-09-05,53
2010-09-12,46
2010-09-19,15
2010-09-26,69
2010-10-03,66
2010-10-10,31
2010-10-17,34
2010-10-24,24
2010-10-31,24
2010-11-07,38
2010-11-14,80
2010-11-21,73
2010-11-28,32
2010-12-05,46
2010-12-12,57
2010-12-19,66
2010-12-26,65
2011-01-02,52
2011-01-09,55
2011-01-16,35
2011-01-23,58
2011-01-30,40
2011-02-06,30
2011-02-13,31
2011-02-20,50
2011-02-27,41
2011-03-06,26
2011-03-13,35
2011-03-20,52
2011-03-27,49
2011-04-03,45
2011-04-10,34
2011-04-17,60
2011-04-24,64
2011-05-01,60
2011-05-08,30
2011-05-15,52
2011-05-22,46
2011-05-29,44
2011-06-05,38
2011-06-12,54
2011-06-19,54
2011-06-26,89
2011-07-03,92
2011-07-10,72
2011-07-17,37
2011-07-24,33
2011-07-31,51
2011-08-07,47
2011-08-14,37
2011-08-21,46
2011-08-28,71
2011-09-04,47
2011-09-11,48
2011-09-18,27
2011-09-25,44
2011-10-02,17
2011-10-09,53
2011-10-16,58
2011-10-23,50
2011-10-30,37
2011-11-06,72
2011-11-13,72
2011-11-20,60
2011-11-27,47
2011-12-04,62
2011-12-11,32
2011-12-18,61
2011-12-25,70
2012-01-01,64
