Category: Shopping

Week,Costco: (Kentucky)
2009-01-11,55
2009-01-18,18
2009-01-25,62
2009-02-01,0
2009-02-08,45
2009-02-15,18
2009-02-22,53
2009-03-01,35
2009-03-08,18
2009-03-15,47
2009-03-22,18
2009-03-29,19
2009-04-05,36
2009-04-12,18
2009-04-19,27
2009-04-26,35
2009-05-03,35
2009-05-10,37
2009-05-17,47
2009-05-24,20
2009-05-31,19
2009-06-07,39
2009-06-14,49
2009-06-21,78
2009-06-28,21
2009-07-05,20
2009-07-12,39
2009-07-19,38
2009-07-26,46
2009-08-02,38
2009-08-09,28
2009-08-16,18
2009-08-23,34
2009-08-30,17
2009-09-06,0
2009-09-13,24
2009-09-20,39
2009-09-27,16
2009-10-04,33
2009-10-11,32
2009-10-18,48
2009-10-25,38
2009-11-01,16
2009-11-08,39
2009-11-15,38
2009-11-22,88
2009-11-29,36
2009-12-06,79
2009-12-13,69
2009-12-20,100
2009-12-27,48
2010-01-03,76
2010-01-10,37
2010-01-17,29
2010-01-24,14
2010-01-31,34
2010-02-07,28
2010-02-14,14
2010-02-21,27
2010-02-28,14
2010-03-07,37
2010-03-14,60
2010-03-21,29
2010-03-28,30
2010-04-04,24
2010-04-11,30
2010-04-18,22
2010-04-25,22
2010-05-02,23
2010-05-09,55
2010-05-16,47
2010-05-23,33
2010-05-30,54
2010-06-06,51
2010-06-13,26
2010-06-20,17
2010-06-27,42
2010-07-04,26
2010-07-11,40
2010-07-18,39
2010-07-25,16
2010-08-01,32
2010-08-08,61
2010-08-15,53
2010-08-22,59
2010-08-29,29
2010-09-05,53
2010-09-12,65
2010-09-19,28
2010-09-26,21
2010-10-03,29
2010-10-10,22
2010-10-17,28
2010-10-24,27
2010-10-31,47
2010-11-07,20
2010-11-14,79
2010-11-21,75
2010-11-28,63
2010-12-05,45
2010-12-12,73
2010-12-19,84
2010-12-26,70
2011-01-02,62
2011-01-09,33
2011-01-16,29
2011-01-23,41
2011-01-30,20
2011-02-06,8
2011-02-13,29
2011-02-20,45
2011-02-27,41
2011-03-06,21
2011-03-13,18
2011-03-20,54
2011-03-27,16
2011-04-03,45
2011-04-10,30
2011-04-17,46
2011-04-24,33
2011-05-01,37
2011-05-08,27
2011-05-15,44
2011-05-22,39
2011-05-29,57
2011-06-05,32
2011-06-12,36
2011-06-19,18
2011-06-26,28
2011-07-03,57
2011-07-10,35
2011-07-17,26
2011-07-24,26
2011-07-31,52
2011-08-07,42
2011-08-14,41
2011-08-21,28
2011-08-28,32
2011-09-04,28
2011-09-11,24
2011-09-18,49
2011-09-25,43
2011-10-02,40
2011-10-09,42
2011-10-16,37
2011-10-23,45
2011-10-30,33
2011-11-06,57
2011-11-13,47
2011-11-20,77
2011-11-27,75
2011-12-04,79
2011-12-11,70
2011-12-18,89
2011-12-25,69
2012-01-01,58
