Category: Shopping

Week,Costco: (Ohio)
2009-01-11,39
2009-01-18,40
2009-01-25,32
2009-02-01,35
2009-02-08,29
2009-02-15,28
2009-02-22,39
2009-03-01,38
2009-03-08,42
2009-03-15,39
2009-03-22,33
2009-03-29,50
2009-04-05,45
2009-04-12,39
2009-04-19,41
2009-04-26,32
2009-05-03,31
2009-05-10,41
2009-05-17,31
2009-05-24,42
2009-05-31,44
2009-06-07,75
2009-06-14,52
2009-06-21,49
2009-06-28,45
2009-07-05,48
2009-07-12,35
2009-07-19,44
2009-07-26,41
2009-08-02,22
2009-08-09,35
2009-08-16,31
2009-08-23,41
2009-08-30,35
2009-09-06,25
2009-09-13,37
2009-09-20,36
2009-09-27,31
2009-10-04,44
2009-10-11,34
2009-10-18,42
2009-10-25,38
2009-11-01,46
2009-11-08,30
2009-11-15,63
2009-11-22,100
2009-11-29,83
2009-12-06,66
2009-12-13,75
2009-12-20,81
2009-12-27,60
2010-01-03,74
2010-01-10,44
2010-01-17,37
2010-01-24,48
2010-01-31,44
2010-02-07,35
2010-02-14,28
2010-02-21,40
2010-02-28,31
2010-03-07,42
2010-03-14,43
2010-03-21,40
2010-03-28,42
2010-04-04,43
2010-04-11,43
2010-04-18,31
2010-04-25,41
2010-05-02,46
2010-05-09,55
2010-05-16,44
2010-05-23,28
2010-05-30,52
2010-06-06,34
2010-06-13,57
2010-06-20,33
2010-06-27,54
2010-07-04,45
2010-07-11,52
2010-07-18,50
2010-07-25,46
2010-08-01,56
2010-08-08,37
2010-08-15,58
2010-08-22,60
2010-08-29,32
2010-09-05,60
2010-09-12,60
2010-09-19,42
2010-09-26,33
2010-10-03,39
2010-10-10,30
2010-10-17,40
2010-10-24,46
2010-10-31,44
2010-11-07,71
2010-11-14,55
2010-11-21,93
2010-11-28,78
2010-12-05,69
2010-12-12,98
2010-12-19,66
2010-12-26,82
2011-01-02,38
2011-01-09,38
2011-01-16,38
2011-01-23,49
2011-01-30,50
2011-02-06,30
2011-02-13,37
2011-02-20,46
2011-02-27,36
2011-03-06,40
2011-03-13,28
2011-03-20,26
2011-03-27,42
2011-04-03,41
2011-04-10,39
2011-04-17,40
2011-04-24,42
2011-05-01,44
2011-05-08,36
2011-05-15,41
2011-05-22,31
2011-05-29,49
2011-06-05,37
2011-06-12,59
2011-06-19,34
2011-06-26,31
2011-07-03,49
2011-07-10,43
2011-07-17,45
2011-07-24,43
2011-07-31,39
2011-08-07,50
2011-08-14,53
2011-08-21,34
2011-08-28,51
2011-09-04,63
2011-09-11,44
2011-09-18,28
2011-09-25,44
2011-10-02,48
2011-10-09,44
2011-10-16,45
2011-10-23,46
2011-10-30,57
2011-11-06,46
2011-11-13,59
2011-11-20,90
2011-11-27,63
2011-12-04,65
2011-12-11,71
2011-12-18,61
2011-12-25,68
2012-01-01,47
