Category: Shopping

Week,Costco: (Texas)
2009-01-11,48
2009-01-18,45
2009-01-25,47
2009-02-01,47
2009-02-08,40
2009-02-15,52
2009-02-22,53
2009-03-01,43
2009-03-08,39
2009-03-15,54
2009-03-22,34
2009-03-29,38
2009-04-05,47
2009-04-12,48
2009-04-19,37
2009-04-26,42
2009-05-03,50
2009-05-10,39
2009-05-17,50
2009-05-24,64
2009-05-31,44
2009-06-07,63
2009-06-14,45
2009-06-21,47
2009-06-28,50
2009-07-05,57
2009-07-12,45
2009-07-19,37
2009-07-26,46
2009-08-02,39
2009-08-09,57
2009-08-16,53
2009-08-23,44
2009-08-30,47
2009-09-06,51
2009-09-13,37
2009-09-20,39
2009-09-27,40
2009-10-04,35
2009-10-11,43
2009-10-18,41
2009-10-25,36
2009-11-01,43
2009-11-08,57
2009-11-15,66
2009-11-22,100
2009-11-29,67
2009-12-06,62
2009-12-13,77
2009-12-20,81
2009-12-27,65
2010-01-03,46
2010-01-10,51
2010-01-17,41
2010-01-24,47
2010-01-31,43
2010-02-07,51
2010-02-14,48
2010-02-21,42
2010-02-28,35
2010-03-07,42
2010-03-14,43
2010-03-21,40
2010-03-28,40
2010-04-04,40
2010-04-11,41
2010-04-18,37
2010-04-25,43
2010-05-02,43
2010-05-09,45
2010-05-16,40
2010-05-23,54
2010-05-30,54
2010-06-06,47
2010-06-13,45
2010-06-20,45
2010-06-27,40
2010-07-04,48
2010-07-11,38
2010-07-18,34
2010-07-25,38
2010-08-01,38
2010-08-08,43
2010-08-15,36
2010-08-22,35
2010-08-29,37
2010-09-05,47
2010-09-12,49
2010-09-19,36
2010-09-26,32
2010-10-03,35
2010-10-10,31
2010-10-17,32
2010-10-24,38
2010-10-31,43
2010-11-07,49
2010-11-14,56
2010-11-21,84
2010-11-28,70
2010-12-05,56
2010-12-12,66
2010-12-19,66
2010-12-26,58
2011-01-02,46
2011-01-09,37
2011-01-16,35
2011-01-23,34
2011-01-30,33
2011-02-06,36
2011-02-13,38
2011-02-20,39
2011-02-27,38
2011-03-06,36
2011-03-13,41
2011-03-20,31
2011-03-27,38
2011-04-03,35
2011-04-10,36
2011-04-17,38
2011-04-24,39
2011-05-01,43
2011-05-08,35
2011-05-15,34
2011-05-22,37
2011-05-29,53
2011-06-05,40
2011-06-12,35
2011-06-19,37
2011-06-26,37
2011-07-03,43
2011-07-10,39
2011-07-17,45
2011-07-24,40
2011-07-31,39
2011-08-07,38
2011-08-14,36
2011-08-21,44
2011-08-28,43
2011-09-04,41
2011-09-11,34
2011-09-18,36
2011-09-25,38
2011-10-02,39
2011-10-09,34
2011-10-16,40
2011-10-23,45
2011-10-30,39
2011-11-06,45
2011-11-13,45
2011-11-20,80
2011-11-27,59
2011-12-04,50
2011-12-11,60
2011-12-18,62
2011-12-25,55
2012-01-01,40
