Category: Shopping

Week,Costco: (United States)
2009-01-11,48
2009-01-18,45
2009-01-25,43
2009-02-01,43
2009-02-08,43
2009-02-15,42
2009-02-22,41
2009-03-01,40
2009-03-08,40
2009-03-15,39
2009-03-22,38
2009-03-29,40
2009-04-05,41
2009-04-12,40
2009-04-19,37
2009-04-26,41
2009-05-03,42
2009-05-10,42
2009-05-17,44
2009-05-24,48
2009-05-31,43
2009-06-07,46
2009-06-14,48
2009-06-21,44
2009-06-28,49
2009-07-05,45
2009-07-12,43
2009-07-19,41
2009-07-26,43
2009-08-02,41
2009-08-09,43
2009-08-16,45
2009-08-23,41
2009-08-30,41
2009-09-06,40
2009-09-13,38
2009-09-20,38
2009-09-27,38
2009-10-04,38
2009-10-11,40
2009-10-18,37
2009-10-25,38
2009-11-01,43
2009-11-08,48
2009-11-15,50
2009-11-22,82
2009-11-29,63
2009-12-06,65
2009-12-13,67
2009-12-20,72
2009-12-27,60
2010-01-03,46
2010-01-10,42
2010-01-17,38
2010-01-24,35
2010-01-31,39
2010-02-07,38
2010-02-14,35
2010-02-21,35
2010-02-28,35
2010-03-07,35
2010-03-14,36
2010-03-21,34
2010-03-28,39
2010-04-04,36
2010-04-11,36
2010-04-18,35
2010-04-25,36
2010-05-02,40
2010-05-09,36
2010-05-16,38
2010-05-23,39
2010-05-30,45
2010-06-06,39
2010-06-13,41
2010-06-20,39
2010-06-27,44
2010-07-04,46
2010-07-11,40
2010-07-18,42
2010-07-25,40
2010-08-01,42
2010-08-08,39
2010-08-15,42
2010-08-22,38
2010-08-29,38
2010-09-05,47
2010-09-12,41
2010-09-19,37
2010-09-26,37
2010-10-03,38
2010-10-10,39
2010-10-17,39
2010-10-24,40
2010-10-31,41
2010-11-07,50
2010-11-14,53
2010-11-21,83
2010-11-28,66
2010-12-05,61
2010-12-12,66
2010-12-19,73
2010-12-26,60
2011-01-02,53
2011-01-09,48
2011-01-16,46
2011-01-23,44
2011-01-30,46
2011-02-06,45
2011-02-13,44
2011-02-20,47
2011-02-27,46
2011-03-06,47
2011-03-13,44
2011-03-20,44
2011-03-27,46
2011-04-03,46
2011-04-10,46
2011-04-17,49
2011-04-24,47
2011-05-01,49
2011-05-08,48
2011-05-15,45
2011-05-22,49
2011-05-29,61
2011-06-05,49
2011-06-12,51
2011-06-19,50
2011-06-26,54
2011-07-03,57
2011-07-10,53
2011-07-17,51
2011-07-24,51
2011-07-31,52
2011-08-07,49
2011-08-14,53
2011-08-21,50
2011-08-28,51
2011-09-04,55
2011-09-11,47
2011-09-18,47
2011-09-25,46
2011-10-02,48
2011-10-09,47
2011-10-16,48
2011-10-23,48
2011-10-30,51
2011-11-06,57
2011-11-13,60
2011-11-20,100
2011-11-27,74
2011-12-04,70
2011-12-11,77
2011-12-18,86
2011-12-25,69
2012-01-01,58
