Category: All categories

Week,coupons.com: (Kentucky)
2009-01-11,39
2009-01-18,0
2009-01-25,44
2009-02-01,40
2009-02-08,39
2009-02-15,38
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,60
2009-03-22,0
2009-03-29,40
2009-04-05,0
2009-04-12,38
2009-04-19,37
2009-04-26,38
2009-05-03,0
2009-05-10,39
2009-05-17,40
2009-05-24,41
2009-05-31,41
2009-06-07,42
2009-06-14,42
2009-06-21,42
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,60
2009-08-02,40
2009-08-09,39
2009-08-16,38
2009-08-23,0
2009-08-30,37
2009-09-06,37
2009-09-13,34
2009-09-20,100
2009-09-27,35
2009-10-04,35
2009-10-11,51
2009-10-18,34
2009-10-25,0
2009-11-01,32
2009-11-08,33
2009-11-15,0
2009-11-22,0
2009-11-29,61
2009-12-06,31
2009-12-13,0
2009-12-20,43
2009-12-27,0
2010-01-03,33
2010-01-10,31
2010-01-17,31
2010-01-24,88
2010-01-31,59
2010-02-07,30
2010-02-14,30
2010-02-21,0
2010-02-28,30
2010-03-07,31
2010-03-14,32
2010-03-21,61
2010-03-28,32
2010-04-04,0
2010-04-11,0
2010-04-18,31
2010-04-25,62
2010-05-02,0
2010-05-09,0
2010-05-16,66
2010-05-23,35
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,36
2010-07-11,34
2010-07-18,33
2010-07-25,67
2010-08-01,34
2010-08-08,49
2010-08-15,0
2010-08-22,0
2010-08-29,31
2010-09-05,48
2010-09-12,0
2010-09-19,0
2010-09-26,30
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,29
2010-10-31,29
2010-11-07,29
2010-11-14,0
2010-11-21,32
2010-11-28,0
2010-12-05,41
2010-12-12,28
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,27
2011-01-16,35
2011-01-23,35
2011-01-30,17
2011-02-06,51
2011-02-13,18
2011-02-20,17
2011-02-27,44
2011-03-06,18
2011-03-13,19
2011-03-20,26
2011-03-27,52
2011-04-03,38
2011-04-10,27
2011-04-17,62
2011-04-24,35
2011-05-01,53
2011-05-08,37
2011-05-15,28
2011-05-22,74
2011-05-29,40
2011-06-05,59
2011-06-12,39
2011-06-19,77
2011-06-26,20
2011-07-03,60
2011-07-10,38
2011-07-17,55
2011-07-24,27
2011-07-31,37
2011-08-07,0
2011-08-14,35
2011-08-21,59
2011-08-28,43
2011-09-04,26
2011-09-11,17
2011-09-18,32
2011-09-25,0
2011-10-02,26
2011-10-09,33
2011-10-16,16
2011-10-23,30
2011-10-30,14
2011-11-06,13
2011-11-13,0
2011-11-20,20
2011-11-27,11
2011-12-04,11
2011-12-11,33
2011-12-18,34
2011-12-25,11
2012-01-01,16
