Category: All categories

Week,coupons.com: (Ohio)
2009-01-11,14
2009-01-18,45
2009-01-25,14
2009-02-01,28
2009-02-08,14
2009-02-15,28
2009-02-22,34
2009-03-01,20
2009-03-08,27
2009-03-15,20
2009-03-22,35
2009-03-29,14
2009-04-05,28
2009-04-12,14
2009-04-19,21
2009-04-26,14
2009-05-03,35
2009-05-10,14
2009-05-17,44
2009-05-24,23
2009-05-31,30
2009-06-07,30
2009-06-14,23
2009-06-21,15
2009-06-28,16
2009-07-05,30
2009-07-12,15
2009-07-19,15
2009-07-26,24
2009-08-02,16
2009-08-09,32
2009-08-16,31
2009-08-23,30
2009-08-30,45
2009-09-06,31
2009-09-13,21
2009-09-20,28
2009-09-27,28
2009-10-04,41
2009-10-11,27
2009-10-18,14
2009-10-25,34
2009-11-01,33
2009-11-08,40
2009-11-15,32
2009-11-22,0
2009-11-29,51
2009-12-06,36
2009-12-13,13
2009-12-20,100
2009-12-27,16
2010-01-03,49
2010-01-10,24
2010-01-17,18
2010-01-24,46
2010-01-31,47
2010-02-07,48
2010-02-14,23
2010-02-21,23
2010-02-28,46
2010-03-07,35
2010-03-14,24
2010-03-21,30
2010-03-28,25
2010-04-04,25
2010-04-11,36
2010-04-18,29
2010-04-25,35
2010-05-02,18
2010-05-09,31
2010-05-16,12
2010-05-23,13
2010-05-30,28
2010-06-06,13
2010-06-13,57
2010-06-20,14
2010-06-27,21
2010-07-04,21
2010-07-11,13
2010-07-18,13
2010-07-25,13
2010-08-01,39
2010-08-08,26
2010-08-15,32
2010-08-22,13
2010-08-29,0
2010-09-05,20
2010-09-12,24
2010-09-19,18
2010-09-26,17
2010-10-03,12
2010-10-10,24
2010-10-17,35
2010-10-24,11
2010-10-31,28
2010-11-07,29
2010-11-14,11
2010-11-21,38
2010-11-28,11
2010-12-05,16
2010-12-12,17
2010-12-19,14
2010-12-26,25
2011-01-02,18
2011-01-09,11
2011-01-16,25
2011-01-23,14
2011-01-30,20
2011-02-06,17
2011-02-13,24
2011-02-20,21
2011-02-27,27
2011-03-06,27
2011-03-13,18
2011-03-20,28
2011-03-27,11
2011-04-03,24
2011-04-10,21
2011-04-17,35
2011-04-24,45
2011-05-01,41
2011-05-08,28
2011-05-15,41
2011-05-22,42
2011-05-29,34
2011-06-05,37
2011-06-12,27
2011-06-19,19
2011-06-26,15
2011-07-03,34
2011-07-10,26
2011-07-17,26
2011-07-24,22
2011-07-31,44
2011-08-07,7
2011-08-14,34
2011-08-21,27
2011-08-28,7
2011-09-04,16
2011-09-11,19
2011-09-18,26
2011-09-25,31
2011-10-02,22
2011-10-09,28
2011-10-16,12
2011-10-23,9
2011-10-30,24
2011-11-06,21
2011-11-13,36
2011-11-20,6
2011-11-27,12
2011-12-04,14
2011-12-11,17
2011-12-18,12
2011-12-25,16
2012-01-01,29
