Category: All categories

Week,coupons.com: (Texas)
2009-01-11,49
2009-01-18,32
2009-01-25,47
2009-02-01,48
2009-02-08,31
2009-02-15,24
2009-02-22,54
2009-03-01,62
2009-03-08,85
2009-03-15,34
2009-03-22,46
2009-03-29,31
2009-04-05,48
2009-04-12,31
2009-04-19,23
2009-04-26,23
2009-05-03,38
2009-05-10,46
2009-05-17,72
2009-05-24,50
2009-05-31,16
2009-06-07,57
2009-06-14,32
2009-06-21,64
2009-06-28,17
2009-07-05,49
2009-07-12,57
2009-07-19,56
2009-07-26,48
2009-08-02,24
2009-08-09,48
2009-08-16,47
2009-08-23,23
2009-08-30,31
2009-09-06,0
2009-09-13,30
2009-09-20,75
2009-09-27,38
2009-10-04,52
2009-10-11,52
2009-10-18,45
2009-10-25,59
2009-11-01,52
2009-11-08,51
2009-11-15,58
2009-11-22,76
2009-11-29,70
2009-12-06,42
2009-12-13,59
2009-12-20,56
2009-12-27,62
2010-01-03,51
2010-01-10,100
2010-01-17,50
2010-01-24,27
2010-01-31,27
2010-02-07,55
2010-02-14,21
2010-02-21,27
2010-02-28,28
2010-03-07,77
2010-03-14,54
2010-03-21,77
2010-03-28,44
2010-04-04,43
2010-04-11,41
2010-04-18,56
2010-04-25,14
2010-05-02,29
2010-05-09,29
2010-05-16,22
2010-05-23,31
2010-05-30,49
2010-06-06,39
2010-06-13,48
2010-06-20,31
2010-06-27,29
2010-07-04,38
2010-07-11,24
2010-07-18,24
2010-07-25,24
2010-08-01,30
2010-08-08,18
2010-08-15,30
2010-08-22,30
2010-08-29,23
2010-09-05,18
2010-09-12,11
2010-09-19,17
2010-09-26,17
2010-10-03,46
2010-10-10,70
2010-10-17,22
2010-10-24,22
2010-10-31,33
2010-11-07,44
2010-11-14,22
2010-11-21,24
2010-11-28,32
2010-12-05,32
2010-12-12,22
2010-12-19,25
2010-12-26,24
2011-01-02,21
2011-01-09,17
2011-01-16,27
2011-01-23,17
2011-01-30,26
2011-02-06,23
2011-02-13,17
2011-02-20,23
2011-02-27,16
2011-03-06,20
2011-03-13,25
2011-03-20,16
2011-03-27,6
2011-04-03,29
2011-04-10,39
2011-04-17,33
2011-04-24,39
2011-05-01,63
2011-05-08,54
2011-05-15,38
2011-05-22,42
2011-05-29,35
2011-06-05,43
2011-06-12,29
2011-06-19,49
2011-06-26,37
2011-07-03,24
2011-07-10,35
2011-07-17,41
2011-07-24,32
2011-07-31,34
2011-08-07,29
2011-08-14,47
2011-08-21,20
2011-08-28,48
2011-09-04,42
2011-09-11,39
2011-09-18,23
2011-09-25,23
2011-10-02,23
2011-10-09,31
2011-10-16,29
2011-10-23,45
2011-10-30,26
2011-11-06,27
2011-11-13,30
2011-11-20,38
2011-11-27,28
2011-12-04,31
2011-12-11,20
2011-12-18,32
2011-12-25,25
2012-01-01,31
