Category: All categories

Week,coupons.com: (United States)
2009-01-11,28
2009-01-18,32
2009-01-25,19
2009-02-01,39
2009-02-08,26
2009-02-15,27
2009-02-22,40
2009-03-01,43
2009-03-08,63
2009-03-15,51
2009-03-22,39
2009-03-29,33
2009-04-05,34
2009-04-12,24
2009-04-19,28
2009-04-26,29
2009-05-03,39
2009-05-10,44
2009-05-17,49
2009-05-24,37
2009-05-31,49
2009-06-07,50
2009-06-14,33
2009-06-21,38
2009-06-28,34
2009-07-05,37
2009-07-12,39
2009-07-19,35
2009-07-26,38
2009-08-02,36
2009-08-09,43
2009-08-16,32
2009-08-23,33
2009-08-30,52
2009-09-06,40
2009-09-13,51
2009-09-20,41
2009-09-27,42
2009-10-04,45
2009-10-11,57
2009-10-18,54
2009-10-25,50
2009-11-01,68
2009-11-08,68
2009-11-15,58
2009-11-22,71
2009-11-29,79
2009-12-06,62
2009-12-13,83
2009-12-20,60
2009-12-27,71
2010-01-03,100
2010-01-10,88
2010-01-17,61
2010-01-24,48
2010-01-31,60
2010-02-07,53
2010-02-14,46
2010-02-21,43
2010-02-28,58
2010-03-07,55
2010-03-14,51
2010-03-21,53
2010-03-28,45
2010-04-04,50
2010-04-11,59
2010-04-18,42
2010-04-25,50
2010-05-02,58
2010-05-09,45
2010-05-16,35
2010-05-23,41
2010-05-30,33
2010-06-06,31
2010-06-13,35
2010-06-20,34
2010-06-27,32
2010-07-04,24
2010-07-11,35
2010-07-18,30
2010-07-25,33
2010-08-01,32
2010-08-08,33
2010-08-15,31
2010-08-22,25
2010-08-29,23
2010-09-05,23
2010-09-12,21
2010-09-19,26
2010-09-26,25
2010-10-03,30
2010-10-10,24
2010-10-17,24
2010-10-24,27
2010-10-31,26
2010-11-07,24
2010-11-14,26
2010-11-21,22
2010-11-28,25
2010-12-05,20
2010-12-12,22
2010-12-19,27
2010-12-26,37
2011-01-02,41
2011-01-09,40
2011-01-16,43
2011-01-23,31
2011-01-30,45
2011-02-06,35
2011-02-13,30
2011-02-20,33
2011-02-27,36
2011-03-06,37
2011-03-13,34
2011-03-20,32
2011-03-27,40
2011-04-03,42
2011-04-10,58
2011-04-17,61
2011-04-24,53
2011-05-01,75
2011-05-08,65
2011-05-15,74
2011-05-22,77
2011-05-29,71
2011-06-05,65
2011-06-12,65
2011-06-19,59
2011-06-26,57
2011-07-03,45
2011-07-10,51
2011-07-17,60
2011-07-24,46
2011-07-31,50
2011-08-07,48
2011-08-14,46
2011-08-21,43
2011-08-28,49
2011-09-04,50
2011-09-11,42
2011-09-18,45
2011-09-25,50
2011-10-02,45
2011-10-09,45
2011-10-16,43
2011-10-23,45
2011-10-30,45
2011-11-06,43
2011-11-13,39
2011-11-20,45
2011-11-27,37
2011-12-04,31
2011-12-11,43
2011-12-18,32
2011-12-25,37
2012-01-01,45
