Category: Shopping

Week,coupons.com: (United States)
2009-01-11,29
2009-01-18,12
2009-01-25,23
2009-02-01,38
2009-02-08,39
2009-02-15,27
2009-02-22,37
2009-03-01,36
2009-03-08,53
2009-03-15,58
2009-03-22,41
2009-03-29,51
2009-04-05,42
2009-04-12,27
2009-04-19,13
2009-04-26,27
2009-05-03,39
2009-05-10,41
2009-05-17,35
2009-05-24,35
2009-05-31,39
2009-06-07,39
2009-06-14,38
2009-06-21,40
2009-06-28,35
2009-07-05,44
2009-07-12,39
2009-07-19,53
2009-07-26,32
2009-08-02,57
2009-08-09,34
2009-08-16,33
2009-08-23,38
2009-08-30,44
2009-09-06,42
2009-09-13,50
2009-09-20,39
2009-09-27,33
2009-10-04,50
2009-10-11,43
2009-10-18,47
2009-10-25,51
2009-11-01,59
2009-11-08,54
2009-11-15,72
2009-11-22,66
2009-11-29,85
2009-12-06,72
2009-12-13,100
2009-12-20,56
2009-12-27,65
2010-01-03,94
2010-01-10,50
2010-01-17,74
2010-01-24,46
2010-01-31,64
2010-02-07,60
2010-02-14,53
2010-02-21,43
2010-02-28,54
2010-03-07,42
2010-03-14,46
2010-03-21,50
2010-03-28,35
2010-04-04,39
2010-04-11,53
2010-04-18,32
2010-04-25,41
2010-05-02,36
2010-05-09,39
2010-05-16,26
2010-05-23,28
2010-05-30,19
2010-06-06,30
2010-06-13,28
2010-06-20,32
2010-06-27,35
2010-07-04,31
2010-07-11,31
2010-07-18,27
2010-07-25,29
2010-08-01,31
2010-08-08,27
2010-08-15,20
2010-08-22,22
2010-08-29,18
2010-09-05,15
2010-09-12,19
2010-09-19,24
2010-09-26,15
2010-10-03,34
2010-10-10,25
2010-10-17,16
2010-10-24,13
2010-10-31,19
2010-11-07,18
2010-11-14,19
2010-11-21,21
2010-11-28,27
2010-12-05,25
2010-12-12,19
2010-12-19,21
2010-12-26,35
2011-01-02,44
2011-01-09,29
2011-01-16,34
2011-01-23,32
2011-01-30,34
2011-02-06,25
2011-02-13,27
2011-02-20,30
2011-02-27,42
2011-03-06,30
2011-03-13,34
2011-03-20,34
2011-03-27,45
2011-04-03,37
2011-04-10,63
2011-04-17,71
2011-04-24,55
2011-05-01,68
2011-05-08,61
2011-05-15,79
2011-05-22,70
2011-05-29,70
2011-06-05,71
2011-06-12,59
2011-06-19,67
2011-06-26,51
2011-07-03,44
2011-07-10,55
2011-07-17,50
2011-07-24,44
2011-07-31,48
2011-08-07,49
2011-08-14,45
2011-08-21,44
2011-08-28,37
2011-09-04,41
2011-09-11,45
2011-09-18,37
2011-09-25,47
2011-10-02,52
2011-10-09,46
2011-10-16,41
2011-10-23,58
2011-10-30,49
2011-11-06,43
2011-11-13,30
2011-11-20,31
2011-11-27,34
2011-12-04,33
2011-12-11,36
2011-12-18,18
2011-12-25,29
2012-01-01,49
