Category: All categories

Week,Gluten-free diet: (United States)
2009-01-11,31
2009-01-18,29
2009-01-25,29
2009-02-01,28
2009-02-08,30
2009-02-15,27
2009-02-22,26
2009-03-01,27
2009-03-08,29
2009-03-15,28
2009-03-22,30
2009-03-29,30
2009-04-05,36
2009-04-12,29
2009-04-19,31
2009-04-26,30
2009-05-03,46
2009-05-10,38
2009-05-17,37
2009-05-24,36
2009-05-31,37
2009-06-07,35
2009-06-14,39
2009-06-21,36
2009-06-28,36
2009-07-05,37
2009-07-12,38
2009-07-19,39
2009-07-26,37
2009-08-02,41
2009-08-09,39
2009-08-16,37
2009-08-23,37
2009-08-30,36
2009-09-06,39
2009-09-13,36
2009-09-20,40
2009-09-27,38
2009-10-04,38
2009-10-11,38
2009-10-18,40
2009-10-25,41
2009-11-01,42
2009-11-08,44
2009-11-15,45
2009-11-22,54
2009-11-29,37
2009-12-06,42
2009-12-13,47
2009-12-20,51
2009-12-27,46
2010-01-03,42
2010-01-10,41
2010-01-17,43
2010-01-24,43
2010-01-31,45
2010-02-07,43
2010-02-14,40
2010-02-21,43
2010-02-28,41
2010-03-07,44
2010-03-14,44
2010-03-21,44
2010-03-28,46
2010-04-04,41
2010-04-11,41
2010-04-18,42
2010-04-25,39
2010-05-02,43
2010-05-09,40
2010-05-16,41
2010-05-23,39
2010-05-30,39
2010-06-06,39
2010-06-13,42
2010-06-20,44
2010-06-27,43
2010-07-04,42
2010-07-11,43
2010-07-18,44
2010-07-25,47
2010-08-01,52
2010-08-08,51
2010-08-15,49
2010-08-22,48
2010-08-29,51
2010-09-05,49
2010-09-12,49
2010-09-19,50
2010-09-26,44
2010-10-03,51
2010-10-10,52
2010-10-17,51
2010-10-24,52
2010-10-31,52
2010-11-07,55
2010-11-14,56
2010-11-21,70
2010-11-28,47
2010-12-05,48
2010-12-12,56
2010-12-19,64
2010-12-26,55
2011-01-02,63
2011-01-09,60
2011-01-16,61
2011-01-23,63
2011-01-30,62
2011-02-06,62
2011-02-13,66
2011-02-20,64
2011-02-27,61
2011-03-06,62
2011-03-13,64
2011-03-20,65
2011-03-27,71
2011-04-03,66
2011-04-10,69
2011-04-17,72
2011-04-24,59
2011-05-01,57
2011-05-08,60
2011-05-15,68
2011-05-22,65
2011-05-29,65
2011-06-05,64
2011-06-12,65
2011-06-19,66
2011-06-26,68
2011-07-03,71
2011-07-10,67
2011-07-17,66
2011-07-24,66
2011-07-31,68
2011-08-07,68
2011-08-14,71
2011-08-21,67
2011-08-28,66
2011-09-04,70
2011-09-11,68
2011-09-18,70
2011-09-25,71
2011-10-02,69
2011-10-09,72
2011-10-16,74
2011-10-23,74
2011-10-30,77
2011-11-06,77
2011-11-13,84
2011-11-20,100
2011-11-27,70
2011-12-04,73
2011-12-11,79
2011-12-18,95
2011-12-25,81
2012-01-01,84
