Category: All categories

Week,Holiday shopping: (United States)
2009-01-11,11
2009-01-18,7
2009-01-25,9
2009-02-01,9
2009-02-08,7
2009-02-15,9
2009-02-22,7
2009-03-01,7
2009-03-08,9
2009-03-15,9
2009-03-22,9
2009-03-29,9
2009-04-05,7
2009-04-12,4
2009-04-19,4
2009-04-26,9
2009-05-03,9
2009-05-10,13
2009-05-17,9
2009-05-24,5
2009-05-31,11
2009-06-07,5
2009-06-14,9
2009-06-21,9
2009-06-28,20
2009-07-05,9
2009-07-12,12
2009-07-19,7
2009-07-26,18
2009-08-02,11
2009-08-09,14
2009-08-16,5
2009-08-23,4
2009-08-30,9
2009-09-06,18
2009-09-13,10
2009-09-20,23
2009-09-27,17
2009-10-04,27
2009-10-11,33
2009-10-18,30
2009-10-25,24
2009-11-01,41
2009-11-08,62
2009-11-15,86
2009-11-22,65
2009-11-29,94
2009-12-06,86
2009-12-13,86
2009-12-20,72
2009-12-27,15
2010-01-03,12
2010-01-10,12
2010-01-17,10
2010-01-24,7
2010-01-31,7
2010-02-07,11
2010-02-14,11
2010-02-21,7
2010-02-28,7
2010-03-07,11
2010-03-14,15
2010-03-21,9
2010-03-28,4
2010-04-04,19
2010-04-11,5
2010-04-18,9
2010-04-25,13
2010-05-02,8
2010-05-09,10
2010-05-16,12
2010-05-23,4
2010-05-30,6
2010-06-06,8
2010-06-13,20
2010-06-20,17
2010-06-27,8
2010-07-04,12
2010-07-11,7
2010-07-18,5
2010-07-25,10
2010-08-01,19
2010-08-08,12
2010-08-15,10
2010-08-22,10
2010-08-29,10
2010-09-05,18
2010-09-12,10
2010-09-19,6
2010-09-26,19
2010-10-03,9
2010-10-10,23
2010-10-17,28
2010-10-24,34
2010-10-31,44
2010-11-07,45
2010-11-14,39
2010-11-21,74
2010-11-28,71
2010-12-05,85
2010-12-12,80
2010-12-19,96
2010-12-26,36
2011-01-02,13
2011-01-09,18
2011-01-16,9
2011-01-23,16
2011-01-30,8
2011-02-06,7
2011-02-13,6
2011-02-20,2
2011-02-27,5
2011-03-06,5
2011-03-13,3
2011-03-20,7
2011-03-27,5
2011-04-03,6
2011-04-10,6
2011-04-17,14
2011-04-24,9
2011-05-01,11
2011-05-08,12
2011-05-15,7
2011-05-22,8
2011-05-29,10
2011-06-05,10
2011-06-12,7
2011-06-19,11
2011-06-26,9
2011-07-03,11
2011-07-10,8
2011-07-17,9
2011-07-24,17
2011-07-31,6
2011-08-07,10
2011-08-14,8
2011-08-21,10
2011-08-28,9
2011-09-04,9
2011-09-11,11
2011-09-18,13
2011-09-25,11
2011-10-02,21
2011-10-09,22
2011-10-16,29
2011-10-23,36
2011-10-30,46
2011-11-06,51
2011-11-13,43
2011-11-20,70
2011-11-27,91
2011-12-04,79
2011-12-11,71
2011-12-18,100
2011-12-25,41
2012-01-01,16
