Category: Shopping

Week,kroger ad: (United States)
2009-01-11,9
2009-01-18,22
2009-01-25,18
2009-02-01,23
2009-02-08,17
2009-02-15,13
2009-02-22,17
2009-03-01,15
2009-03-08,18
2009-03-15,16
2009-03-22,12
2009-03-29,28
2009-04-05,31
2009-04-12,15
2009-04-19,23
2009-04-26,19
2009-05-03,16
2009-05-10,24
2009-05-17,22
2009-05-24,11
2009-05-31,21
2009-06-07,23
2009-06-14,18
2009-06-21,23
2009-06-28,32
2009-07-05,20
2009-07-12,32
2009-07-19,27
2009-07-26,26
2009-08-02,13
2009-08-09,25
2009-08-16,22
2009-08-23,25
2009-08-30,26
2009-09-06,23
2009-09-13,19
2009-09-20,37
2009-09-27,32
2009-10-04,33
2009-10-11,33
2009-10-18,30
2009-10-25,26
2009-11-01,30
2009-11-08,38
2009-11-15,55
2009-11-22,56
2009-11-29,43
2009-12-06,35
2009-12-13,26
2009-12-20,17
2009-12-27,15
2010-01-03,19
2010-01-10,21
2010-01-17,17
2010-01-24,22
2010-01-31,34
2010-02-07,45
2010-02-14,29
2010-02-21,28
2010-02-28,28
2010-03-07,43
2010-03-14,47
2010-03-21,35
2010-03-28,46
2010-04-04,46
2010-04-11,39
2010-04-18,33
2010-04-25,33
2010-05-02,36
2010-05-09,43
2010-05-16,53
2010-05-23,40
2010-05-30,39
2010-06-06,44
2010-06-13,64
2010-06-20,57
2010-06-27,67
2010-07-04,56
2010-07-11,57
2010-07-18,61
2010-07-25,56
2010-08-01,61
2010-08-08,58
2010-08-15,50
2010-08-22,55
2010-08-29,70
2010-09-05,56
2010-09-12,59
2010-09-19,63
2010-09-26,50
2010-10-03,51
2010-10-10,60
2010-10-17,42
2010-10-24,53
2010-10-31,63
2010-11-07,75
2010-11-14,96
2010-11-21,80
2010-11-28,61
2010-12-05,62
2010-12-12,60
2010-12-19,73
2010-12-26,76
2011-01-02,74
2011-01-09,65
2011-01-16,79
2011-01-23,87
2011-01-30,81
2011-02-06,77
2011-02-13,55
2011-02-20,33
2011-02-27,44
2011-03-06,39
2011-03-13,38
2011-03-20,41
2011-03-27,46
2011-04-03,51
2011-04-10,54
2011-04-17,71
2011-04-24,60
2011-05-01,55
2011-05-08,86
2011-05-15,87
2011-05-22,92
2011-05-29,90
2011-06-05,88
2011-06-12,99
2011-06-19,72
2011-06-26,93
2011-07-03,82
2011-07-10,70
2011-07-17,80
2011-07-24,82
2011-07-31,77
2011-08-07,83
2011-08-14,84
2011-08-21,89
2011-08-28,98
2011-09-04,100
2011-09-11,91
2011-09-18,67
2011-09-25,79
2011-10-02,81
2011-10-09,99
2011-10-16,61
2011-10-23,54
2011-10-30,57
2011-11-06,77
2011-11-13,77
2011-11-20,74
2011-11-27,56
2011-12-04,51
2011-12-11,56
2011-12-18,67
2011-12-25,61
2012-01-01,72
