Category: All categories

Week,kroger weekly ad: (Kentucky)
2009-01-11,39
2009-01-18,0
2009-01-25,0
2009-02-01,78
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,38
2009-03-15,0
2009-03-22,37
2009-03-29,0
2009-04-05,38
2009-04-12,37
2009-04-19,74
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,41
2009-06-28,44
2009-07-05,41
2009-07-12,0
2009-07-19,0
2009-07-26,0
2009-08-02,40
2009-08-09,0
2009-08-16,0
2009-08-23,37
2009-08-30,0
2009-09-06,0
2009-09-13,34
2009-09-20,33
2009-09-27,34
2009-10-04,34
2009-10-11,34
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,32
2009-11-15,31
2009-11-22,37
2009-11-29,30
2009-12-06,30
2009-12-13,0
2009-12-20,0
2009-12-27,0
2010-01-03,0
2010-01-10,31
2010-01-17,0
2010-01-24,29
2010-01-31,28
2010-02-07,0
2010-02-14,30
2010-02-21,0
2010-02-28,30
2010-03-07,31
2010-03-14,31
2010-03-21,30
2010-03-28,32
2010-04-04,33
2010-04-11,63
2010-04-18,0
2010-04-25,30
2010-05-02,32
2010-05-09,33
2010-05-16,33
2010-05-23,51
2010-05-30,56
2010-06-06,71
2010-06-13,0
2010-06-20,72
2010-06-27,53
2010-07-04,36
2010-07-11,99
2010-07-18,33
2010-07-25,34
2010-08-01,33
2010-08-08,64
2010-08-15,80
2010-08-22,31
2010-08-29,31
2010-09-05,63
2010-09-12,75
2010-09-19,29
2010-09-26,29
2010-10-03,31
2010-10-10,61
2010-10-17,44
2010-10-24,100
2010-10-31,70
2010-11-07,43
2010-11-14,96
2010-11-21,47
2010-11-28,53
2010-12-05,53
2010-12-12,28
2010-12-19,71
2010-12-26,33
2011-01-02,37
2011-01-09,52
2011-01-16,52
2011-01-23,52
2011-01-30,100
2011-02-06,42
2011-02-13,70
2011-02-20,17
2011-02-27,17
2011-03-06,35
2011-03-13,0
2011-03-20,52
2011-03-27,0
2011-04-03,0
2011-04-10,71
2011-04-17,44
2011-04-24,17
2011-05-01,17
2011-05-08,37
2011-05-15,18
2011-05-22,54
2011-05-29,50
2011-06-05,38
2011-06-12,38
2011-06-19,38
2011-06-26,19
2011-07-03,39
2011-07-10,37
2011-07-17,18
2011-07-24,36
2011-07-31,18
2011-08-07,0
2011-08-14,0
2011-08-21,17
2011-08-28,0
2011-09-04,17
2011-09-11,17
2011-09-18,16
2011-09-25,32
2011-10-02,17
2011-10-09,32
2011-10-16,16
2011-10-23,22
2011-10-30,14
2011-11-06,13
2011-11-13,13
2011-11-20,13
2011-11-27,0
2011-12-04,21
2011-12-11,11
2011-12-18,0
2011-12-25,11
2012-01-01,0
