Category: All categories

Week,kroger weekly ad: (Ohio)
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,12
2009-03-22,0
2009-03-29,12
2009-04-05,18
2009-04-12,0
2009-04-19,12
2009-04-26,12
2009-05-03,12
2009-05-10,12
2009-05-17,12
2009-05-24,13
2009-05-31,13
2009-06-07,26
2009-06-14,0
2009-06-21,0
2009-06-28,27
2009-07-05,26
2009-07-12,25
2009-07-19,13
2009-07-26,13
2009-08-02,27
2009-08-09,0
2009-08-16,26
2009-08-23,26
2009-08-30,0
2009-09-06,0
2009-09-13,12
2009-09-20,12
2009-09-27,12
2009-10-04,47
2009-10-11,12
2009-10-18,17
2009-10-25,46
2009-11-01,11
2009-11-08,11
2009-11-15,33
2009-11-22,66
2009-11-29,27
2009-12-06,21
2009-12-13,16
2009-12-20,14
2009-12-27,14
2010-01-03,21
2010-01-10,10
2010-01-17,21
2010-01-24,20
2010-01-31,10
2010-02-07,10
2010-02-14,20
2010-02-21,0
2010-02-28,10
2010-03-07,20
2010-03-14,15
2010-03-21,46
2010-03-28,38
2010-04-04,16
2010-04-11,25
2010-04-18,25
2010-04-25,60
2010-05-02,31
2010-05-09,27
2010-05-16,16
2010-05-23,39
2010-05-30,36
2010-06-06,81
2010-06-13,48
2010-06-20,60
2010-06-27,59
2010-07-04,36
2010-07-11,16
2010-07-18,44
2010-07-25,100
2010-08-01,49
2010-08-08,44
2010-08-15,33
2010-08-22,54
2010-08-29,53
2010-09-05,39
2010-09-12,21
2010-09-19,21
2010-09-26,40
2010-10-03,30
2010-10-10,47
2010-10-17,30
2010-10-24,58
2010-10-31,62
2010-11-07,68
2010-11-14,47
2010-11-21,60
2010-11-28,41
2010-12-05,28
2010-12-12,38
2010-12-19,81
2010-12-26,49
2011-01-02,52
2011-01-09,66
2011-01-16,61
2011-01-23,48
2011-01-30,48
2011-02-06,55
2011-02-13,12
2011-02-20,15
2011-02-27,15
2011-03-06,12
2011-03-13,12
2011-03-20,9
2011-03-27,6
2011-04-03,6
2011-04-10,12
2011-04-17,15
2011-04-24,6
2011-05-01,9
2011-05-08,12
2011-05-15,18
2011-05-22,9
2011-05-29,26
2011-06-05,0
2011-06-12,10
2011-06-19,6
2011-06-26,10
2011-07-03,19
2011-07-10,0
2011-07-17,6
2011-07-24,6
2011-07-31,9
2011-08-07,18
2011-08-14,18
2011-08-21,26
2011-08-28,11
2011-09-04,25
2011-09-11,22
2011-09-18,14
2011-09-25,21
2011-10-02,22
2011-10-09,8
2011-10-16,10
2011-10-23,5
2011-10-30,21
2011-11-06,5
2011-11-13,13
2011-11-20,8
2011-11-27,5
2011-12-04,5
2011-12-11,5
2011-12-18,10
2011-12-25,5
2012-01-01,0
