Category: All categories

Week,kroger weekly ad: (Texas)
2009-01-11,21
2009-01-18,14
2009-01-25,28
2009-02-01,42
2009-02-08,55
2009-02-15,14
2009-02-22,21
2009-03-01,28
2009-03-08,41
2009-03-15,22
2009-03-22,20
2009-03-29,14
2009-04-05,35
2009-04-12,13
2009-04-19,27
2009-04-26,27
2009-05-03,13
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,21
2009-06-07,29
2009-06-14,21
2009-06-21,28
2009-06-28,15
2009-07-05,14
2009-07-12,0
2009-07-19,14
2009-07-26,14
2009-08-02,14
2009-08-09,14
2009-08-16,0
2009-08-23,0
2009-08-30,13
2009-09-06,14
2009-09-13,0
2009-09-20,26
2009-09-27,13
2009-10-04,45
2009-10-11,66
2009-10-18,20
2009-10-25,13
2009-11-01,13
2009-11-08,25
2009-11-15,51
2009-11-22,59
2009-11-29,25
2009-12-06,37
2009-12-13,13
2009-12-20,16
2009-12-27,24
2010-01-03,13
2010-01-10,19
2010-01-17,25
2010-01-24,48
2010-01-31,12
2010-02-07,18
2010-02-14,19
2010-02-21,12
2010-02-28,18
2010-03-07,25
2010-03-14,54
2010-03-21,31
2010-03-28,32
2010-04-04,13
2010-04-11,24
2010-04-18,55
2010-04-25,32
2010-05-02,50
2010-05-09,32
2010-05-16,39
2010-05-23,47
2010-05-30,44
2010-06-06,41
2010-06-13,63
2010-06-20,41
2010-06-27,63
2010-07-04,34
2010-07-11,32
2010-07-18,58
2010-07-25,65
2010-08-01,48
2010-08-08,53
2010-08-15,42
2010-08-22,52
2010-08-29,71
2010-09-05,46
2010-09-12,25
2010-09-19,30
2010-09-26,35
2010-10-03,36
2010-10-10,86
2010-10-17,59
2010-10-24,58
2010-10-31,48
2010-11-07,72
2010-11-14,58
2010-11-21,59
2010-11-28,83
2010-12-05,47
2010-12-12,82
2010-12-19,67
2010-12-26,68
2011-01-02,71
2011-01-09,48
2011-01-16,69
2011-01-23,50
2011-01-30,74
2011-02-06,52
2011-02-13,32
2011-02-20,9
2011-02-27,20
2011-03-06,23
2011-03-13,13
2011-03-20,12
2011-03-27,25
2011-04-03,14
2011-04-10,40
2011-04-17,57
2011-04-24,40
2011-05-01,50
2011-05-08,42
2011-05-15,45
2011-05-22,83
2011-05-29,40
2011-06-05,44
2011-06-12,63
2011-06-19,37
2011-06-26,100
2011-07-03,66
2011-07-10,61
2011-07-17,62
2011-07-24,55
2011-07-31,60
2011-08-07,74
2011-08-14,73
2011-08-21,67
2011-08-28,70
2011-09-04,89
2011-09-11,67
2011-09-18,66
2011-09-25,79
2011-10-02,88
2011-10-09,82
2011-10-16,44
2011-10-23,22
2011-10-30,27
2011-11-06,33
2011-11-13,60
2011-11-20,28
2011-11-27,14
2011-12-04,23
2011-12-11,27
2011-12-18,39
2011-12-25,41
2012-01-01,45
