Category: All categories

Week,kroger weekly ad: (United States)
2009-01-11,7
2009-01-18,13
2009-01-25,10
2009-02-01,12
2009-02-08,8
2009-02-15,10
2009-02-22,5
2009-03-01,9
2009-03-08,9
2009-03-15,10
2009-03-22,5
2009-03-29,24
2009-04-05,32
2009-04-12,18
2009-04-19,15
2009-04-26,16
2009-05-03,13
2009-05-10,14
2009-05-17,11
2009-05-24,16
2009-05-31,9
2009-06-07,11
2009-06-14,16
2009-06-21,14
2009-06-28,14
2009-07-05,10
2009-07-12,13
2009-07-19,10
2009-07-26,11
2009-08-02,12
2009-08-09,12
2009-08-16,13
2009-08-23,8
2009-08-30,16
2009-09-06,8
2009-09-13,15
2009-09-20,26
2009-09-27,15
2009-10-04,29
2009-10-11,34
2009-10-18,26
2009-10-25,22
2009-11-01,12
2009-11-08,15
2009-11-15,56
2009-11-22,57
2009-11-29,42
2009-12-06,40
2009-12-13,13
2009-12-20,15
2009-12-27,12
2010-01-03,19
2010-01-10,15
2010-01-17,16
2010-01-24,19
2010-01-31,23
2010-02-07,21
2010-02-14,11
2010-02-21,12
2010-02-28,21
2010-03-07,14
2010-03-14,37
2010-03-21,41
2010-03-28,46
2010-04-04,46
2010-04-11,27
2010-04-18,29
2010-04-25,31
2010-05-02,34
2010-05-09,32
2010-05-16,34
2010-05-23,41
2010-05-30,44
2010-06-06,46
2010-06-13,66
2010-06-20,73
2010-06-27,70
2010-07-04,55
2010-07-11,50
2010-07-18,78
2010-07-25,77
2010-08-01,59
2010-08-08,49
2010-08-15,71
2010-08-22,48
2010-08-29,69
2010-09-05,49
2010-09-12,55
2010-09-19,67
2010-09-26,51
2010-10-03,49
2010-10-10,48
2010-10-17,48
2010-10-24,51
2010-10-31,65
2010-11-07,79
2010-11-14,100
2010-11-21,74
2010-11-28,54
2010-12-05,55
2010-12-12,70
2010-12-19,96
2010-12-26,92
2011-01-02,93
2011-01-09,80
2011-01-16,79
2011-01-23,85
2011-01-30,84
2011-02-06,70
2011-02-13,47
2011-02-20,18
2011-02-27,15
2011-03-06,17
2011-03-13,20
2011-03-20,14
2011-03-27,18
2011-04-03,28
2011-04-10,36
2011-04-17,47
2011-04-24,32
2011-05-01,48
2011-05-08,51
2011-05-15,51
2011-05-22,60
2011-05-29,47
2011-06-05,58
2011-06-12,59
2011-06-19,40
2011-06-26,65
2011-07-03,59
2011-07-10,53
2011-07-17,48
2011-07-24,44
2011-07-31,50
2011-08-07,51
2011-08-14,64
2011-08-21,50
2011-08-28,76
2011-09-04,72
2011-09-11,75
2011-09-18,55
2011-09-25,58
2011-10-02,63
2011-10-09,63
2011-10-16,25
2011-10-23,23
2011-10-30,24
2011-11-06,29
2011-11-13,33
2011-11-20,26
2011-11-27,24
2011-12-04,26
2011-12-11,25
2011-12-18,36
2011-12-25,33
2012-01-01,45
