Category: Shopping

Week,kroger weekly ad: (United States)
2009-01-11,11
2009-01-18,16
2009-01-25,10
2009-02-01,9
2009-02-08,9
2009-02-15,11
2009-02-22,10
2009-03-01,11
2009-03-08,8
2009-03-15,8
2009-03-22,5
2009-03-29,19
2009-04-05,32
2009-04-12,19
2009-04-19,16
2009-04-26,13
2009-05-03,14
2009-05-10,12
2009-05-17,18
2009-05-24,10
2009-05-31,8
2009-06-07,11
2009-06-14,14
2009-06-21,7
2009-06-28,16
2009-07-05,16
2009-07-12,7
2009-07-19,5
2009-07-26,12
2009-08-02,13
2009-08-09,11
2009-08-16,14
2009-08-23,12
2009-08-30,9
2009-09-06,13
2009-09-13,25
2009-09-20,28
2009-09-27,33
2009-10-04,41
2009-10-11,33
2009-10-18,25
2009-10-25,25
2009-11-01,7
2009-11-08,24
2009-11-15,50
2009-11-22,58
2009-11-29,41
2009-12-06,44
2009-12-13,14
2009-12-20,10
2009-12-27,27
2010-01-03,12
2010-01-10,16
2010-01-17,16
2010-01-24,22
2010-01-31,15
2010-02-07,22
2010-02-14,15
2010-02-21,18
2010-02-28,13
2010-03-07,26
2010-03-14,42
2010-03-21,33
2010-03-28,46
2010-04-04,46
2010-04-11,39
2010-04-18,39
2010-04-25,42
2010-05-02,47
2010-05-09,40
2010-05-16,51
2010-05-23,52
2010-05-30,37
2010-06-06,62
2010-06-13,52
2010-06-20,63
2010-06-27,71
2010-07-04,54
2010-07-11,59
2010-07-18,70
2010-07-25,68
2010-08-01,65
2010-08-08,54
2010-08-15,52
2010-08-22,56
2010-08-29,75
2010-09-05,52
2010-09-12,53
2010-09-19,58
2010-09-26,61
2010-10-03,60
2010-10-10,68
2010-10-17,60
2010-10-24,53
2010-10-31,62
2010-11-07,82
2010-11-14,95
2010-11-21,79
2010-11-28,63
2010-12-05,60
2010-12-12,64
2010-12-19,78
2010-12-26,89
2011-01-02,79
2011-01-09,77
2011-01-16,100
2011-01-23,95
2011-01-30,94
2011-02-06,85
2011-02-13,54
2011-02-20,23
2011-02-27,18
2011-03-06,16
2011-03-13,16
2011-03-20,12
2011-03-27,20
2011-04-03,30
2011-04-10,38
2011-04-17,56
2011-04-24,43
2011-05-01,42
2011-05-08,62
2011-05-15,56
2011-05-22,72
2011-05-29,60
2011-06-05,45
2011-06-12,63
2011-06-19,53
2011-06-26,75
2011-07-03,54
2011-07-10,53
2011-07-17,41
2011-07-24,50
2011-07-31,56
2011-08-07,61
2011-08-14,73
2011-08-21,66
2011-08-28,77
2011-09-04,67
2011-09-11,71
2011-09-18,57
2011-09-25,63
2011-10-02,65
2011-10-09,78
2011-10-16,40
2011-10-23,27
2011-10-30,36
2011-11-06,29
2011-11-13,40
2011-11-20,33
2011-11-27,26
2011-12-04,27
2011-12-11,23
2011-12-18,37
2011-12-25,52
2012-01-01,45
