Category: All categories

Week,Kroger: (United States)
2009-01-11,42
2009-01-18,47
2009-01-25,45
2009-02-01,50
2009-02-08,44
2009-02-15,40
2009-02-22,39
2009-03-01,40
2009-03-08,42
2009-03-15,44
2009-03-22,40
2009-03-29,43
2009-04-05,48
2009-04-12,42
2009-04-19,43
2009-04-26,41
2009-05-03,43
2009-05-10,45
2009-05-17,48
2009-05-24,45
2009-05-31,45
2009-06-07,43
2009-06-14,45
2009-06-21,45
2009-06-28,56
2009-07-05,48
2009-07-12,47
2009-07-19,50
2009-07-26,48
2009-08-02,49
2009-08-09,50
2009-08-16,52
2009-08-23,49
2009-08-30,51
2009-09-06,49
2009-09-13,47
2009-09-20,47
2009-09-27,46
2009-10-04,50
2009-10-11,49
2009-10-18,50
2009-10-25,49
2009-11-01,48
2009-11-08,51
2009-11-15,57
2009-11-22,57
2009-11-29,48
2009-12-06,46
2009-12-13,50
2009-12-20,66
2009-12-27,53
2010-01-03,48
2010-01-10,51
2010-01-17,46
2010-01-24,50
2010-01-31,50
2010-02-07,48
2010-02-14,44
2010-02-21,45
2010-02-28,44
2010-03-07,45
2010-03-14,44
2010-03-21,44
2010-03-28,50
2010-04-04,45
2010-04-11,44
2010-04-18,47
2010-04-25,47
2010-05-02,50
2010-05-09,46
2010-05-16,49
2010-05-23,51
2010-05-30,50
2010-06-06,48
2010-06-13,53
2010-06-20,50
2010-06-27,54
2010-07-04,51
2010-07-11,49
2010-07-18,52
2010-07-25,50
2010-08-01,55
2010-08-08,53
2010-08-15,58
2010-08-22,53
2010-08-29,50
2010-09-05,51
2010-09-12,53
2010-09-19,53
2010-09-26,46
2010-10-03,50
2010-10-10,51
2010-10-17,50
2010-10-24,48
2010-10-31,53
2010-11-07,57
2010-11-14,62
2010-11-21,64
2010-11-28,52
2010-12-05,52
2010-12-12,55
2010-12-19,85
2010-12-26,66
2011-01-02,70
2011-01-09,68
2011-01-16,65
2011-01-23,67
2011-01-30,66
2011-02-06,64
2011-02-13,65
2011-02-20,61
2011-02-27,73
2011-03-06,69
2011-03-13,65
2011-03-20,63
2011-03-27,69
2011-04-03,75
2011-04-10,79
2011-04-17,82
2011-04-24,84
2011-05-01,88
2011-05-08,87
2011-05-15,89
2011-05-22,94
2011-05-29,98
2011-06-05,91
2011-06-12,93
2011-06-19,89
2011-06-26,88
2011-07-03,88
2011-07-10,80
2011-07-17,78
2011-07-24,81
2011-07-31,87
2011-08-07,83
2011-08-14,85
2011-08-21,74
2011-08-28,78
2011-09-04,83
2011-09-11,78
2011-09-18,73
2011-09-25,77
2011-10-02,79
2011-10-09,80
2011-10-16,76
2011-10-23,75
2011-10-30,76
2011-11-06,80
2011-11-13,88
2011-11-20,100
2011-11-27,75
2011-12-04,71
2011-12-11,71
2011-12-18,89
2011-12-25,95
2012-01-01,84
