Category: Food & Drink

Week,Kroger: (United States)
2009-01-11,40
2009-01-18,47
2009-01-25,47
2009-02-01,46
2009-02-08,43
2009-02-15,37
2009-02-22,48
2009-03-01,44
2009-03-08,45
2009-03-15,42
2009-03-22,46
2009-03-29,39
2009-04-05,47
2009-04-12,41
2009-04-19,41
2009-04-26,40
2009-05-03,48
2009-05-10,44
2009-05-17,45
2009-05-24,45
2009-05-31,47
2009-06-07,44
2009-06-14,52
2009-06-21,48
2009-06-28,58
2009-07-05,45
2009-07-12,47
2009-07-19,46
2009-07-26,46
2009-08-02,48
2009-08-09,45
2009-08-16,48
2009-08-23,46
2009-08-30,55
2009-09-06,43
2009-09-13,42
2009-09-20,48
2009-09-27,41
2009-10-04,45
2009-10-11,44
2009-10-18,48
2009-10-25,45
2009-11-01,46
2009-11-08,46
2009-11-15,58
2009-11-22,55
2009-11-29,41
2009-12-06,50
2009-12-13,47
2009-12-20,67
2009-12-27,55
2010-01-03,44
2010-01-10,43
2010-01-17,46
2010-01-24,50
2010-01-31,50
2010-02-07,44
2010-02-14,42
2010-02-21,36
2010-02-28,42
2010-03-07,45
2010-03-14,42
2010-03-21,40
2010-03-28,45
2010-04-04,40
2010-04-11,39
2010-04-18,39
2010-04-25,42
2010-05-02,43
2010-05-09,45
2010-05-16,47
2010-05-23,46
2010-05-30,45
2010-06-06,44
2010-06-13,43
2010-06-20,42
2010-06-27,47
2010-07-04,49
2010-07-11,43
2010-07-18,49
2010-07-25,49
2010-08-01,46
2010-08-08,48
2010-08-15,51
2010-08-22,49
2010-08-29,46
2010-09-05,44
2010-09-12,48
2010-09-19,48
2010-09-26,48
2010-10-03,47
2010-10-10,46
2010-10-17,45
2010-10-24,47
2010-10-31,50
2010-11-07,51
2010-11-14,52
2010-11-21,65
2010-11-28,42
2010-12-05,48
2010-12-12,45
2010-12-19,75
2010-12-26,62
2011-01-02,58
2011-01-09,62
2011-01-16,59
2011-01-23,63
2011-01-30,60
2011-02-06,55
2011-02-13,58
2011-02-20,57
2011-02-27,70
2011-03-06,65
2011-03-13,59
2011-03-20,62
2011-03-27,70
2011-04-03,71
2011-04-10,77
2011-04-17,77
2011-04-24,74
2011-05-01,84
2011-05-08,78
2011-05-15,81
2011-05-22,88
2011-05-29,83
2011-06-05,80
2011-06-12,79
2011-06-19,74
2011-06-26,77
2011-07-03,82
2011-07-10,72
2011-07-17,69
2011-07-24,70
2011-07-31,88
2011-08-07,76
2011-08-14,73
2011-08-21,68
2011-08-28,75
2011-09-04,71
2011-09-11,72
2011-09-18,67
2011-09-25,65
2011-10-02,70
2011-10-09,76
2011-10-16,74
2011-10-23,73
2011-10-30,73
2011-11-06,73
2011-11-13,89
2011-11-20,100
2011-11-27,73
2011-12-04,68
2011-12-11,69
2011-12-18,92
2011-12-25,89
2012-01-01,79
