Category: Grocery & Food Retailers

Week,Kroger: (Ohio)
2009-01-11,52
2009-01-18,39
2009-01-25,38
2009-02-01,61
2009-02-08,35
2009-02-15,39
2009-02-22,53
2009-03-01,55
2009-03-08,24
2009-03-15,43
2009-03-22,64
2009-03-29,35
2009-04-05,49
2009-04-12,49
2009-04-19,55
2009-04-26,48
2009-05-03,44
2009-05-10,37
2009-05-17,75
2009-05-24,54
2009-05-31,41
2009-06-07,40
2009-06-14,56
2009-06-21,62
2009-06-28,85
2009-07-05,58
2009-07-12,55
2009-07-19,41
2009-07-26,66
2009-08-02,53
2009-08-09,65
2009-08-16,36
2009-08-23,38
2009-08-30,59
2009-09-06,64
2009-09-13,54
2009-09-20,42
2009-09-27,46
2009-10-04,40
2009-10-11,64
2009-10-18,65
2009-10-25,55
2009-11-01,48
2009-11-08,55
2009-11-15,50
2009-11-22,52
2009-11-29,45
2009-12-06,42
2009-12-13,52
2009-12-20,92
2009-12-27,63
2010-01-03,51
2010-01-10,39
2010-01-17,34
2010-01-24,40
2010-01-31,54
2010-02-07,58
2010-02-14,39
2010-02-21,50
2010-02-28,39
2010-03-07,53
2010-03-14,47
2010-03-21,42
2010-03-28,40
2010-04-04,35
2010-04-11,37
2010-04-18,40
2010-04-25,57
2010-05-02,40
2010-05-09,42
2010-05-16,65
2010-05-23,48
2010-05-30,51
2010-06-06,65
2010-06-13,43
2010-06-20,56
2010-06-27,45
2010-07-04,59
2010-07-11,68
2010-07-18,57
2010-07-25,41
2010-08-01,50
2010-08-08,51
2010-08-15,54
2010-08-22,44
2010-08-29,49
2010-09-05,42
2010-09-12,59
2010-09-19,46
2010-09-26,37
2010-10-03,41
2010-10-10,44
2010-10-17,45
2010-10-24,50
2010-10-31,49
2010-11-07,53
2010-11-14,61
2010-11-21,72
2010-11-28,54
2010-12-05,43
2010-12-12,60
2010-12-19,70
2010-12-26,73
2011-01-02,57
2011-01-09,48
2011-01-16,49
2011-01-23,51
2011-01-30,49
2011-02-06,39
2011-02-13,39
2011-02-20,49
2011-02-27,65
2011-03-06,60
2011-03-13,57
2011-03-20,47
2011-03-27,62
2011-04-03,60
2011-04-10,58
2011-04-17,56
2011-04-24,61
2011-05-01,86
2011-05-08,75
2011-05-15,80
2011-05-22,81
2011-05-29,96
2011-06-05,72
2011-06-12,76
2011-06-19,70
2011-06-26,66
2011-07-03,62
2011-07-10,60
2011-07-17,71
2011-07-24,70
2011-07-31,71
2011-08-07,69
2011-08-14,67
2011-08-21,68
2011-08-28,62
2011-09-04,60
2011-09-11,50
2011-09-18,58
2011-09-25,69
2011-10-02,51
2011-10-09,54
2011-10-16,66
2011-10-23,52
2011-10-30,57
2011-11-06,65
2011-11-13,74
2011-11-20,91
2011-11-27,100
2011-12-04,69
2011-12-11,63
2011-12-18,72
2011-12-25,81
2012-01-01,71
