Category: Grocery & Food Retailers

Week,Kroger: (Texas)
2009-01-11,33
2009-01-18,51
2009-01-25,53
2009-02-01,36
2009-02-08,36
2009-02-15,31
2009-02-22,23
2009-03-01,47
2009-03-08,56
2009-03-15,45
2009-03-22,31
2009-03-29,47
2009-04-05,38
2009-04-12,32
2009-04-19,28
2009-04-26,56
2009-05-03,39
2009-05-10,39
2009-05-17,52
2009-05-24,46
2009-05-31,49
2009-06-07,53
2009-06-14,47
2009-06-21,49
2009-06-28,53
2009-07-05,51
2009-07-12,67
2009-07-19,54
2009-07-26,42
2009-08-02,59
2009-08-09,79
2009-08-16,56
2009-08-23,65
2009-08-30,67
2009-09-06,40
2009-09-13,44
2009-09-20,41
2009-09-27,49
2009-10-04,54
2009-10-11,44
2009-10-18,40
2009-10-25,67
2009-11-01,31
2009-11-08,58
2009-11-15,60
2009-11-22,76
2009-11-29,43
2009-12-06,53
2009-12-13,46
2009-12-20,77
2009-12-27,65
2010-01-03,19
2010-01-10,40
2010-01-17,45
2010-01-24,48
2010-01-31,36
2010-02-07,37
2010-02-14,46
2010-02-21,43
2010-02-28,53
2010-03-07,48
2010-03-14,48
2010-03-21,34
2010-03-28,42
2010-04-04,45
2010-04-11,34
2010-04-18,41
2010-04-25,35
2010-05-02,40
2010-05-09,32
2010-05-16,49
2010-05-23,54
2010-05-30,36
2010-06-06,41
2010-06-13,40
2010-06-20,58
2010-06-27,45
2010-07-04,37
2010-07-11,46
2010-07-18,40
2010-07-25,31
2010-08-01,32
2010-08-08,33
2010-08-15,36
2010-08-22,30
2010-08-29,44
2010-09-05,30
2010-09-12,47
2010-09-19,48
2010-09-26,44
2010-10-03,54
2010-10-10,45
2010-10-17,27
2010-10-24,39
2010-10-31,39
2010-11-07,47
2010-11-14,41
2010-11-21,61
2010-11-28,33
2010-12-05,37
2010-12-12,49
2010-12-19,51
2010-12-26,51
2011-01-02,68
2011-01-09,49
2011-01-16,67
2011-01-23,58
2011-01-30,70
2011-02-06,49
2011-02-13,65
2011-02-20,69
2011-02-27,61
2011-03-06,67
2011-03-13,62
2011-03-20,53
2011-03-27,62
2011-04-03,64
2011-04-10,75
2011-04-17,72
2011-04-24,62
2011-05-01,70
2011-05-08,70
2011-05-15,72
2011-05-22,90
2011-05-29,92
2011-06-05,86
2011-06-12,76
2011-06-19,73
2011-06-26,62
2011-07-03,80
2011-07-10,63
2011-07-17,68
2011-07-24,73
2011-07-31,74
2011-08-07,75
2011-08-14,83
2011-08-21,78
2011-08-28,88
2011-09-04,68
2011-09-11,68
2011-09-18,61
2011-09-25,66
2011-10-02,64
2011-10-09,82
2011-10-16,79
2011-10-23,79
2011-10-30,64
2011-11-06,74
2011-11-13,93
2011-11-20,100
2011-11-27,64
2011-12-04,63
2011-12-11,74
2011-12-18,81
2011-12-25,77
2012-01-01,70
