Category: Grocery & Food Retailers

Week,Kroger: (United States)
2009-01-11,41
2009-01-18,48
2009-01-25,43
2009-02-01,46
2009-02-08,42
2009-02-15,38
2009-02-22,38
2009-03-01,39
2009-03-08,44
2009-03-15,46
2009-03-22,44
2009-03-29,41
2009-04-05,46
2009-04-12,44
2009-04-19,42
2009-04-26,42
2009-05-03,40
2009-05-10,41
2009-05-17,50
2009-05-24,44
2009-05-31,48
2009-06-07,39
2009-06-14,52
2009-06-21,60
2009-06-28,59
2009-07-05,45
2009-07-12,52
2009-07-19,43
2009-07-26,43
2009-08-02,51
2009-08-09,47
2009-08-16,44
2009-08-23,51
2009-08-30,56
2009-09-06,46
2009-09-13,40
2009-09-20,47
2009-09-27,43
2009-10-04,52
2009-10-11,43
2009-10-18,48
2009-10-25,46
2009-11-01,44
2009-11-08,41
2009-11-15,51
2009-11-22,47
2009-11-29,46
2009-12-06,47
2009-12-13,45
2009-12-20,62
2009-12-27,53
2010-01-03,38
2010-01-10,42
2010-01-17,45
2010-01-24,44
2010-01-31,48
2010-02-07,43
2010-02-14,37
2010-02-21,42
2010-02-28,41
2010-03-07,38
2010-03-14,39
2010-03-21,36
2010-03-28,43
2010-04-04,40
2010-04-11,35
2010-04-18,41
2010-04-25,42
2010-05-02,43
2010-05-09,40
2010-05-16,41
2010-05-23,45
2010-05-30,43
2010-06-06,38
2010-06-13,43
2010-06-20,39
2010-06-27,44
2010-07-04,39
2010-07-11,42
2010-07-18,51
2010-07-25,48
2010-08-01,42
2010-08-08,44
2010-08-15,51
2010-08-22,50
2010-08-29,47
2010-09-05,43
2010-09-12,46
2010-09-19,45
2010-09-26,44
2010-10-03,44
2010-10-10,51
2010-10-17,42
2010-10-24,39
2010-10-31,48
2010-11-07,48
2010-11-14,57
2010-11-21,56
2010-11-28,45
2010-12-05,48
2010-12-12,46
2010-12-19,65
2010-12-26,60
2011-01-02,65
2011-01-09,61
2011-01-16,59
2011-01-23,58
2011-01-30,58
2011-02-06,52
2011-02-13,60
2011-02-20,63
2011-02-27,72
2011-03-06,68
2011-03-13,60
2011-03-20,61
2011-03-27,67
2011-04-03,72
2011-04-10,72
2011-04-17,82
2011-04-24,74
2011-05-01,81
2011-05-08,82
2011-05-15,84
2011-05-22,88
2011-05-29,90
2011-06-05,77
2011-06-12,83
2011-06-19,76
2011-06-26,81
2011-07-03,77
2011-07-10,77
2011-07-17,70
2011-07-24,67
2011-07-31,86
2011-08-07,76
2011-08-14,78
2011-08-21,66
2011-08-28,73
2011-09-04,76
2011-09-11,70
2011-09-18,70
2011-09-25,69
2011-10-02,74
2011-10-09,71
2011-10-16,71
2011-10-23,75
2011-10-30,75
2011-11-06,69
2011-11-13,88
2011-11-20,100
2011-11-27,78
2011-12-04,71
2011-12-11,72
2011-12-18,85
2011-12-25,91
2012-01-01,81
