Category: Shopping

Week,Kroger: (Kentucky)
2009-01-11,24
2009-01-18,34
2009-01-25,27
2009-02-01,25
2009-02-08,24
2009-02-15,14
2009-02-22,9
2009-03-01,32
2009-03-08,9
2009-03-15,39
2009-03-22,28
2009-03-29,25
2009-04-05,29
2009-04-12,9
2009-04-19,28
2009-04-26,18
2009-05-03,14
2009-05-10,29
2009-05-17,25
2009-05-24,31
2009-05-31,10
2009-06-07,21
2009-06-14,26
2009-06-21,36
2009-06-28,44
2009-07-05,31
2009-07-12,15
2009-07-19,20
2009-07-26,39
2009-08-02,25
2009-08-09,67
2009-08-16,32
2009-08-23,18
2009-08-30,27
2009-09-06,18
2009-09-13,13
2009-09-20,41
2009-09-27,25
2009-10-04,30
2009-10-11,25
2009-10-18,29
2009-10-25,24
2009-11-01,24
2009-11-08,36
2009-11-15,31
2009-11-22,55
2009-11-29,11
2009-12-06,19
2009-12-13,16
2009-12-20,31
2009-12-27,40
2010-01-03,16
2010-01-10,15
2010-01-17,23
2010-01-24,54
2010-01-31,54
2010-02-07,37
2010-02-14,30
2010-02-21,15
2010-02-28,37
2010-03-07,19
2010-03-14,31
2010-03-21,22
2010-03-28,24
2010-04-04,42
2010-04-11,35
2010-04-18,34
2010-04-25,30
2010-05-02,31
2010-05-09,28
2010-05-16,33
2010-05-23,39
2010-05-30,42
2010-06-06,9
2010-06-13,23
2010-06-20,27
2010-06-27,35
2010-07-04,44
2010-07-11,33
2010-07-18,16
2010-07-25,33
2010-08-01,37
2010-08-08,48
2010-08-15,36
2010-08-22,35
2010-08-29,23
2010-09-05,27
2010-09-12,49
2010-09-19,11
2010-09-26,22
2010-10-03,19
2010-10-10,38
2010-10-17,29
2010-10-24,28
2010-10-31,35
2010-11-07,46
2010-11-14,48
2010-11-21,31
2010-11-28,43
2010-12-05,56
2010-12-12,38
2010-12-19,74
2010-12-26,45
2011-01-02,35
2011-01-09,37
2011-01-16,49
2011-01-23,52
2011-01-30,58
2011-02-06,42
2011-02-13,46
2011-02-20,53
2011-02-27,47
2011-03-06,62
2011-03-13,37
2011-03-20,52
2011-03-27,32
2011-04-03,56
2011-04-10,82
2011-04-17,74
2011-04-24,60
2011-05-01,56
2011-05-08,85
2011-05-15,100
2011-05-22,88
2011-05-29,99
2011-06-05,62
2011-06-12,90
2011-06-19,76
2011-06-26,43
2011-07-03,76
2011-07-10,74
2011-07-17,63
2011-07-24,43
2011-07-31,72
2011-08-07,73
2011-08-14,49
2011-08-21,68
2011-08-28,46
2011-09-04,71
2011-09-11,56
2011-09-18,57
2011-09-25,38
2011-10-02,61
2011-10-09,68
2011-10-16,69
2011-10-23,52
2011-10-30,52
2011-11-06,59
2011-11-13,68
2011-11-20,58
2011-11-27,38
2011-12-04,49
2011-12-11,30
2011-12-18,30
2011-12-25,51
2012-01-01,54
