Category: Shopping

Week,Kroger: (Ohio)
2009-01-11,30
2009-01-18,57
2009-01-25,55
2009-02-01,59
2009-02-08,37
2009-02-15,42
2009-02-22,19
2009-03-01,36
2009-03-08,36
2009-03-15,26
2009-03-22,29
2009-03-29,48
2009-04-05,40
2009-04-12,40
2009-04-19,46
2009-04-26,36
2009-05-03,47
2009-05-10,37
2009-05-17,64
2009-05-24,24
2009-05-31,36
2009-06-07,34
2009-06-14,37
2009-06-21,46
2009-06-28,56
2009-07-05,55
2009-07-12,31
2009-07-19,47
2009-07-26,58
2009-08-02,47
2009-08-09,68
2009-08-16,35
2009-08-23,52
2009-08-30,71
2009-09-06,75
2009-09-13,48
2009-09-20,39
2009-09-27,37
2009-10-04,34
2009-10-11,38
2009-10-18,43
2009-10-25,40
2009-11-01,70
2009-11-08,61
2009-11-15,64
2009-11-22,70
2009-11-29,71
2009-12-06,45
2009-12-13,78
2009-12-20,82
2009-12-27,64
2010-01-03,40
2010-01-10,44
2010-01-17,60
2010-01-24,59
2010-01-31,35
2010-02-07,56
2010-02-14,59
2010-02-21,34
2010-02-28,44
2010-03-07,25
2010-03-14,44
2010-03-21,63
2010-03-28,58
2010-04-04,44
2010-04-11,35
2010-04-18,33
2010-04-25,35
2010-05-02,58
2010-05-09,59
2010-05-16,52
2010-05-23,46
2010-05-30,40
2010-06-06,45
2010-06-13,67
2010-06-20,40
2010-06-27,58
2010-07-04,61
2010-07-11,38
2010-07-18,63
2010-07-25,69
2010-08-01,43
2010-08-08,57
2010-08-15,56
2010-08-22,47
2010-08-29,46
2010-09-05,71
2010-09-12,32
2010-09-19,52
2010-09-26,37
2010-10-03,52
2010-10-10,49
2010-10-17,51
2010-10-24,38
2010-10-31,68
2010-11-07,62
2010-11-14,81
2010-11-21,70
2010-11-28,40
2010-12-05,55
2010-12-12,45
2010-12-19,100
2010-12-26,72
2011-01-02,52
2011-01-09,50
2011-01-16,67
2011-01-23,55
2011-01-30,59
2011-02-06,51
2011-02-13,48
2011-02-20,55
2011-02-27,77
2011-03-06,56
2011-03-13,52
2011-03-20,40
2011-03-27,53
2011-04-03,65
2011-04-10,86
2011-04-17,74
2011-04-24,75
2011-05-01,85
2011-05-08,85
2011-05-15,81
2011-05-22,76
2011-05-29,78
2011-06-05,82
2011-06-12,79
2011-06-19,86
2011-06-26,67
2011-07-03,63
2011-07-10,57
2011-07-17,67
2011-07-24,63
2011-07-31,69
2011-08-07,72
2011-08-14,75
2011-08-21,53
2011-08-28,62
2011-09-04,85
2011-09-11,54
2011-09-18,49
2011-09-25,76
2011-10-02,49
2011-10-09,58
2011-10-16,61
2011-10-23,65
2011-10-30,56
2011-11-06,60
2011-11-13,66
2011-11-20,62
2011-11-27,63
2011-12-04,58
2011-12-11,58
2011-12-18,76
2011-12-25,68
2012-01-01,61
