Category: Shopping

Week,Kroger: (Texas)
2009-01-11,57
2009-01-18,33
2009-01-25,39
2009-02-01,44
2009-02-08,48
2009-02-15,32
2009-02-22,37
2009-03-01,23
2009-03-08,32
2009-03-15,27
2009-03-22,40
2009-03-29,30
2009-04-05,42
2009-04-12,36
2009-04-19,14
2009-04-26,38
2009-05-03,33
2009-05-10,38
2009-05-17,42
2009-05-24,39
2009-05-31,28
2009-06-07,29
2009-06-14,43
2009-06-21,49
2009-06-28,69
2009-07-05,55
2009-07-12,45
2009-07-19,42
2009-07-26,44
2009-08-02,42
2009-08-09,49
2009-08-16,32
2009-08-23,73
2009-08-30,40
2009-09-06,43
2009-09-13,55
2009-09-20,48
2009-09-27,46
2009-10-04,52
2009-10-11,46
2009-10-18,50
2009-10-25,34
2009-11-01,41
2009-11-08,49
2009-11-15,78
2009-11-22,49
2009-11-29,43
2009-12-06,48
2009-12-13,32
2009-12-20,71
2009-12-27,63
2010-01-03,29
2010-01-10,23
2010-01-17,29
2010-01-24,46
2010-01-31,48
2010-02-07,52
2010-02-14,70
2010-02-21,38
2010-02-28,68
2010-03-07,54
2010-03-14,45
2010-03-21,49
2010-03-28,47
2010-04-04,67
2010-04-11,38
2010-04-18,51
2010-04-25,31
2010-05-02,46
2010-05-09,57
2010-05-16,50
2010-05-23,61
2010-05-30,41
2010-06-06,64
2010-06-13,56
2010-06-20,38
2010-06-27,46
2010-07-04,39
2010-07-11,38
2010-07-18,37
2010-07-25,45
2010-08-01,41
2010-08-08,42
2010-08-15,30
2010-08-22,45
2010-08-29,36
2010-09-05,39
2010-09-12,33
2010-09-19,35
2010-09-26,41
2010-10-03,27
2010-10-10,45
2010-10-17,41
2010-10-24,45
2010-10-31,42
2010-11-07,37
2010-11-14,50
2010-11-21,58
2010-11-28,36
2010-12-05,39
2010-12-12,55
2010-12-19,65
2010-12-26,58
2011-01-02,63
2011-01-09,52
2011-01-16,64
2011-01-23,52
2011-01-30,67
2011-02-06,60
2011-02-13,49
2011-02-20,35
2011-02-27,40
2011-03-06,44
2011-03-13,42
2011-03-20,32
2011-03-27,50
2011-04-03,63
2011-04-10,80
2011-04-17,73
2011-04-24,63
2011-05-01,68
2011-05-08,83
2011-05-15,80
2011-05-22,83
2011-05-29,85
2011-06-05,66
2011-06-12,79
2011-06-19,68
2011-06-26,100
2011-07-03,61
2011-07-10,53
2011-07-17,64
2011-07-24,61
2011-07-31,67
2011-08-07,59
2011-08-14,73
2011-08-21,62
2011-08-28,67
2011-09-04,75
2011-09-11,85
2011-09-18,45
2011-09-25,67
2011-10-02,61
2011-10-09,74
2011-10-16,48
2011-10-23,52
2011-10-30,42
2011-11-06,37
2011-11-13,71
2011-11-20,62
2011-11-27,44
2011-12-04,38
2011-12-11,53
2011-12-18,52
2011-12-25,76
2012-01-01,54
