Category: Shopping

Week,Kroger: (United States)
2009-01-11,35
2009-01-18,38
2009-01-25,45
2009-02-01,46
2009-02-08,38
2009-02-15,37
2009-02-22,38
2009-03-01,35
2009-03-08,38
2009-03-15,35
2009-03-22,32
2009-03-29,39
2009-04-05,40
2009-04-12,31
2009-04-19,38
2009-04-26,36
2009-05-03,33
2009-05-10,36
2009-05-17,39
2009-05-24,36
2009-05-31,29
2009-06-07,31
2009-06-14,42
2009-06-21,38
2009-06-28,56
2009-07-05,47
2009-07-12,42
2009-07-19,35
2009-07-26,43
2009-08-02,43
2009-08-09,46
2009-08-16,42
2009-08-23,46
2009-08-30,42
2009-09-06,41
2009-09-13,48
2009-09-20,44
2009-09-27,49
2009-10-04,44
2009-10-11,52
2009-10-18,40
2009-10-25,50
2009-11-01,46
2009-11-08,52
2009-11-15,60
2009-11-22,66
2009-11-29,46
2009-12-06,48
2009-12-13,46
2009-12-20,64
2009-12-27,54
2010-01-03,40
2010-01-10,48
2010-01-17,42
2010-01-24,47
2010-01-31,50
2010-02-07,50
2010-02-14,40
2010-02-21,36
2010-02-28,41
2010-03-07,48
2010-03-14,43
2010-03-21,45
2010-03-28,47
2010-04-04,47
2010-04-11,45
2010-04-18,40
2010-04-25,44
2010-05-02,52
2010-05-09,41
2010-05-16,52
2010-05-23,52
2010-05-30,49
2010-06-06,41
2010-06-13,57
2010-06-20,49
2010-06-27,48
2010-07-04,49
2010-07-11,45
2010-07-18,50
2010-07-25,44
2010-08-01,43
2010-08-08,48
2010-08-15,46
2010-08-22,43
2010-08-29,44
2010-09-05,47
2010-09-12,37
2010-09-19,40
2010-09-26,43
2010-10-03,44
2010-10-10,45
2010-10-17,43
2010-10-24,50
2010-10-31,46
2010-11-07,52
2010-11-14,56
2010-11-21,62
2010-11-28,44
2010-12-05,44
2010-12-12,56
2010-12-19,85
2010-12-26,70
2011-01-02,74
2011-01-09,67
2011-01-16,68
2011-01-23,58
2011-01-30,67
2011-02-06,61
2011-02-13,53
2011-02-20,51
2011-02-27,65
2011-03-06,63
2011-03-13,53
2011-03-20,54
2011-03-27,56
2011-04-03,70
2011-04-10,86
2011-04-17,88
2011-04-24,69
2011-05-01,92
2011-05-08,96
2011-05-15,97
2011-05-22,97
2011-05-29,100
2011-06-05,88
2011-06-12,95
2011-06-19,89
2011-06-26,91
2011-07-03,80
2011-07-10,68
2011-07-17,74
2011-07-24,74
2011-07-31,76
2011-08-07,74
2011-08-14,88
2011-08-21,67
2011-08-28,71
2011-09-04,80
2011-09-11,78
2011-09-18,60
2011-09-25,79
2011-10-02,70
2011-10-09,79
2011-10-16,65
2011-10-23,76
2011-10-30,69
2011-11-06,70
2011-11-13,85
2011-11-20,81
2011-11-27,57
2011-12-04,56
2011-12-11,64
2011-12-18,79
2011-12-25,81
2012-01-01,71
