Category: All categories

Week,Nutrition: (United States)
2009-01-11,78
2009-01-18,73
2009-01-25,75
2009-02-01,74
2009-02-08,70
2009-02-15,71
2009-02-22,79
2009-03-01,76
2009-03-08,69
2009-03-15,70
2009-03-22,74
2009-03-29,72
2009-04-05,72
2009-04-12,71
2009-04-19,78
2009-04-26,75
2009-05-03,71
2009-05-10,73
2009-05-17,69
2009-05-24,67
2009-05-31,73
2009-06-07,70
2009-06-14,68
2009-06-21,67
2009-06-28,62
2009-07-05,70
2009-07-12,71
2009-07-19,72
2009-07-26,67
2009-08-02,70
2009-08-09,66
2009-08-16,67
2009-08-23,68
2009-08-30,66
2009-09-06,62
2009-09-13,69
2009-09-20,72
2009-09-27,70
2009-10-04,71
2009-10-11,69
2009-10-18,68
2009-10-25,70
2009-11-01,71
2009-11-08,67
2009-11-15,67
2009-11-22,49
2009-11-29,62
2009-12-06,57
2009-12-13,51
2009-12-20,37
2009-12-27,52
2010-01-03,85
2010-01-10,89
2010-01-17,86
2010-01-24,86
2010-01-31,87
2010-02-07,77
2010-02-14,83
2010-02-21,87
2010-02-28,88
2010-03-07,88
2010-03-14,84
2010-03-21,87
2010-03-28,81
2010-04-04,82
2010-04-11,93
2010-04-18,90
2010-04-25,85
2010-05-02,84
2010-05-09,82
2010-05-16,83
2010-05-23,82
2010-05-30,75
2010-06-06,77
2010-06-13,76
2010-06-20,76
2010-06-27,74
2010-07-04,71
2010-07-11,77
2010-07-18,77
2010-07-25,70
2010-08-01,71
2010-08-08,70
2010-08-15,68
2010-08-22,67
2010-08-29,64
2010-09-05,64
2010-09-12,68
2010-09-19,68
2010-09-26,66
2010-10-03,66
2010-10-10,68
2010-10-17,68
2010-10-24,66
2010-10-31,65
2010-11-07,69
2010-11-14,65
2010-11-21,46
2010-11-28,65
2010-12-05,61
2010-12-12,51
2010-12-19,41
2010-12-26,49
2011-01-02,96
2011-01-09,94
2011-01-16,98
2011-01-23,100
2011-01-30,89
2011-02-06,90
2011-02-13,91
2011-02-20,91
2011-02-27,93
2011-03-06,90
2011-03-13,88
2011-03-20,90
2011-03-27,92
2011-04-03,89
2011-04-10,91
2011-04-17,86
2011-04-24,80
2011-05-01,83
2011-05-08,87
2011-05-15,87
2011-05-22,85
2011-05-29,84
2011-06-05,87
2011-06-12,86
2011-06-19,85
2011-06-26,84
2011-07-03,79
2011-07-10,87
2011-07-17,87
2011-07-24,84
2011-07-31,85
2011-08-07,80
2011-08-14,80
2011-08-21,78
2011-08-28,77
2011-09-04,77
2011-09-11,81
2011-09-18,80
2011-09-25,80
2011-10-02,78
2011-10-09,77
2011-10-16,73
2011-10-23,74
2011-10-30,72
2011-11-06,71
2011-11-13,68
2011-11-20,51
2011-11-27,65
2011-12-04,64
2011-12-11,58
2011-12-18,48
2011-12-25,51
2012-01-01,89
