Category: Shopping

Week,online grocery: (United States)
2009-01-11,43
2009-01-18,72
2009-01-25,96
2009-02-01,56
2009-02-08,69
2009-02-15,56
2009-02-22,46
2009-03-01,77
2009-03-08,69
2009-03-15,46
2009-03-22,36
2009-03-29,41
2009-04-05,56
2009-04-12,37
2009-04-19,36
2009-04-26,32
2009-05-03,36
2009-05-10,28
2009-05-17,37
2009-05-24,49
2009-05-31,33
2009-06-07,19
2009-06-14,52
2009-06-21,43
2009-06-28,35
2009-07-05,19
2009-07-12,38
2009-07-19,42
2009-07-26,47
2009-08-02,38
2009-08-09,33
2009-08-16,23
2009-08-23,41
2009-08-30,41
2009-09-06,27
2009-09-13,47
2009-09-20,21
2009-09-27,69
2009-10-04,43
2009-10-11,60
2009-10-18,29
2009-10-25,33
2009-11-01,38
2009-11-08,50
2009-11-15,16
2009-11-22,46
2009-11-29,16
2009-12-06,28
2009-12-13,25
2009-12-20,31
2009-12-27,45
2010-01-03,36
2010-01-10,28
2010-01-17,40
2010-01-24,42
2010-01-31,11
2010-02-07,23
2010-02-14,28
2010-02-21,37
2010-02-28,34
2010-03-07,42
2010-03-14,28
2010-03-21,23
2010-03-28,12
2010-04-04,24
2010-04-11,23
2010-04-18,11
2010-04-25,34
2010-05-02,43
2010-05-09,12
2010-05-16,24
2010-05-23,29
2010-05-30,30
2010-06-06,16
2010-06-13,38
2010-06-20,8
2010-06-27,24
2010-07-04,15
2010-07-11,25
2010-07-18,35
2010-07-25,18
2010-08-01,25
2010-08-08,14
2010-08-15,10
2010-08-22,14
2010-08-29,10
2010-09-05,24
2010-09-12,20
2010-09-19,13
2010-09-26,16
2010-10-03,33
2010-10-10,17
2010-10-17,19
2010-10-24,19
2010-10-31,22
2010-11-07,22
2010-11-14,18
2010-11-21,31
2010-11-28,30
2010-12-05,15
2010-12-12,22
2010-12-19,29
2010-12-26,29
2011-01-02,74
2011-01-09,51
2011-01-16,66
2011-01-23,53
2011-01-30,40
2011-02-06,35
2011-02-13,22
2011-02-20,40
2011-02-27,44
2011-03-06,37
2011-03-13,41
2011-03-20,29
2011-03-27,34
2011-04-03,89
2011-04-10,81
2011-04-17,82
2011-04-24,63
2011-05-01,76
2011-05-08,100
2011-05-15,88
2011-05-22,100
2011-05-29,79
2011-06-05,65
2011-06-12,66
2011-06-19,53
2011-06-26,46
2011-07-03,32
2011-07-10,32
2011-07-17,34
2011-07-24,24
2011-07-31,31
2011-08-07,43
2011-08-14,43
2011-08-21,42
2011-08-28,21
2011-09-04,26
2011-09-11,16
2011-09-18,27
2011-09-25,27
2011-10-02,33
2011-10-09,22
2011-10-16,29
2011-10-23,31
2011-10-30,33
2011-11-06,41
2011-11-13,32
2011-11-20,25
2011-11-27,18
2011-12-04,16
2011-12-11,15
2011-12-18,7
2011-12-25,23
2012-01-01,17
