Category: Grocery & Food Retailers

Week,Target Corporation: (United States)
2009-01-11,30
2009-01-18,30
2009-01-25,32
2009-02-01,33
2009-02-08,16
2009-02-15,23
2009-02-22,19
2009-03-01,38
2009-03-08,42
2009-03-15,42
2009-03-22,64
2009-03-29,22
2009-04-05,33
2009-04-12,59
2009-04-19,32
2009-04-26,32
2009-05-03,35
2009-05-10,62
2009-05-17,55
2009-05-24,27
2009-05-31,29
2009-06-07,52
2009-06-14,36
2009-06-21,23
2009-06-28,46
2009-07-05,54
2009-07-12,54
2009-07-19,26
2009-07-26,46
2009-08-02,29
2009-08-09,43
2009-08-16,39
2009-08-23,53
2009-08-30,44
2009-09-06,51
2009-09-13,45
2009-09-20,45
2009-09-27,33
2009-10-04,33
2009-10-11,27
2009-10-18,23
2009-10-25,29
2009-11-01,47
2009-11-08,32
2009-11-15,54
2009-11-22,62
2009-11-29,25
2009-12-06,36
2009-12-13,43
2009-12-20,83
2009-12-27,32
2010-01-03,26
2010-01-10,45
2010-01-17,25
2010-01-24,29
2010-01-31,40
2010-02-07,32
2010-02-14,25
2010-02-21,50
2010-02-28,11
2010-03-07,27
2010-03-14,39
2010-03-21,43
2010-03-28,34
2010-04-04,53
2010-04-11,35
2010-04-18,29
2010-04-25,37
2010-05-02,47
2010-05-09,44
2010-05-16,40
2010-05-23,35
2010-05-30,27
2010-06-06,34
2010-06-13,21
2010-06-20,41
2010-06-27,51
2010-07-04,36
2010-07-11,35
2010-07-18,25
2010-07-25,52
2010-08-01,25
2010-08-08,25
2010-08-15,44
2010-08-22,58
2010-08-29,54
2010-09-05,38
2010-09-12,42
2010-09-19,27
2010-09-26,47
2010-10-03,37
2010-10-10,42
2010-10-17,36
2010-10-24,36
2010-10-31,42
2010-11-07,53
2010-11-14,56
2010-11-21,45
2010-11-28,36
2010-12-05,30
2010-12-12,26
2010-12-19,68
2010-12-26,53
2011-01-02,55
2011-01-09,49
2011-01-16,48
2011-01-23,41
2011-01-30,47
2011-02-06,57
2011-02-13,42
2011-02-20,42
2011-02-27,50
2011-03-06,35
2011-03-13,42
2011-03-20,45
2011-03-27,48
2011-04-03,43
2011-04-10,45
2011-04-17,45
2011-04-24,70
2011-05-01,62
2011-05-08,51
2011-05-15,62
2011-05-22,50
2011-05-29,48
2011-06-05,61
2011-06-12,53
2011-06-19,53
2011-06-26,44
2011-07-03,40
2011-07-10,54
2011-07-17,51
2011-07-24,54
2011-07-31,44
2011-08-07,50
2011-08-14,50
2011-08-21,52
2011-08-28,54
2011-09-04,49
2011-09-11,53
2011-09-18,52
2011-09-25,47
2011-10-02,42
2011-10-09,55
2011-10-16,45
2011-10-23,58
2011-10-30,51
2011-11-06,61
2011-11-13,54
2011-11-20,69
2011-11-27,56
2011-12-04,52
2011-12-11,49
2011-12-18,70
2011-12-25,100
2012-01-01,66
