Category: Grocery & Food Retailers

Week,Walmart coupons: (United States)
2009-01-11,20
2009-01-18,21
2009-01-25,19
2009-02-01,79
2009-02-08,40
2009-02-15,39
2009-02-22,40
2009-03-01,59
2009-03-08,20
2009-03-15,20
2009-03-22,20
2009-03-29,20
2009-04-05,20
2009-04-12,30
2009-04-19,39
2009-04-26,39
2009-05-03,0
2009-05-10,40
2009-05-17,30
2009-05-24,41
2009-05-31,20
2009-06-07,30
2009-06-14,40
2009-06-21,21
2009-06-28,22
2009-07-05,21
2009-07-12,62
2009-07-19,0
2009-07-26,30
2009-08-02,60
2009-08-09,50
2009-08-16,19
2009-08-23,57
2009-08-30,29
2009-09-06,60
2009-09-13,56
2009-09-20,27
2009-09-27,18
2009-10-04,18
2009-10-11,76
2009-10-18,53
2009-10-25,27
2009-11-01,36
2009-11-08,36
2009-11-15,36
2009-11-22,20
2009-11-29,50
2009-12-06,52
2009-12-13,35
2009-12-20,22
2009-12-27,22
2010-01-03,17
2010-01-10,26
2010-01-17,34
2010-01-24,24
2010-01-31,57
2010-02-07,33
2010-02-14,52
2010-02-21,32
2010-02-28,16
2010-03-07,0
2010-03-14,51
2010-03-21,17
2010-03-28,35
2010-04-04,26
2010-04-11,16
2010-04-18,25
2010-04-25,16
2010-05-02,26
2010-05-09,17
2010-05-16,34
2010-05-23,52
2010-05-30,19
2010-06-06,36
2010-06-13,18
2010-06-20,18
2010-06-27,18
2010-07-04,48
2010-07-11,16
2010-07-18,15
2010-07-25,15
2010-08-01,0
2010-08-08,30
2010-08-15,15
2010-08-22,30
2010-08-29,22
2010-09-05,30
2010-09-12,21
2010-09-19,29
2010-09-26,42
2010-10-03,29
2010-10-10,22
2010-10-17,42
2010-10-24,28
2010-10-31,13
2010-11-07,20
2010-11-14,27
2010-11-21,15
2010-11-28,13
2010-12-05,26
2010-12-12,0
2010-12-19,31
2010-12-26,46
2011-01-02,68
2011-01-09,66
2011-01-16,11
2011-01-23,22
2011-01-30,21
2011-02-06,42
2011-02-13,21
2011-02-20,31
2011-02-27,36
2011-03-06,21
2011-03-13,28
2011-03-20,11
2011-03-27,21
2011-04-03,64
2011-04-10,100
2011-04-17,70
2011-04-24,52
2011-05-01,84
2011-05-08,59
2011-05-15,42
2011-05-22,75
2011-05-29,74
2011-06-05,59
2011-06-12,43
2011-06-19,81
2011-06-26,71
2011-07-03,45
2011-07-10,37
2011-07-17,47
2011-07-24,36
2011-07-31,10
2011-08-07,25
2011-08-14,36
2011-08-21,15
2011-08-28,30
2011-09-04,51
2011-09-11,29
2011-09-18,39
2011-09-25,33
2011-10-02,34
2011-10-09,47
2011-10-16,28
2011-10-23,24
2011-10-30,29
2011-11-06,23
2011-11-13,23
2011-11-20,49
2011-11-27,35
2011-12-04,13
2011-12-11,18
2011-12-18,14
2011-12-25,30
2012-01-01,23
