Category: Shopping

Week,Walmart coupons: (Kentucky)
2009-01-11,32
2009-01-18,33
2009-01-25,0
2009-02-01,33
2009-02-08,0
2009-02-15,32
2009-02-22,30
2009-03-01,0
2009-03-08,32
2009-03-15,33
2009-03-22,31
2009-03-29,0
2009-04-05,33
2009-04-12,0
2009-04-19,31
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,68
2009-05-24,68
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,35
2009-06-28,37
2009-07-05,0
2009-07-12,34
2009-07-19,0
2009-07-26,32
2009-08-02,34
2009-08-09,33
2009-08-16,32
2009-08-23,31
2009-08-30,0
2009-09-06,0
2009-09-13,28
2009-09-20,28
2009-09-27,28
2009-10-04,59
2009-10-11,28
2009-10-18,69
2009-10-25,28
2009-11-01,53
2009-11-08,55
2009-11-15,40
2009-11-22,46
2009-11-29,26
2009-12-06,0
2009-12-13,54
2009-12-20,0
2009-12-27,34
2010-01-03,0
2010-01-10,0
2010-01-17,76
2010-01-24,49
2010-01-31,25
2010-02-07,24
2010-02-14,0
2010-02-21,24
2010-02-28,0
2010-03-07,52
2010-03-14,0
2010-03-21,0
2010-03-28,54
2010-04-04,57
2010-04-11,51
2010-04-18,0
2010-04-25,51
2010-05-02,40
2010-05-09,27
2010-05-16,28
2010-05-23,0
2010-05-30,32
2010-06-06,0
2010-06-13,0
2010-06-20,30
2010-06-27,0
2010-07-04,30
2010-07-11,42
2010-07-18,0
2010-07-25,27
2010-08-01,29
2010-08-08,0
2010-08-15,0
2010-08-22,40
2010-08-29,0
2010-09-05,0
2010-09-12,25
2010-09-19,25
2010-09-26,24
2010-10-03,26
2010-10-10,26
2010-10-17,25
2010-10-24,0
2010-10-31,23
2010-11-07,24
2010-11-14,46
2010-11-21,66
2010-11-28,45
2010-12-05,45
2010-12-12,23
2010-12-19,30
2010-12-26,68
2011-01-02,16
2011-01-09,22
2011-01-16,43
2011-01-23,43
2011-01-30,28
2011-02-06,28
2011-02-13,30
2011-02-20,28
2011-02-27,22
2011-03-06,29
2011-03-13,23
2011-03-20,22
2011-03-27,43
2011-04-03,15
2011-04-10,60
2011-04-17,74
2011-04-24,50
2011-05-01,51
2011-05-08,70
2011-05-15,100
2011-05-22,85
2011-05-29,75
2011-06-05,48
2011-06-12,57
2011-06-19,80
2011-06-26,32
2011-07-03,41
2011-07-10,47
2011-07-17,23
2011-07-24,30
2011-07-31,38
2011-08-07,30
2011-08-14,50
2011-08-21,35
2011-08-28,21
2011-09-04,36
2011-09-11,63
2011-09-18,65
2011-09-25,48
2011-10-02,14
2011-10-09,48
2011-10-16,47
2011-10-23,31
2011-10-30,23
2011-11-06,94
2011-11-13,55
2011-11-20,76
2011-11-27,9
2011-12-04,62
2011-12-11,45
2011-12-18,33
2011-12-25,37
2012-01-01,22
