Category: Shopping

Week,Walmart coupons: (Ohio)
2009-01-11,26
2009-01-18,18
2009-01-25,17
2009-02-01,42
2009-02-08,34
2009-02-15,25
2009-02-22,16
2009-03-01,31
2009-03-08,17
2009-03-15,33
2009-03-22,33
2009-03-29,17
2009-04-05,34
2009-04-12,0
2009-04-19,17
2009-04-26,25
2009-05-03,17
2009-05-10,0
2009-05-17,17
2009-05-24,18
2009-05-31,18
2009-06-07,27
2009-06-14,37
2009-06-21,18
2009-06-28,19
2009-07-05,18
2009-07-12,34
2009-07-19,54
2009-07-26,28
2009-08-02,28
2009-08-09,19
2009-08-16,19
2009-08-23,27
2009-08-30,36
2009-09-06,37
2009-09-13,0
2009-09-20,17
2009-09-27,34
2009-10-04,25
2009-10-11,48
2009-10-18,24
2009-10-25,32
2009-11-01,23
2009-11-08,47
2009-11-15,80
2009-11-22,100
2009-11-29,38
2009-12-06,65
2009-12-13,61
2009-12-20,39
2009-12-27,55
2010-01-03,52
2010-01-10,29
2010-01-17,14
2010-01-24,34
2010-01-31,28
2010-02-07,28
2010-02-14,28
2010-02-21,27
2010-02-28,41
2010-03-07,35
2010-03-14,35
2010-03-21,28
2010-03-28,15
2010-04-04,46
2010-04-11,28
2010-04-18,36
2010-04-25,27
2010-05-02,22
2010-05-09,0
2010-05-16,30
2010-05-23,31
2010-05-30,33
2010-06-06,50
2010-06-13,25
2010-06-20,33
2010-06-27,33
2010-07-04,33
2010-07-11,23
2010-07-18,30
2010-07-25,38
2010-08-01,61
2010-08-08,45
2010-08-15,15
2010-08-22,22
2010-08-29,22
2010-09-05,15
2010-09-12,45
2010-09-19,35
2010-09-26,35
2010-10-03,35
2010-10-10,29
2010-10-17,27
2010-10-24,34
2010-10-31,39
2010-11-07,34
2010-11-14,65
2010-11-21,70
2010-11-28,52
2010-12-05,59
2010-12-12,53
2010-12-19,64
2010-12-26,55
2011-01-02,26
2011-01-09,42
2011-01-16,42
2011-01-23,38
2011-01-30,12
2011-02-06,16
2011-02-13,21
2011-02-20,24
2011-02-27,25
2011-03-06,29
2011-03-13,21
2011-03-20,38
2011-03-27,21
2011-04-03,57
2011-04-10,32
2011-04-17,33
2011-04-24,24
2011-05-01,44
2011-05-08,51
2011-05-15,65
2011-05-22,41
2011-05-29,41
2011-06-05,49
2011-06-12,56
2011-06-19,54
2011-06-26,22
2011-07-03,36
2011-07-10,39
2011-07-17,40
2011-07-24,41
2011-07-31,62
2011-08-07,50
2011-08-14,70
2011-08-21,48
2011-08-28,43
2011-09-04,35
2011-09-11,31
2011-09-18,27
2011-09-25,48
2011-10-02,45
2011-10-09,40
2011-10-16,25
2011-10-23,37
2011-10-30,62
2011-11-06,42
2011-11-13,72
2011-11-20,99
2011-11-27,72
2011-12-04,83
2011-12-11,86
2011-12-18,68
2011-12-25,45
2012-01-01,38
