Category: Shopping

Week,Walmart coupons: (Texas)
2009-01-11,17
2009-01-18,8
2009-01-25,20
2009-02-01,13
2009-02-08,37
2009-02-15,16
2009-02-22,29
2009-03-01,25
2009-03-08,25
2009-03-15,9
2009-03-22,20
2009-03-29,29
2009-04-05,17
2009-04-12,8
2009-04-19,20
2009-04-26,24
2009-05-03,20
2009-05-10,16
2009-05-17,17
2009-05-24,22
2009-05-31,30
2009-06-07,17
2009-06-14,30
2009-06-21,30
2009-06-28,31
2009-07-05,26
2009-07-12,17
2009-07-19,25
2009-07-26,17
2009-08-02,30
2009-08-09,34
2009-08-16,25
2009-08-23,12
2009-08-30,24
2009-09-06,21
2009-09-13,32
2009-09-20,15
2009-09-27,20
2009-10-04,19
2009-10-11,31
2009-10-18,0
2009-10-25,42
2009-11-01,24
2009-11-08,50
2009-11-15,34
2009-11-22,63
2009-11-29,48
2009-12-06,53
2009-12-13,74
2009-12-20,44
2009-12-27,24
2010-01-03,23
2010-01-10,41
2010-01-17,49
2010-01-24,25
2010-01-31,32
2010-02-07,33
2010-02-14,26
2010-02-21,18
2010-02-28,22
2010-03-07,15
2010-03-14,33
2010-03-21,29
2010-03-28,27
2010-04-04,15
2010-04-11,40
2010-04-18,26
2010-04-25,8
2010-05-02,19
2010-05-09,34
2010-05-16,36
2010-05-23,40
2010-05-30,39
2010-06-06,25
2010-06-13,38
2010-06-20,56
2010-06-27,46
2010-07-04,30
2010-07-11,16
2010-07-18,13
2010-07-25,19
2010-08-01,25
2010-08-08,29
2010-08-15,19
2010-08-22,34
2010-08-29,43
2010-09-05,19
2010-09-12,18
2010-09-19,30
2010-09-26,24
2010-10-03,22
2010-10-10,18
2010-10-17,24
2010-10-24,40
2010-10-31,23
2010-11-07,23
2010-11-14,29
2010-11-21,75
2010-11-28,39
2010-12-05,40
2010-12-12,58
2010-12-19,44
2010-12-26,66
2011-01-02,61
2011-01-09,23
2011-01-16,32
2011-01-23,28
2011-01-30,15
2011-02-06,28
2011-02-13,28
2011-02-20,26
2011-02-27,33
2011-03-06,25
2011-03-13,40
2011-03-20,37
2011-03-27,29
2011-04-03,37
2011-04-10,68
2011-04-17,50
2011-04-24,56
2011-05-01,45
2011-05-08,44
2011-05-15,44
2011-05-22,81
2011-05-29,86
2011-06-05,69
2011-06-12,66
2011-06-19,63
2011-06-26,62
2011-07-03,59
2011-07-10,33
2011-07-17,51
2011-07-24,51
2011-07-31,51
2011-08-07,69
2011-08-14,58
2011-08-21,37
2011-08-28,56
2011-09-04,78
2011-09-11,30
2011-09-18,31
2011-09-25,52
2011-10-02,57
2011-10-09,43
2011-10-16,40
2011-10-23,46
2011-10-30,40
2011-11-06,40
2011-11-13,59
2011-11-20,100
2011-11-27,61
2011-12-04,62
2011-12-11,66
2011-12-18,68
2011-12-25,42
2012-01-01,27
