Category: Shopping

Week,Walmart coupons: (United States)
2009-01-11,15
2009-01-18,11
2009-01-25,17
2009-02-01,16
2009-02-08,17
2009-02-15,13
2009-02-22,15
2009-03-01,14
2009-03-08,18
2009-03-15,16
2009-03-22,14
2009-03-29,17
2009-04-05,17
2009-04-12,14
2009-04-19,15
2009-04-26,16
2009-05-03,17
2009-05-10,15
2009-05-17,15
2009-05-24,16
2009-05-31,14
2009-06-07,18
2009-06-14,19
2009-06-21,14
2009-06-28,16
2009-07-05,17
2009-07-12,20
2009-07-19,18
2009-07-26,20
2009-08-02,19
2009-08-09,20
2009-08-16,20
2009-08-23,17
2009-08-30,18
2009-09-06,17
2009-09-13,17
2009-09-20,19
2009-09-27,14
2009-10-04,16
2009-10-11,19
2009-10-18,20
2009-10-25,22
2009-11-01,24
2009-11-08,30
2009-11-15,35
2009-11-22,54
2009-11-29,41
2009-12-06,40
2009-12-13,48
2009-12-20,40
2009-12-27,26
2010-01-03,20
2010-01-10,17
2010-01-17,18
2010-01-24,19
2010-01-31,20
2010-02-07,19
2010-02-14,19
2010-02-21,17
2010-02-28,23
2010-03-07,21
2010-03-14,20
2010-03-21,19
2010-03-28,21
2010-04-04,19
2010-04-11,18
2010-04-18,19
2010-04-25,21
2010-05-02,19
2010-05-09,19
2010-05-16,21
2010-05-23,20
2010-05-30,24
2010-06-06,22
2010-06-13,23
2010-06-20,22
2010-06-27,21
2010-07-04,20
2010-07-11,18
2010-07-18,18
2010-07-25,15
2010-08-01,19
2010-08-08,17
2010-08-15,20
2010-08-22,17
2010-08-29,18
2010-09-05,19
2010-09-12,20
2010-09-19,21
2010-09-26,16
2010-10-03,21
2010-10-10,19
2010-10-17,19
2010-10-24,20
2010-10-31,22
2010-11-07,27
2010-11-14,36
2010-11-21,60
2010-11-28,46
2010-12-05,41
2010-12-12,45
2010-12-19,38
2010-12-26,39
2011-01-02,37
2011-01-09,33
2011-01-16,32
2011-01-23,24
2011-01-30,26
2011-02-06,23
2011-02-13,22
2011-02-20,23
2011-02-27,23
2011-03-06,24
2011-03-13,24
2011-03-20,23
2011-03-27,28
2011-04-03,40
2011-04-10,46
2011-04-17,50
2011-04-24,37
2011-05-01,49
2011-05-08,49
2011-05-15,53
2011-05-22,60
2011-05-29,60
2011-06-05,47
2011-06-12,60
2011-06-19,55
2011-06-26,50
2011-07-03,45
2011-07-10,41
2011-07-17,46
2011-07-24,48
2011-07-31,48
2011-08-07,43
2011-08-14,54
2011-08-21,41
2011-08-28,44
2011-09-04,51
2011-09-11,41
2011-09-18,39
2011-09-25,48
2011-10-02,46
2011-10-09,44
2011-10-16,38
2011-10-23,43
2011-10-30,46
2011-11-06,47
2011-11-13,61
2011-11-20,100
2011-11-27,68
2011-12-04,61
2011-12-11,67
2011-12-18,59
2011-12-25,41
2012-01-01,39
