Category: Grocery & Food Retailers

Week,Walmart: (Kentucky)
2009-01-11,0
2009-01-18,0
2009-01-25,51
2009-02-01,0
2009-02-08,0
2009-02-15,45
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,47
2009-04-05,0
2009-04-12,88
2009-04-19,45
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,97
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,49
2009-06-28,0
2009-07-05,0
2009-07-12,100
2009-07-19,0
2009-07-26,0
2009-08-02,0
2009-08-09,0
2009-08-16,0
2009-08-23,43
2009-08-30,42
2009-09-06,0
2009-09-13,40
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,39
2009-11-15,0
2009-11-22,0
2009-11-29,0
2009-12-06,37
2009-12-13,0
2009-12-20,51
2009-12-27,46
2010-01-03,38
2010-01-10,0
2010-01-17,38
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,35
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,37
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,37
2010-04-25,0
2010-05-02,38
2010-05-09,76
2010-05-16,40
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,44
2010-07-11,39
2010-07-18,0
2010-07-25,0
2010-08-01,39
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,35
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,37
2010-11-28,0
2010-12-05,32
2010-12-12,33
2010-12-19,43
2010-12-26,0
2011-01-02,0
2011-01-09,22
2011-01-16,20
2011-01-23,21
2011-01-30,20
2011-02-06,20
2011-02-13,21
2011-02-20,0
2011-02-27,20
2011-03-06,20
2011-03-13,0
2011-03-20,20
2011-03-27,0
2011-04-03,45
2011-04-10,0
2011-04-17,21
2011-04-24,0
2011-05-01,31
2011-05-08,0
2011-05-15,0
2011-05-22,21
2011-05-29,36
2011-06-05,0
2011-06-12,0
2011-06-19,0
2011-06-26,24
2011-07-03,24
2011-07-10,22
2011-07-17,22
2011-07-24,43
2011-07-31,45
2011-08-07,0
2011-08-14,21
2011-08-21,20
2011-08-28,0
2011-09-04,21
2011-09-11,0
2011-09-18,19
2011-09-25,0
2011-10-02,0
2011-10-09,20
2011-10-16,19
2011-10-23,0
2011-10-30,25
2011-11-06,0
2011-11-13,23
2011-11-20,15
2011-11-27,13
2011-12-04,26
2011-12-11,0
2011-12-18,14
2011-12-25,27
2012-01-01,26
