Category: Grocery & Food Retailers

Week,Walmart: (Ohio)
2009-01-11,40
2009-01-18,27
2009-01-25,54
2009-02-01,26
2009-02-08,26
2009-02-15,0
2009-02-22,0
2009-03-01,25
2009-03-08,25
2009-03-15,25
2009-03-22,26
2009-03-29,0
2009-04-05,26
2009-04-12,0
2009-04-19,52
2009-04-26,0
2009-05-03,0
2009-05-10,27
2009-05-17,0
2009-05-24,0
2009-05-31,27
2009-06-07,0
2009-06-14,0
2009-06-21,28
2009-06-28,0
2009-07-05,0
2009-07-12,27
2009-07-19,0
2009-07-26,29
2009-08-02,58
2009-08-09,0
2009-08-16,0
2009-08-23,28
2009-08-30,28
2009-09-06,29
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,25
2009-10-11,0
2009-10-18,100
2009-10-25,51
2009-11-01,24
2009-11-08,51
2009-11-15,24
2009-11-22,29
2009-11-29,23
2009-12-06,23
2009-12-13,24
2009-12-20,0
2009-12-27,0
2010-01-03,23
2010-01-10,0
2010-01-17,22
2010-01-24,32
2010-01-31,22
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,22
2010-03-14,22
2010-03-21,0
2010-03-28,47
2010-04-04,0
2010-04-11,33
2010-04-18,22
2010-04-25,32
2010-05-02,0
2010-05-09,0
2010-05-16,24
2010-05-23,49
2010-05-30,39
2010-06-06,25
2010-06-13,26
2010-06-20,0
2010-06-27,25
2010-07-04,0
2010-07-11,47
2010-07-18,23
2010-07-25,0
2010-08-01,24
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,24
2010-09-12,0
2010-09-19,66
2010-09-26,43
2010-10-03,43
2010-10-10,23
2010-10-17,0
2010-10-24,0
2010-10-31,31
2010-11-07,83
2010-11-14,30
2010-11-21,36
2010-11-28,20
2010-12-05,0
2010-12-12,0
2010-12-19,25
2010-12-26,0
2011-01-02,27
2011-01-09,13
2011-01-16,20
2011-01-23,0
2011-01-30,0
2011-02-06,19
2011-02-13,0
2011-02-20,13
2011-02-27,0
2011-03-06,13
2011-03-13,13
2011-03-20,0
2011-03-27,0
2011-04-03,19
2011-04-10,13
2011-04-17,25
2011-04-24,38
2011-05-01,0
2011-05-08,13
2011-05-15,13
2011-05-22,19
2011-05-29,29
2011-06-05,14
2011-06-12,14
2011-06-19,14
2011-06-26,14
2011-07-03,27
2011-07-10,14
2011-07-17,29
2011-07-24,14
2011-07-31,40
2011-08-07,13
2011-08-14,26
2011-08-21,12
2011-08-28,12
2011-09-04,37
2011-09-11,24
2011-09-18,18
2011-09-25,46
2011-10-02,12
2011-10-09,0
2011-10-16,29
2011-10-23,11
2011-10-30,17
2011-11-06,17
2011-11-13,22
2011-11-20,35
2011-11-27,16
2011-12-04,48
2011-12-11,27
2011-12-18,34
2011-12-25,58
2012-01-01,11
