Category: Grocery & Food Retailers

Week,Walmart: (Texas)
2009-01-11,48
2009-01-18,25
2009-01-25,72
2009-02-01,36
2009-02-08,24
2009-02-15,74
2009-02-22,49
2009-03-01,0
2009-03-08,24
2009-03-15,39
2009-03-22,0
2009-03-29,48
2009-04-05,72
2009-04-12,24
2009-04-19,47
2009-04-26,0
2009-05-03,24
2009-05-10,35
2009-05-17,50
2009-05-24,50
2009-05-31,37
2009-06-07,0
2009-06-14,37
2009-06-21,25
2009-06-28,26
2009-07-05,26
2009-07-12,75
2009-07-19,74
2009-07-26,25
2009-08-02,50
2009-08-09,25
2009-08-16,24
2009-08-23,36
2009-08-30,59
2009-09-06,73
2009-09-13,46
2009-09-20,68
2009-09-27,23
2009-10-04,0
2009-10-11,0
2009-10-18,34
2009-10-25,45
2009-11-01,46
2009-11-08,56
2009-11-15,22
2009-11-22,65
2009-11-29,22
2009-12-06,44
2009-12-13,67
2009-12-20,100
2009-12-27,0
2010-01-03,21
2010-01-10,33
2010-01-17,22
2010-01-24,43
2010-01-31,21
2010-02-07,21
2010-02-14,65
2010-02-21,42
2010-02-28,21
2010-03-07,33
2010-03-14,35
2010-03-21,32
2010-03-28,88
2010-04-04,44
2010-04-11,32
2010-04-18,0
2010-04-25,44
2010-05-02,44
2010-05-09,22
2010-05-16,57
2010-05-23,24
2010-05-30,25
2010-06-06,23
2010-06-13,49
2010-06-20,71
2010-06-27,0
2010-07-04,19
2010-07-11,0
2010-07-18,28
2010-07-25,47
2010-08-01,28
2010-08-08,37
2010-08-15,46
2010-08-22,18
2010-08-29,18
2010-09-05,35
2010-09-12,34
2010-09-19,34
2010-09-26,35
2010-10-03,0
2010-10-10,35
2010-10-17,34
2010-10-24,25
2010-10-31,42
2010-11-07,25
2010-11-14,51
2010-11-21,48
2010-11-28,16
2010-12-05,34
2010-12-12,51
2010-12-19,49
2010-12-26,18
2011-01-02,22
2011-01-09,52
2011-01-16,47
2011-01-23,36
2011-01-30,34
2011-02-06,30
2011-02-13,31
2011-02-20,35
2011-02-27,35
2011-03-06,26
2011-03-13,45
2011-03-20,20
2011-03-27,34
2011-04-03,45
2011-04-10,30
2011-04-17,35
2011-04-24,40
2011-05-01,24
2011-05-08,20
2011-05-15,39
2011-05-22,35
2011-05-29,70
2011-06-05,30
2011-06-12,30
2011-06-19,20
2011-06-26,51
2011-07-03,37
2011-07-10,39
2011-07-17,39
2011-07-24,10
2011-07-31,19
2011-08-07,30
2011-08-14,26
2011-08-21,25
2011-08-28,24
2011-09-04,35
2011-09-11,33
2011-09-18,13
2011-09-25,31
2011-10-02,26
2011-10-09,48
2011-10-16,31
2011-10-23,35
2011-10-30,22
2011-11-06,33
2011-11-13,25
2011-11-20,49
2011-11-27,31
2011-12-04,20
2011-12-11,35
2011-12-18,48
2011-12-25,54
2012-01-01,24
