Category: Grocery & Food Retailers

Week,Walmart: (United States)
2009-01-11,31
2009-01-18,36
2009-01-25,41
2009-02-01,47
2009-02-08,43
2009-02-15,34
2009-02-22,33
2009-03-01,38
2009-03-08,39
2009-03-15,30
2009-03-22,36
2009-03-29,29
2009-04-05,31
2009-04-12,47
2009-04-19,37
2009-04-26,29
2009-05-03,45
2009-05-10,49
2009-05-17,34
2009-05-24,40
2009-05-31,38
2009-06-07,42
2009-06-14,46
2009-06-21,33
2009-06-28,47
2009-07-05,50
2009-07-12,36
2009-07-19,43
2009-07-26,32
2009-08-02,44
2009-08-09,43
2009-08-16,39
2009-08-23,37
2009-08-30,35
2009-09-06,38
2009-09-13,37
2009-09-20,36
2009-09-27,52
2009-10-04,30
2009-10-11,40
2009-10-18,51
2009-10-25,40
2009-11-01,44
2009-11-08,47
2009-11-15,53
2009-11-22,52
2009-11-29,37
2009-12-06,39
2009-12-13,53
2009-12-20,85
2009-12-27,48
2010-01-03,42
2010-01-10,30
2010-01-17,29
2010-01-24,31
2010-01-31,38
2010-02-07,29
2010-02-14,35
2010-02-21,41
2010-02-28,35
2010-03-07,28
2010-03-14,38
2010-03-21,30
2010-03-28,47
2010-04-04,43
2010-04-11,38
2010-04-18,36
2010-04-25,25
2010-05-02,43
2010-05-09,35
2010-05-16,43
2010-05-23,42
2010-05-30,46
2010-06-06,27
2010-06-13,44
2010-06-20,33
2010-06-27,34
2010-07-04,41
2010-07-11,29
2010-07-18,39
2010-07-25,43
2010-08-01,43
2010-08-08,39
2010-08-15,35
2010-08-22,35
2010-08-29,25
2010-09-05,32
2010-09-12,39
2010-09-19,38
2010-09-26,35
2010-10-03,38
2010-10-10,35
2010-10-17,31
2010-10-24,35
2010-10-31,34
2010-11-07,37
2010-11-14,41
2010-11-21,59
2010-11-28,33
2010-12-05,26
2010-12-12,40
2010-12-19,75
2010-12-26,48
2011-01-02,39
2011-01-09,40
2011-01-16,39
2011-01-23,37
2011-01-30,35
2011-02-06,37
2011-02-13,30
2011-02-20,23
2011-02-27,29
2011-03-06,36
2011-03-13,31
2011-03-20,29
2011-03-27,38
2011-04-03,46
2011-04-10,39
2011-04-17,41
2011-04-24,47
2011-05-01,41
2011-05-08,46
2011-05-15,45
2011-05-22,50
2011-05-29,53
2011-06-05,42
2011-06-12,46
2011-06-19,48
2011-06-26,49
2011-07-03,40
2011-07-10,35
2011-07-17,40
2011-07-24,46
2011-07-31,34
2011-08-07,36
2011-08-14,41
2011-08-21,32
2011-08-28,40
2011-09-04,45
2011-09-11,31
2011-09-18,35
2011-09-25,40
2011-10-02,40
2011-10-09,38
2011-10-16,40
2011-10-23,42
2011-10-30,35
2011-11-06,48
2011-11-13,48
2011-11-20,67
2011-11-27,44
2011-12-04,40
2011-12-11,44
2011-12-18,58
2011-12-25,100
2012-01-01,48
