Category: All categories

Week,DiGiorno Pizza: (United States)
2009-01-11,26
2009-01-18,26
2009-01-25,59
2009-02-01,51
2009-02-08,34
2009-02-15,22
2009-02-22,17
2009-03-01,33
2009-03-08,47
2009-03-15,13
2009-03-22,25
2009-03-29,33
2009-04-05,9
2009-04-12,26
2009-04-19,46
2009-04-26,17
2009-05-03,33
2009-05-10,25
2009-05-17,47
2009-05-24,18
2009-05-31,26
2009-06-07,34
2009-06-14,48
2009-06-21,26
2009-06-28,42
2009-07-05,27
2009-07-12,44
2009-07-19,21
2009-07-26,21
2009-08-02,35
2009-08-09,39
2009-08-16,38
2009-08-23,54
2009-08-30,50
2009-09-06,46
2009-09-13,36
2009-09-20,51
2009-09-27,28
2009-10-04,35
2009-10-11,24
2009-10-18,31
2009-10-25,19
2009-11-01,27
2009-11-08,27
2009-11-15,34
2009-11-22,43
2009-11-29,44
2009-12-06,62
2009-12-13,49
2009-12-20,48
2009-12-27,28
2010-01-03,56
2010-01-10,96
2010-01-17,73
2010-01-24,56
2010-01-31,59
2010-02-07,64
2010-02-14,62
2010-02-21,41
2010-02-28,63
2010-03-07,25
2010-03-14,51
2010-03-21,50
2010-03-28,23
2010-04-04,44
2010-04-11,35
2010-04-18,46
2010-04-25,35
2010-05-02,51
2010-05-09,47
2010-05-16,30
2010-05-23,23
2010-05-30,32
2010-06-06,34
2010-06-13,31
2010-06-20,51
2010-06-27,15
2010-07-04,45
2010-07-11,36
2010-07-18,20
2010-07-25,26
2010-08-01,62
2010-08-08,32
2010-08-15,29
2010-08-22,16
2010-08-29,28
2010-09-05,54
2010-09-12,37
2010-09-19,30
2010-09-26,44
2010-10-03,12
2010-10-10,12
2010-10-17,23
2010-10-24,38
2010-10-31,26
2010-11-07,40
2010-11-14,28
2010-11-21,16
2010-11-28,28
2010-12-05,25
2010-12-12,31
2010-12-19,20
2010-12-26,49
2011-01-02,29
2011-01-09,66
2011-01-16,47
2011-01-23,100
2011-01-30,77
2011-02-06,59
2011-02-13,39
2011-02-20,48
2011-02-27,50
2011-03-06,57
2011-03-13,24
2011-03-20,29
2011-03-27,45
2011-04-03,73
2011-04-10,68
2011-04-17,66
2011-04-24,74
2011-05-01,74
2011-05-08,50
2011-05-15,84
2011-05-22,66
2011-05-29,48
2011-06-05,35
2011-06-12,95
2011-06-19,63
2011-06-26,35
2011-07-03,53
2011-07-10,36
2011-07-17,54
2011-07-24,38
2011-07-31,35
2011-08-07,59
2011-08-14,46
2011-08-21,36
2011-08-28,34
2011-09-04,30
2011-09-11,43
2011-09-18,29
2011-09-25,41
2011-10-02,51
2011-10-09,40
2011-10-16,37
2011-10-23,52
2011-10-30,39
2011-11-06,33
2011-11-13,18
2011-11-20,17
2011-11-27,49
2011-12-04,38
2011-12-11,19
2011-12-18,29
2011-12-25,40
2012-01-01,37
