Category: Food & Drink

Week,DiGiorno Pizza: (United States)
2009-01-11,43
2009-01-18,0
2009-01-25,41
2009-02-01,21
2009-02-08,41
2009-02-15,32
2009-02-22,21
2009-03-01,61
2009-03-08,31
2009-03-15,0
2009-03-22,41
2009-03-29,31
2009-04-05,0
2009-04-12,52
2009-04-19,41
2009-04-26,51
2009-05-03,30
2009-05-10,21
2009-05-17,42
2009-05-24,33
2009-05-31,62
2009-06-07,53
2009-06-14,32
2009-06-21,32
2009-06-28,46
2009-07-05,32
2009-07-12,43
2009-07-19,42
2009-07-26,21
2009-08-02,42
2009-08-09,21
2009-08-16,31
2009-08-23,31
2009-08-30,41
2009-09-06,41
2009-09-13,39
2009-09-20,48
2009-09-27,77
2009-10-04,38
2009-10-11,76
2009-10-18,47
2009-10-25,38
2009-11-01,38
2009-11-08,37
2009-11-15,46
2009-11-22,42
2009-11-29,27
2009-12-06,62
2009-12-13,18
2009-12-20,23
2009-12-27,45
2010-01-03,54
2010-01-10,90
2010-01-17,62
2010-01-24,51
2010-01-31,17
2010-02-07,61
2010-02-14,44
2010-02-21,50
2010-02-28,86
2010-03-07,86
2010-03-14,72
2010-03-21,61
2010-03-28,64
2010-04-04,54
2010-04-11,51
2010-04-18,77
2010-04-25,69
2010-05-02,80
2010-05-09,71
2010-05-16,55
2010-05-23,65
2010-05-30,59
2010-06-06,37
2010-06-13,19
2010-06-20,48
2010-06-27,28
2010-07-04,42
2010-07-11,48
2010-07-18,40
2010-07-25,63
2010-08-01,32
2010-08-08,16
2010-08-15,47
2010-08-22,15
2010-08-29,23
2010-09-05,23
2010-09-12,22
2010-09-19,30
2010-09-26,29
2010-10-03,30
2010-10-10,15
2010-10-17,21
2010-10-24,51
2010-10-31,35
2010-11-07,64
2010-11-14,56
2010-11-21,23
2010-11-28,20
2010-12-05,34
2010-12-12,35
2010-12-19,24
2010-12-26,16
2011-01-02,59
2011-01-09,35
2011-01-16,29
2011-01-23,97
2011-01-30,70
2011-02-06,100
2011-02-13,56
2011-02-20,34
2011-02-27,44
2011-03-06,95
2011-03-13,0
2011-03-20,17
2011-03-27,11
2011-04-03,50
2011-04-10,67
2011-04-17,39
2011-04-24,71
2011-05-01,55
2011-05-08,73
2011-05-15,39
2011-05-22,73
2011-05-29,47
2011-06-05,28
2011-06-12,51
2011-06-19,74
2011-06-26,40
2011-07-03,71
2011-07-10,61
2011-07-17,39
2011-07-24,33
2011-07-31,38
2011-08-07,85
2011-08-14,54
2011-08-21,63
2011-08-28,42
2011-09-04,27
2011-09-11,61
2011-09-18,20
2011-09-25,40
2011-10-02,30
2011-10-09,34
2011-10-16,75
2011-10-23,59
2011-10-30,30
2011-11-06,34
2011-11-13,39
2011-11-20,21
2011-11-27,55
2011-12-04,23
2011-12-11,33
2011-12-18,25
2011-12-25,21
2012-01-01,28
