Category: Shopping

Week,DiGiorno Pizza: (United States)
2009-01-11,0
2009-01-18,29
2009-01-25,37
2009-02-01,38
2009-02-08,19
2009-02-15,38
2009-02-22,0
2009-03-01,38
2009-03-08,28
2009-03-15,28
2009-03-22,28
2009-03-29,28
2009-04-05,0
2009-04-12,38
2009-04-19,0
2009-04-26,18
2009-05-03,36
2009-05-10,19
2009-05-17,38
2009-05-24,20
2009-05-31,28
2009-06-07,19
2009-06-14,29
2009-06-21,38
2009-06-28,41
2009-07-05,20
2009-07-12,26
2009-07-19,32
2009-07-26,25
2009-08-02,19
2009-08-09,47
2009-08-16,38
2009-08-23,18
2009-08-30,18
2009-09-06,31
2009-09-13,47
2009-09-20,29
2009-09-27,26
2009-10-04,26
2009-10-11,35
2009-10-18,23
2009-10-25,25
2009-11-01,17
2009-11-08,33
2009-11-15,33
2009-11-22,19
2009-11-29,48
2009-12-06,24
2009-12-13,22
2009-12-20,31
2009-12-27,34
2010-01-03,33
2010-01-10,32
2010-01-17,27
2010-01-24,26
2010-01-31,66
2010-02-07,21
2010-02-14,37
2010-02-21,15
2010-02-28,41
2010-03-07,41
2010-03-14,49
2010-03-21,31
2010-03-28,16
2010-04-04,27
2010-04-11,23
2010-04-18,23
2010-04-25,23
2010-05-02,16
2010-05-09,24
2010-05-16,33
2010-05-23,25
2010-05-30,35
2010-06-06,50
2010-06-13,17
2010-06-20,29
2010-06-27,44
2010-07-04,23
2010-07-11,14
2010-07-18,29
2010-07-25,24
2010-08-01,38
2010-08-08,14
2010-08-15,43
2010-08-22,28
2010-08-29,27
2010-09-05,28
2010-09-12,18
2010-09-19,27
2010-09-26,22
2010-10-03,27
2010-10-10,20
2010-10-17,13
2010-10-24,26
2010-10-31,25
2010-11-07,19
2010-11-14,13
2010-11-21,0
2010-11-28,24
2010-12-05,16
2010-12-12,17
2010-12-19,0
2010-12-26,36
2011-01-02,35
2011-01-09,35
2011-01-16,28
2011-01-23,72
2011-01-30,100
2011-02-06,40
2011-02-13,20
2011-02-20,20
2011-02-27,33
2011-03-06,20
2011-03-13,25
2011-03-20,40
2011-03-27,30
2011-04-03,47
2011-04-10,46
2011-04-17,40
2011-04-24,40
2011-05-01,83
2011-05-08,51
2011-05-15,90
2011-05-22,51
2011-05-29,18
2011-06-05,44
2011-06-12,38
2011-06-19,51
2011-06-26,45
2011-07-03,53
2011-07-10,27
2011-07-17,30
2011-07-24,16
2011-07-31,33
2011-08-07,48
2011-08-14,26
2011-08-21,28
2011-08-28,22
2011-09-04,32
2011-09-11,52
2011-09-18,24
2011-09-25,39
2011-10-02,33
2011-10-09,50
2011-10-16,24
2011-10-23,22
2011-10-30,18
2011-11-06,12
2011-11-13,9
2011-11-20,14
2011-11-27,17
2011-12-04,14
2011-12-11,11
2011-12-18,15
2011-12-25,28
2012-01-01,40
